501101905130421; MUCOLITIC; MUCOLITIC; NOT FOUND; XAR PEDIATRICO FR 100 ML; TAK
501101902131425; MUCOLITIC; MUCOLITIC; NOT FOUND; 250 MG CART 15 ENV X 4 G; TAK
501101904134421; MUCOLITIC; MUCOLITIC; NOT FOUND; XAR ADULTO FR 100 ML; TAK
501101903138423; MUCOLITIC; MUCOLITIC; NOT FOUND; PEDIATRICO GOTAS FR 20 ML; TAK
501104901111311; MESACOL MMX; MESACOL MMX; NOT FOUND; 1200 MG COM REV LIB PROL CT BL AL/AL X 10; TAK
501104902116315; MESACOL MMX; MESACOL MMX; NOT FOUND; 1200 MG COM REV LIB PROL CT BL AL/AL X 30; TAK
501101801149418; MESACOL; MESACOL; NOT FOUND; 250MG SUP RET CT BERCO X 10; TAK
501101802110418; MESACOL; MESACOL; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 30; TAK
501101803141414; MESACOL; MESACOL; NOT FOUND; 500 MG SUP RET CT BERCO X 10; TAK
501101805111318; MESACOL; MESACOL; NOT FOUND; 800 MG COM REV CT BL AL PLAS INC X 10; TAK
501101804113414; MESACOL; MESACOL; NOT FOUND; 800 MG COM REV CT BL AL PLAS INC X 30; TAK
501113090020914; MICOSTATIN; MICOSTATIN; NOT FOUND; 25.000 UI/G CREM VAG CT BG AL X 60 G + 14 APLIC; TAK
