526128901166118; BENZOILMETRONIDAZOL + NISTATINA + CLORETO DE BENZALCONIO; BENZOILMETRONIDAZOL NISTATINA CLORETO BENZALCONIO; NOT FOUND; 62.5MG/G + 25.000 UI/G + 1.25MG/G CREM VAG CT BG AL X 40G + 10 APLIC; GM2
526113504131115; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML +CP MED ; GM2
526113502112113; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.5 MG COM CT BL AL PLAS OPC X 20; GM2
526113501132110; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.5 MG/ML SOL OR CT FR VD AMB X 15 ML ; GM2
526113503119111; BETAMETASONA; BETAMETASONA; BETAMETASONA; 2.0 MG COM CT BL AL PLAS BCO LEIT X 10  ; GM2
526114301110111; BEZAFIBRATO; BEZAFIBRATO; BEZAFIBRATO; 200 MG COM REV CT BL AL PLAS BCO X 20; GM2
526131201171119; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X  3 ML; GM2
526131202176114; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; GM2
526135501119115; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL AL X 14; GM2
526135502115113; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL AL X 28; GM2
526120005137110; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 2.5 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; GM2
526120001115112; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3.0 MG COM CT BL AL PLAS INC X 20 ; GM2
526120003118119; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3.0 MG COM CT BL AL PLAS INC X 30  ; GM2
526120002111110; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6.0 MG COM CT BL AL PLAS INC X 20; GM2
526120004114117; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6.0 MG COM CT BL AL PLAS INC X 30; GM2
526129801173412; BRONCOVENT; BRONCOVENT; NOT FOUND; 0.25 MG/ML SOL INAL CT FR VD AMB CGT X 20 ML ; GM2
526130401175111; BROMETO DE IPRATRÓPIO; BROMETO IPRATROPIO; BROMETO IPRATROPIO; 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML; GM2
526112120087806; BROMETO DE PINAVÉRIO; BROMETO PINAVERIO; BROMETO PINAVERIO; 100 MG COM REV CT BL AL PLAS OPC X 30; GM2
526113050089103; BROMEPINA; BROMEPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 30; GM2
526112120087906; BROMETO DE PINAVÉRIO; BROMETO PINAVERIO; BROMETO PINAVERIO; 100 MG COM REV CT BL AL PLAS OPC X 60; GM2
526113050089203; BROMEPINA; BROMEPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 60; GM2
526131901112115; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PLAS OPC X 30; GM2
