526132501118416, FOSLAMER, FOSLAMER, NOT FOUND, 800 MG COM REV FR PLAS OPC X 180, GM2
526131401111111, FENOFIBRATO, FENOFIBRATO, FENOFIBRATO, 200 MG CAP GEL DURA CT BL AL PLAS OPC X 30, GM2
526105303114115, FINASTERIDA, FINASTERIDA, FINASTERIDA, 1 MG COM REV CT BL AL PLAS OPC X 30 , GM2
526105302118117, FINASTERIDA, FINASTERIDA, FINASTERIDA, 5 MG COM REV CT 2 BL AL PLAS BCO LEIT X 15, GM2
526105601115111, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 150MG CAP GEL DURA CT BL AL PLAS INC X 1 , GM2
526105602111118, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 150 MG CAP GEL DURA CT BL AL PLAS INC X 2, GM2
526118203164112, FOSFATO DE CLINDAMICINA, FOSFATO CLINDAMICINA, FOSFATO CLINDAMICINA, 10 MG/G GEL CT BG AL X 45 G , GM2
526118201153113, FOSFATO DE CLINDAMICINA, FOSFATO CLINDAMICINA, FOSFATO CLINDAMICINA, 150 MG/ML SOL INJ CT 100 AMP VD INC X 4 ML (EMB HOSP), GM2
526118202168114, FOSFATO DE CLINDAMICINA, FOSFATO CLINDAMICINA, FOSFATO CLINDAMICINA, 20 MG/G CREM VAG CT BG AL X 20 G + 3 APLIC, GM2
526113002136110, FUMARATO DE CETOTIFENO, FUMARATO CETOTIFENO, FUMARATO CETOTIFENO, 0.2 MG/ML XPE CT FR VD AMB X 120 ML + CP DOS, GM2
526124501163119, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 1 MG/G CREM DERM CT BG AL X 20 G , GM2
526124502161111, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 1 MG/G POM DERM CT BG AL X 20 , GM2
526136002116119, FUMARATO DE QUETIAPINA, FUMARATO QUETIAPINA, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 30, GM2
526136003112117, FUMARATO DE QUETIAPINA, FUMARATO QUETIAPINA, NOT FOUND, 200 MG COM REV CT BL AL PLAS OPC X 30, GM2
526136001111113, FUMARATO DE QUETIAPINA, FUMARATO QUETIAPINA, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 14, GM2
526136004119115, FUMARATO DE QUETIAPINA, FUMARATO QUETIAPINA, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 30, GM2
