526119401131111; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + COP; GM2
526119402136117; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + COP; GM2
526112030083306; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG COM REV CT BL AL PLAS OPC X 12; GM2
526112070085006; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG COM REV CT BL AL AL X 12; GM2
526112030083206; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG COM REV CT BL AL PLAS OPC X 24; GM2
526112070085106; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG COM REV CT BL AL AL X 24; GM2
526127601169113; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 15 MG/G CREM DERM CT BG AL X 30 G ; GM2
526129201168116; ACETATO DE DEXAMETASONA; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1 MG/G CREM DERM CT BG AL X 10 G  ; GM2
526113207110113; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 100 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC); GM2
526113204170115; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 100 MG GRAN CT 16 ENV AL POLIET X 5 G ; GM2
526113201139111; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; GM2
526113205134112; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; GM2
526113208117111; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 200 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC); GM2
526113202135118; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 200 MG GRAN CT 16 ENV AL POLIET X 5 G ; GM2
526113206130110; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; GM2
526113209113111; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 600 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC); GM2
526113203131116; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 600 MG GRAN CT 16 ENV AL POLIET X 5 G; GM2
526123701169112; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G; GM2
526119901167115; ADAPALENO; ADAPALENO; ADAPALENO; 1 MG/G CREM DERM CT BG AL X 30 G; GM2
526119902163113; ADAPALENO; ADAPALENO; ADAPALENO; 1 MG/G GEL CT BG AL X 30 G ; GM2
526118302111114; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 200 MG COM MAST CT BL AL PLAS OPC X 2 ; GM2
526118303134118; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 40 MG/ML SUS OR CT FR VD AMB X 10 ML + CP MED; GM2
