526132602178414, GLAMIGAN, GLAMIGAN, NOT FOUND, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML , GM2
526132601171416, GLAMIGAN, GLAMIGAN, NOT FOUND, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML , GM2
526127401119414, GRIPEN F, GRIPEN F, NOT FOUND, 400 MG + 4 MG + 4 MG CAP GEL DURA CT FR PLAS OPC X 20 , GM2
526136202115418, GLYFLUCAN, GLYFLUCAN, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS LEIT X 1, GM2
526136201119411, GLYFLUCAN, GLYFLUCAN, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS LEIT X 2, GM2
526126601114116, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT BL AL PLAS LEIT X 30, GM2
526126602110114, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT BL AL PLAS LEIT X 30, GM2
526126603117112, GABAPENTINA, GABAPENTINA, GABAPENTINA, 600 MG COM REV CT BL AL PLAS OPC X 27, GM2
526119601112110, GENFIBROZILA, GENFIBROZILA, GENFIBROZILA, 600 MG COM REV CT BL AL PLAS INC X 24  , GM2
526119602119119, GENFIBROZILA, GENFIBROZILA, GENFIBROZILA, 900 MG COM REV CT BL AL PLAS INC X 12, GM2
526114401115115, GLIBENCLAMIDA, GLIBENCLAMIDA, GLIBENCLAMIDA, 5 MG COM CT BL AL PLAS INC X 30 , GM2
526131103119112, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 1 MG COM CT BL AL PLAS OPC X 30, GM2
526131104115110, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS OPC X 30, GM2
526131105111119, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS OPC X 60, GM2
526131101116116, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 4 MG COM CT BL PLAS OPC X 30, GM2
526131102112114, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 4 MG COM CT BL PLAS OPC X 60, GM2
