526115010094703, IMUSSUPREX, IMUSSUPREX, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 50, GM2
526106401111410, IMUSSUPREX, IMUSSUPREX, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 50, GM2
526113080089303, INIP, INIP, NOT FOUND, 150 MG COM REV LIB PROL CT BL AL AL  X 10, GM2
526136801116411, INIP, INIP, NOT FOUND, 150 MG COM REV LIB PROL CT BL AL AL X 30, GM2
526122802131112, IBUPROFENO, IBUPROFENO, IBUPROFENO, 100 MG/ML SUS OR CT FR PLAS OPC X 20 ML + CGT, GM2
526122805130117, IBUPROFENO, IBUPROFENO, IBUPROFENO, 20MG/ML SUS OR CT FR VD AMB X 100ML + SER DOSAD, GM2
526122801119119, IBUPROFENO, IBUPROFENO, IBUPROFENO, 200 MG COM REV CT BL AL PLAS OPC X 20, GM2
526122803111115, IBUPROFENO, IBUPROFENO, IBUPROFENO, 400 MG COM REV CT BL AL PLAS OPC X 10 , GM2
526122804134119, IBUPROFENO, IBUPROFENO, IBUPROFENO, 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML , GM2
526112010082606, INDAPAMIDA, INDAPAMIDA, INDAPAMIDA, 1.5 MG COM REV CT BL AL AL X 30, GM2
526112080086606, ISOTRETINOÍNA, ISOTRETINOINA, ISOTRETINOINA, 10 MG CAP GEL MOLE CT BL AL/AL X 30, GM2
526112080086706, ISOTRETINOÍNA, ISOTRETINOINA, ISOTRETINOINA, 20 MG CAP GEL MOLE CT BL AL/AL X 30, GM2
