526121702133115; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; GM2
526121701110111; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 2 MG + 0.25 MG COM CT BL AL PLAS LEIT  X 20; GM2
526108202130421; MUCOTOSS; MUCOTOSS; NOT FOUND; XPE INF FR X 100 ML; GM2
526108201134421; MUCOTOSS; MUCOTOSS; NOT FOUND; XPE ADU FR X 100 ML; GM2
526113110090203; MUSCUSAN; MUSCUSAN; NOT FOUND; 10MG COM REV CT BL AL PLAS OPC X 10; GM2
526113110090303; MUSCUSAN; MUSCUSAN; NOT FOUND; 10MG COM REV CT BL AL PLAS OPC X 30; GM2
526113110090003; MUSCUSAN; MUSCUSAN; NOT FOUND; 5MG COM REV CT BL AL PLAS OPC X 10; GM2
526113110090103; MUSCUSAN; MUSCUSAN; NOT FOUND; 5MG COM REV CT BL AL PLAS OPC X 30; GM2
526114060093104; MUSCUFENACO; MUSCUFENACO; NOT FOUND; 11.6 MG/G SOL AER DERM FILME PLAS CIL AL X 85 ML; GM2
526114080094203; MOTIRIDONA; MOTIRIDONA; NOT FOUND; 10 MG COM CT BL AL PLAS OPC X 30; GM2
526114080094303; MOTIRIDONA; MOTIRIDONA; NOT FOUND; 10 MG COM CT BL AL PLAS OPC X 60; GM2
526113020088804; MEZOLIUM; MEZOLIUM; NOT FOUND; 20 MG COM REV CT BL AL AL X 28; GM2
526113020088904; MEZOLIUM; MEZOLIUM; NOT FOUND; 40 MG COM REV CT BL AL AL X 28; GM2
526119301135115; MALEATO DE DEXCLORFENIRAMINA+SULFATODE PSEUDOEFEDRINA+GUAIFENESINA; MALEATO DEXCLORFENIRAMINA SULFATODE PSEUDOEFEDRINA GUAIFENESINA; NOT FOUND; 0.4 MG/ML + 4 MG/ML + 20 MG/ML SOL OR CT FR VD AMB X 120 ML  ; GM2
526113102114119; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 20 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; GM2
526113101118110; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 10 MG + 25 MG COM CT BL AL PLAS OPC X 30; GM2
526134901164411; MODIK; MODIK; NOT FOUND; 50 MG/G CREM DERM CT 06 SACH X 250 MG; GM2
526134902160411; MODIK; MODIK; NOT FOUND; 50 MG/G CREM DERM CT 12 SACH X 250 MG; GM2
526114902130117; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; GM2
526114903161113; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 10 MG/G CREM DERM CT BG AL X 30 G; GM2
526114901118113; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2 MG COM CT BL AL PLAS BCO LEIT X 20; GM2
526114904133113; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; GM2
526114502116117; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT STR AL AL X 30; GM2
526114503112115; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT STR AL AL X 30; GM2
526114501111111; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT STR AL AL X 30; GM2
526123001175111; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 2.5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; GM2
526123002171118; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; GM2
526126701135115; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED; GM2
526117701111111; MEBENDAZOL+TIABENDAZOL; MEBENDAZOL TIABENDAZOL; NOT FOUND; 200 MG + 332 MG COM MAST CT BL AL PLAS LEIT X 6; GM2
526119701117114; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLAS OPC X 10; GM2
526119702113112; MELOXICAM; MELOXICAM; MELOXICAM; 7.5MG COM CT BL AL PLAS OPC X 10; GM2
526123101171116; MESALAZINA; MESALAZINA; MESALAZINA; 3 G ENEMA CT SACH AL POLIET X 3 G + DIL FR PLAS TRANS X 100 ML; GM2
526123102117115; MESALAZINA; MESALAZINA; MESALAZINA; 800 MG COM REV CT BL AL PLAS LEIT X 30; GM2
526123201115110; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS OPC X 30 ; GM2
526124901171119; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GEL VAG CT BG AL X 50 G + 10 APLIC ; GM2
526127701112113; MICOFENOLATO DE MOFETILA; MICOFENOLATO MOFETILA; MICOFENOLATO MOFETILA; 500 MG COM REV CT BL AL PLAS LEIT X 50 (EMB HOSP); GM2
526130001118410; MICOIMMUN; MICOIMMUN; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 50; GM2
526114020090903; MISACARDIO; MISACARDIO; NOT FOUND; 40 MG COM CT BL AL AL X 30; GM2
526114020091003; MISACARDIO; MISACARDIO; NOT FOUND; 80 MG COM CT BL AL AL X 30; GM2
