526136301113413; SIGMATRIOL; SIGMATRIOL; NOT FOUND; 0.25 MCG CAP GEL MOLE CT FR VD AMB X 30; GM2
526116505112410; SOMALGIN CARDIO; SOMALGIN CARDIO; NOT FOUND; 325MG + 107.5MG + 48.75MG COM REV DUPLA CAM CT BL AL PVDC LEIT X 32; GM2
526116504116412; SOMALGIN CARDIO; SOMALGIN CARDIO; NOT FOUND; 100 MG + 30 MG + 15 MG COM REV DUPLA CAM CT BL AL PVDC LEIT X 32; GM2
526116501117418; SOMALGIN CARDIO; SOMALGIN CARDIO; NOT FOUND; 162 MG + 48.6 MG + 24.3 MG COM REV DUPLA CAM CT 4 BL AL PVDC LEIT X 8 ; GM2
526116502113416; SOMALGIN CARDIO; SOMALGIN CARDIO; NOT FOUND; 200 MG + 60 MG + 30 MG COM REV DUPLA CAM CT 4 BL AL PVDC LEIT X 8 ; GM2
526110907111411; SIGMASPORIN; SIGMASPORIN; NOT FOUND; 10 MG CAP GEL MOLE CT 6 BL AL/AL X 10; GM2
526110905119413; SIGMASPORIN; SIGMASPORIN; NOT FOUND; 100 MG CAP GEL MOLE CT  BL AL/AL X 50; GM2
526110906131417; SIGMASPORIN; SIGMASPORIN; NOT FOUND; 100 MG/ML SOL OR CT FR VD AMB X 50 ML; GM2
526110908118418; SIGMASPORIN; SIGMASPORIN; NOT FOUND; 25 MG CAP GEL MOLE CT FR VD AMB X 50; GM2
526110909114416; SIGMASPORIN; SIGMASPORIN; NOT FOUND; 50 MG CAP GEL MOLE CT FR VD AMB X 50; GM2
526136702118416; SIGRAN; SIGRAN; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 30; GM2
526136701111418; SIGRAN; SIGRAN; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS OPC X 30; GM2
526129503172418; SODEN; SODEN; NOT FOUND; 1 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; GM2
526129501110415; SODEN; SODEN; NOT FOUND; 100MG COM REV DESINT LENTA CT BL L PLAS INC X 10 ; GM2
526129502117413; SODEN; SODEN; NOT FOUND; 100MG COM REV DESINT LENTA CT BL L PLAS INC X 20; GM2
526131701172114; SULFATO DE GENTAMICINA + FOSFATO DISSÓDICO DE BETAMETASONA; SULFATO GENTAMICINA FOSFATO DISSODICO BETAMETASONA; NOT FOUND; 3 MG/ML + 1 MG/ML SOL OFT CT FR PLAS TRANS GOT X 10 ML; GM2
526128201131117; SULFATO DE SALBUTAMOL + GUAIFENESINA; SULFATO SALBUTAMOL GUAIFENESINA; NOT FOUND; 0.4 MG/ML + 20 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; GM2
526112090086803; SEROLEX; SEROLEX; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 30; GM2
526113080089403; SEROLEX; SEROLEX; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 7; GM2
526112090086903; SEROLEX; SEROLEX; NOT FOUND; 20 MG COM REV CT BL AL PLAS OPC X  30; GM2
526133602112111; SINVASTATINA; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS OPC X 30; GM2
526133601116111; SINVASTATINA; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 30; GM2
526133604115116; SINVASTATINA; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 60; GM2
526133605111114; SINVASTATINA; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS OPC X 30; GM2
526133603119118; SINVASTATINA; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS OPC X 60; GM2
526123501151112; SULFATO DE MORFINA; SULFATO MORFINA; NOT FOUND; 0.2 MG/ML SOL INJ CT 50 AMP VD AMB X 1 ML (EMB HOSP); GM2
526123502158110; SULFATO DE MORFINA; SULFATO MORFINA; NOT FOUND; 1 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML (EMB HOSP) ; GM2
526123503154119; SULFATO DE MORFINA; SULFATO MORFINA; NOT FOUND; 10 MG/ML SOL INJ CT 50 AMP VD AMB X 1 ML (EMB HOSP); GM2
526111101110423; SOMALGIN; SOMALGIN; NOT FOUND; 100MG 8STP X 4 COMP; GM2
526111104111420; SOMALGIN; SOMALGIN; NOT FOUND; 100MG 8STP X 4 COMP CARDIO; GM2
526111102117421; SOMALGIN; SOMALGIN; NOT FOUND; 325MG 8STP X 4 COMP; GM2
526111105116426; SOMALGIN; SOMALGIN; NOT FOUND; 325MG 8STPX 4 COMP CARDIO; GM2
