526137302113415, TIGMA, TIGMA, NOT FOUND, 1.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30, GM2
526137303111416, TIGMA, TIGMA, NOT FOUND, 3.0 MG CAP GEL DURA CT BL AL PLAS OPC X 30, GM2
526137304116411, TIGMA, TIGMA, NOT FOUND, 4.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30, GM2
526137301117417, TIGMA, TIGMA, NOT FOUND, 6.0 MG CAP GEL DURA CT BL AL PLAS OPC X 30, GM2
526116601162113, TINIDAZOL + NITRATO DE MICONAZOL, TINIDAZOL NITRATO MICONAZOL, NOT FOUND, 30 MG/G + 20 MG/G CREM VAG CT BG AL X 45G + 7 APLIC , GM2
526137201112413, TEKZOR, TEKZOR, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 60, GM2
526131001111112, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL PLAS OPC X 20, GM2
526131002118110, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL PLAS OPC X 30, GM2
526112080086406, TELMISARTANA, TELMISARTANA, TELMISARTANA, 40 MG COM CT BL AL AL X 30, GM2
526112080086506, TELMISARTANA, TELMISARTANA, TELMISARTANA, 80 MG COM CT BL AL AL X 30, GM2
526132201165117, TERCONAZOL, TERCONAZOL, TERCONAZOL, 8 MG/G CREM VAG CT BG AL X 30 G + 5 APLIC, GM2
526122002161114, TIABENDAZOL, TIABENDAZOL, TIABENDAZOL, 50 MG/G POM DERM CT BG AL X 45 G , GM2
526122001112111, TIABENDAZOL, TIABENDAZOL, TIABENDAZOL, 500 MG COM CT BL AL PLAS LEIT X 6, GM2
526112100087406, TIBOLONA, TIBOLONA, TIBOLONA, 2.5 MG COM CT BL AL PLAS OPC X 30, GM2
526113020088703, TILOGER, TILOGER, NOT FOUND, 2.5 MG COM CT BL AL PLAS OPC X 30, GM2
526128301118112, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS LEIT X 4 , GM2
526128302114110, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS LEIT X 8, GM2
526111801163112, TIOCONAZOL + TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, 20 MG/G + 30 MG/G CREM VAG CT BG AL X 35 G + 7 APLIC, GM2
526131801177118, TOBRAMICINA, TOBRAMICINA, TOBRAMICINA, 3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, GM2
526125901114113, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 100 MG COM REV CT BL AL PLAS LEIT X 60, GM2
526125902110111, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 25 MG COM REV CT BL AL PLAS LEIT X 60, GM2
526125903117111, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 50 MG COM REV CT BL AL PLAS LEIT X 60, GM2
526112030083106, TRAVOPROSTA, TRAVOPROSTA, TRAVOPROSTA, 0.04 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML, GM2
526136501171417, TRAVAMED, TRAVAMED, NOT FOUND, 0.04 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML, GM2
526126101111118, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, 10 MG COM SUB-LING CT FR VD AMB X 10, GM2
