1039001590015; DEQUADIN; DEQUADIN; NOT FOUND; 0.25 MG + 5 MG PAST CT 2 STR AL X 10 (SABOR LARANJA); FQM
1039001590031; DEQUADIN; DEQUADIN; NOT FOUND; 0.25 MG + 5 MG PAST CT 2 STR AL X 10 (SABOR LIMAO); FQM
1039001590023; DEQUADIN; DEQUADIN; NOT FOUND; 0.25 MG + 5 MG PAST CT 2 STR AL X 10 (SABOR MENTA); FQM
1039001390040; DOLAMIN; DOLAMIN; NOT FOUND; 50 MG/ML SOL INJ CX 6 AMP VD AMB X 4 ML; FQM
1039001390016; DOLAMIN; DOLAMIN; NOT FOUND; 125 MG COM REV CT BL AL PLAS INC X 16; FQM
1039001740025; DOLAMIN FLEX; DOLAMIN FLEX; NOT FOUND; 125 MG + 5.0 MG COM REV CT BL AL PLAS INC X 15; FQM
1039001740017; DOLAMIN FLEX; DOLAMIN FLEX; NOT FOUND; 125 MG + 5.0 MG COM REV CT BL AL PLAS INC X 12; FQM
1039001370015; DIMEFOR; DIMEFOR; NOT FOUND; 850 MG COM CT FR PLAS OPC INC X 30; FQM
1039001370023; DIMEFOR; DIMEFOR; NOT FOUND; 500 MG COM REV CT FR PLAS INC X 30; FQM
1039001480023; DARAPRIM; DARAPRIM; NOT FOUND; 25 MG COM CT FR VD INC X 100; FQM
1039001480015; DARAPRIM; DARAPRIM; NOT FOUND; 25 MG COM CT BL  AL PVC X 30; FQM
