525001701115419, CALMOCITENO, CALMOCITENO, NOT FOUND, 10 MG CX C/ 200 COMP, MD7
525001702111417, CALMOCITENO, CALMOCITENO, NOT FOUND, 5 MG COM CT 2 BL AL PLAS INC X 15, MD7
525001703118415, CALMOCITENO, CALMOCITENO, NOT FOUND, 5 MG COMP CT C/1 BL X 20, MD7
525001704114413, CALMOCITENO, CALMOCITENO, NOT FOUND, 5 MG CX C/200 COMP, MD7
525001801111113, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COMP CT 1 BL AL PLAS INC X 16, MD7
525001802116119, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COMP CT 1 BL AL PLAS INC X 30, MD7
525001803112117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COMP CT 2 BL AL PLAS INC X 30, MD7
525001804119115, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COMP CT 3 BL AL PLAS INC X 30, MD7
525001805115113, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COMP CT 1 BL AL PLAS INC X 16, MD7
525001806111111, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COMP CT 1 BL AL PLAS INC X 30, MD7
525001807118111, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COMP CT 2 BL AL PLAS INC X 30, MD7
525001808114118, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COMP CT 3 BL AL PLAS INC X 30, MD7
525001809110116, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COMP CT 1 BL AL PLAS INC X 16, MD7
525001810119113, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COMP CT 1 BL AL PLAS INC X 30, MD7
525001811115111, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COMP CT 2 BL AL PLAS INC X 30, MD7
