525007901132111, MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED X 10 ML, MD7
525008502134429, MUCIBRON, MUCIBRON, NOT FOUND, XPE PED FR CX C/100 ML, MD7
525008501138420, MUCIBRON, MUCIBRON, NOT FOUND, XPE ADU C/ 100 ML, MD7
525012110101403, MORATUS, MORATUS, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 15, MD7
525072002112411, MORATUS, MORATUS, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 20, MD7
525072001116411, MORATUS, MORATUS, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 30, MD7
525008301112411, MÍNIMA, MINIMA, NOT FOUND, 0.06 MG + 0.015 MG COM REV CT BL AL PLAS INC X 24 + 4 COM REV INERTE, MD7
525008302119418, MÍNIMA, MINIMA, NOT FOUND, 0.06 MG + 0.015 MG COM REV CT COM 03 BL AL PLAS INC X 24 + 4 COM REV INERTES, MD7
525065002137118, MALEATO DE DEXCLORFENIRAMINA+SULFATO DE PSEUDOEFEDRINA+GUAIFENESINA, MALEATO DEXCLORFENIRAMINA SULFATO PSEUDOEFEDRINA GUAIFENESINA, NOT FOUND, 0.4MG/ML+4.0MG/ML+20.0MG/ML SOL OR CT FR VD AMB X 120ML + 1 DOSADOR  , MD7
525008103116117, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 20 MG/12.5 MG COM 3 STR X 10, MD7
525008101113110, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 10 MG + 25 MG COM CT STR AL X 30, MD7
525007801138118, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED X 10 ML, MD7
525007802169114, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 10 MG/G CREM DERM CT BG AL X 30 G
, MD7
525008004118111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 30   , MD7
525008002115115, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT STR AL X 30 , MD7
525008005114111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 30   , MD7
525008003111113, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT STR AL X 30  , MD7
525008006110118, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL/AL X 30  , MD7
525071102113118, MALEATO DE MIDAZOLAM, MALEATO MIDAZOLAM, MALEATO MIDAZOLAM, 15 MG COM REV CT BL AL PLAS INC X 20, MD7
525071104116114, MALEATO DE MIDAZOLAM, MALEATO MIDAZOLAM, MALEATO MIDAZOLAM, 15 MG COM REV CT BL AL PLAS INC X 30, MD7
525071101117111, MALEATO DE MIDAZOLAM, MALEATO MIDAZOLAM, MALEATO MIDAZOLAM, 7.5 MG COM REV CT BL AL PLAS INC X 20, MD7
525071103111119, MALEATO DE MIDAZOLAM, MALEATO MIDAZOLAM, MALEATO MIDAZOLAM, 7.5 MG COM REV CT BL AL PLAS INC X 30, MD7
525065201131111, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CT FR VD AMB X 30 ML + DOSADOR , MD7
525065203116118, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 500 MG COM CT BL AL PLAS INC X 50 (EMB MULT), MD7
525064001110110, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PLAS INC X 10, MD7
525064002117119, MELOXICAM, MELOXICAM, MELOXICAM, 7.5 MG COM CT BL AL PLAS INC X 10, MD7
525066903111117, MESILATO DE DOXAZOSINA, MESILATO DOXAZOSINA, MESILATO DOXAZOSINA, 2 MG COM CT BL AL PLAS INC X 30, MD7
525008201118114, METILDOPA, METILDOPA, METILDOPA, 250 MG COM REV BL AL PLAS INC X 30, MD7
525008203110110, METILDOPA, METILDOPA, METILDOPA, 500 MG COM REV CT BL AL PLAS INC X 30, MD7
525068002162117, MUPIROCINA, MUPIROCINA, MUPIROCINA, 20 MG/G POM DERM CT BG AL X 15 G, MD7
