525067901163118, BENZOILMETRONIDAZOL + NISTATINA + CLORETO DE BENZALCÔNIO, BENZOILMETRONIDAZOL NISTATINA CLORETO BENZALCONIO, NOT FOUND, 62.5 MG/G + 25.000 UI/G + 1.25 MG/G CREM VAG CT BG AL X 40 G + 10 APLIC, MD7
525001201112119, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS OPC X 20, MD7
525001202119117, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS OPC X 30, MD7
525001203115115, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5.0 MG COM CT BL AL PLAS OPC X 20, MD7
525001204111113, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5.0 MG COM CT BL AL PLAS OPC X 30, MD7
525001301133118, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED X 10 ML, MD7
525013090103206, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML, MD7
525069901111114, BISSULFATO DE CLOPIDOGREL, BISSULFATO CLOPIDOGREL, BISSULFATO CLOPIDOGREL, 75 MG COM REV CT BL AL/AL X 14, MD7
525069905115114, BISSULFATO DE CLOPIDOGREL, BISSULFATO CLOPIDOGREL, BISSULFATO CLOPIDOGREL, 75 MG COM REV CT BL AL/AL X 28, MD7
525069904119116, BISSULFATO DE CLOPIDOGREL, BISSULFATO CLOPIDOGREL, BISSULFATO CLOPIDOGREL, 75 MG COM REV CT BL AL/AL X 84 (EMB FRAC), MD7
525001401111116, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT BL AL PLAS INC X 20, MD7
525001402118114, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT BL AL PLAS INC X 30, MD7
525001403114112, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT BL AL PLAS INC X 20, MD7
525001404110110, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT BL AL PLAS INC X 30, MD7
525001601137119, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 1 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, MD7
525001502112118, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 10 MG CAP GEL DURA CT BL AL PLAS INC X 20 , MD7
525001505111112, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 10 MG CAP GEL DURA CT BL AL PLAS INC X 60 (EMB FRAC), MD7
525001602133117, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 4 MG/ML SOL OR CT FR VD AMB X 20 ML + CGT, MD7
525012030099606, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, MD7
525063002131113, BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA 6,67 MG/ML + 334,60 MG/ML, BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA 6 67 ML 334 60 ML, NOT FOUND, 6.67 MG/ML + 333.40 MG/ML SOL OR CT FR VD AMB GOT X 20 ML, MD7
525074302113418, BECARVE, BECARVE, NOT FOUND, 12.5 MG COM CT BL AL/AL X 15, MD7
525074303111419, BECARVE, BECARVE, NOT FOUND, 12.5 MG COM CT BL AL/AL X 30, MD7
525074304116414, BECARVE, BECARVE, NOT FOUND, 12.5 MG COM CT BL AL/AL X 90 (EMB FRAC), MD7
525074301117411, BECARVE, BECARVE, NOT FOUND, 3.125 MG COM CT BL AL/AL X 15, MD7
525074305112412, BECARVE, BECARVE, NOT FOUND, 25 MG COM CT BL AL/AL X 15, MD7
525074312119419, BECARVE, BECARVE, NOT FOUND, 6.25 MG COM CT BL AL/AL X 15, MD7
525074306119410, BECARVE, BECARVE, NOT FOUND, 25 MG COM CT BL AL/AL X 30, MD7
525074309118415, BECARVE, BECARVE, NOT FOUND, 3.125 MG COM CT BL AL/AL X 30, MD7
525074313115417, BECARVE, BECARVE, NOT FOUND, 6.25 MG COM CT BL AL/AL X 30, MD7
525074311112410, BECARVE, BECARVE, NOT FOUND, 3.125 MG COM CT BL AL/AL X 500 (EMB HOSP), MD7
525074307115419, BECARVE, BECARVE, NOT FOUND, 25 MG COM CT BL AL/AL X 60, MD7
525074310116412, BECARVE, BECARVE, NOT FOUND, 3.125 MG COM CT BL AL/AL X 60 (EMB HOSP), MD7
525074308111417, BECARVE, BECARVE, NOT FOUND, 25 MG COM CT BL AL/AL X 90 (EMB FRAC), MD7
525074314111415, BECARVE, BECARVE, NOT FOUND, 6.25 MG COM CT BL AL/AL X 90 (EMB FRAC), MD7
525074315118413, BECARVE, BECARVE, NOT FOUND, 3.125 MG COM CT BL AL/AL X 90 (EMB FRAC), MD7
525001101134412, BENTYL, BENTYL, NOT FOUND, 20 MG/ML SOL OR CT FR VD AMB X 15 ML + CGT (BULBO+CANDULA), MD7
525072202111417, BENESTARE, BENESTARE, NOT FOUND, 625 MG COM REV CT BL AL PLAS INC X 14, MD7
525072201115419, BENESTARE, BENESTARE, NOT FOUND, 625 MG COM REV CT BL AL PLAS INC X 30, MD7
