525009601111115, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT 2 BL AL PLAS INC X 7, MD7
525009602116110, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT 4 BL AL PLAS INC X 7, MD7
525009603112119, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL PLAS INC X 7, MD7
525009607118111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 42, MD7
525009604119117, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT 2 BL AL PLAS INC X 7, MD7
525009605115115, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT 4 BL AL PLAS INC X 7, MD7
525009606111113, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL PLAS INC X 7, MD7
525009608114111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 42, MD7
525009801119411, PARENZYME AMPICILINA, PARENZYME AMPICILINA, NOT FOUND, CAPS CT C/2 BL X 8, MD7
525009802115411, PARENZYME AMPICILINA, PARENZYME AMPICILINA, NOT FOUND, CAPS CT C/BL X 8, MD7
525009901113415, PARENZYME ANALGÉSICO, PARENZYME ANALGESICO, NOT FOUND, 41200+8230 UNF DRG CT C/2 BL X 9, MD7
525010001112416, PARENZYME ENZIMAS, PARENZYME ENZIMAS, NOT FOUND, 41200+8230 UNF DRG CX C/1 BL X 16, MD7
525010101117411, PARENZYME TETRACICLINA, PARENZYME TETRACICLINA, NOT FOUND, 500 MG CAPS CT C/1 BL X 8, MD7
525063703138416, PERIDAL, PERIDAL, NOT FOUND, 1 MG/ML SUS OR CT FR VD AMB X 100 ML + DOSADOR, MD7
525063702115412, PERIDAL, PERIDAL, NOT FOUND, 10 MG COM CT C/ 2 BL AL PLAS INC X 15, MD7
525063701119414, PERIDAL, PERIDAL, NOT FOUND, 10 MG COM CT C/ 3 BL AL PLAS INC X 20, MD7
525067001111111, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA EST FR PLAS OPC X 10, MD7
525067003114118, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA EST FR PLAS OPC X 15, MD7
525010201111413, PLENTY, PLENTY, NOT FOUND, 10 MG CAPS GEL DURA CT 3 BL X 10, MD7
