525012020098903; DOU-CETOFEN; DOU CETOFEN; NOT FOUND; 150 MG COM AP CT BL AL PLAS INC X 10; MD7
525012020099003; DOU-CETOFEN; DOU CETOFEN; NOT FOUND; 150 MG COM AP CT BL AL PLAS INC X 4; MD7
525012020098203; DIELOFT; DIELOFT; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 15; MD7
525069407115414; DIELOFT; DIELOFT; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 20; MD7
525069408111412; DIELOFT; DIELOFT; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 30; MD7
525069406119416; DIELOFT; DIELOFT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 14; MD7
525012020098103; DIELOFT; DIELOFT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 15; MD7
525069404116411; DIELOFT; DIELOFT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; MD7
525069403111414; DIELOFT; DIELOFT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 30; MD7
525012040100406; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5MG/ML XPE CT FR VD AMB X 100ML + SER DOSAD ; MD7
525012040100206; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5MG/ML XPE CT FR VD AMB X 30ML + SER DOSAD ; MD7
525012040100306; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5MG/ML XPE CT FR VD AMB X 60ML + SER DOSAD ; MD7
525004305164314; DESONOL; DESONOL; NOT FOUND; 0.5 MG/G CREM DERM CT BG AL X 10 G; MD7
525004301169311; DESONOL; DESONOL; NOT FOUND; 0.5 MG/G POM DERM CT BG AL X 30 G; MD7
525004303161318; DESONOL; DESONOL; NOT FOUND; 0.5 MG/G LOC CT FR PLAS OPC X 30 G; MD7
525064204161119; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G POM DERM CT BG AL X 30G ; MD7
525064208165119; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G CREM DERM CT BG AL X 30 G ; MD7
525064207134112; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G LOC CT FR PLAS OPC X 60 G; MD7
525004304176416; DESONOL; DESONOL; NOT FOUND; 0.5 MG/G LOC CT FR PLAS OPC X 60 G; MD7
525004302173312; DESONOL; DESONOL; NOT FOUND; 1 MG/G LOC CAP CT FR PLAS OPC GOT X 30 G; MD7
525004401139112; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED X 10 ML; MD7
525004801137117; DICLOFENACO RESINATO; DICLOFENACO RESINATO; NOT FOUND; 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; MD7
525004501117110; DICLOFENACO DE COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS INC X 14; MD7
