525005901119410; FERROTRAT; FERROTRAT; NOT FOUND; 332.38MG + 1MG + 25MCG COM REV CT BL AL PLAS INC X 20; MD7
525006201110419; FLUVERT; FLUVERT; NOT FOUND; 10 MG COM CT 3 BL AL PLAS INC X 10; MD7
525065405118111; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL PLAS INC X 30 ; MD7
525065404111113; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL PLAS INC X 60 (EMB HOSP); MD7
525065402119117; FINASTERIDA; FINASTERIDA; FINASTERIDA; 5 MG COM REV CT BL AL PLAS INC X 30 ; MD7
525006101116113; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1; MD7
525006102112111; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2; MD7
525073402165111; FLUOCINOLONA ACETONIDA + HIDROQUINONA + TRETINOÍNA; FLUOCINOLONA ACETONIDA HIDROQUINONA TRETINOINA; NOT FOUND; 0.1MG/G+40MG/G+0.5MG/G CREM DERM CT BG AL X 10G; MD7
525073403161118; FLUOCINOLONA ACETONIDA + HIDROQUINONA + TRETINOÍNA; FLUOCINOLONA ACETONIDA HIDROQUINONA TRETINOINA; NOT FOUND; 0.1MG/G+40MG/G+0.5MG/G CREM DERM CT BG AL X 15G; MD7
525073404168116; FLUOCINOLONA ACETONIDA + HIDROQUINONA + TRETINOÍNA; FLUOCINOLONA ACETONIDA HIDROQUINONA TRETINOINA; NOT FOUND; 0.1MG/G+40MG/G+0.5MG/G CREM DERM CT BG AL X 30G; MD7
525073401169111; FLUOCINOLONA ACETONIDA + HIDROQUINONA + TRETINOÍNA; FLUOCINOLONA ACETONIDA HIDROQUINONA TRETINOINA; NOT FOUND; 0.1MG/G+40MG/G+0.5MG/G CREM DERM CT BG AL X 6G; MD7
525006301131116; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 1 MG/ML SOL OR CT FR VD AMB X 100 ML + DOSADOR; MD7
525006402132118; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CT FR VD AMB X 120 ML+ CP MED; MD7
525006401136111; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 1 MG/ML SOL OR CT FR VD AMB X 30 ML + CGT; MD7
525068801162118; FUROATO DE MOMETASONA; FUROATO MOMETASONA; FUROATO MOMETASONA; 1 MG/G POM DERM CT BG AL X 20 G; MD7
525068802169116; FUROATO DE MOMETASONA; FUROATO MOMETASONA; FUROATO MOMETASONA; 1 MG/G CREM DERM CT BG AL X 20 G; MD7
525006501114411; FUROSEM; FUROSEM; NOT FOUND; 40 MG COM CT BL AL PLAS AMB X 20; MD7
525073902133411; FEBSEN; FEBSEN; NOT FOUND; 100 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; MD7
525073901137413; FEBSEN; FEBSEN; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML; MD7
525014110107404; FLUXOCOR; FLUXOCOR; NOT FOUND; 20 MG COM  REV CT BL AL/AL X 10 ; MD7
525014110107504; FLUXOCOR; FLUXOCOR; NOT FOUND; 20 MG COM  REV CT BL AL/AL X 30; MD7
525014110107604; FLUXOCOR; FLUXOCOR; NOT FOUND; 20 MG COM  REV CT BL AL/AL X 60; MD7
525014110107704; FLUXOCOR; FLUXOCOR; NOT FOUND; 40 MG COM  REV CT BL AL/AL X 10; MD7
525014110107804; FLUXOCOR; FLUXOCOR; NOT FOUND; 40 MG COM  REV CT BL AL/AL X 30; MD7
525014110107904; FLUXOCOR; FLUXOCOR; NOT FOUND; 40 MG COM  REV CT BL AL/AL X 60; MD7
525014040104203; FACYL 500; FACYL 500; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 8; MD7
525005806167411; FACYL 500; FACYL 500; NOT FOUND; M CREME VAG CT C/BISN C/80 G + 14 APL; MD7
525005803117413; FACYL 500; FACYL 500; NOT FOUND; 500 MG COMP REV CX C/4 ( 1 BL X 4 ); MD7
525005801114417; FACYL 500; FACYL 500; NOT FOUND; 500MG COM REV CT BL AL PLAS INC X 8; MD7
