525009501174417, OTOMICINA, OTOMICINA, NOT FOUND, 25 MG/ML + 30 MG/ML SOL OTO CT FR PLAS OPC GOT X 10 ML, MD7
525068301119418, OSTEONUTRI, OSTEONUTRI, NOT FOUND, 600 MG + 400 UI COM REV CT FR PLAS OPC X 60, MD7
525068302115416, OSTEONUTRI, OSTEONUTRI, NOT FOUND, 600 MG + 400 UI COM REV CT BL AL PLAS OPC X 8, MD7
525074502112113, OLANZAPINA, OLANZAPINA, OLANZAPINA, 10 MG COM REV CT BL AL/AL X 10, MD7
525074809110413, OPINOX, OPINOX, NOT FOUND, 10 MG COM REV CT BL AL/AL X 10, MD7
525074503119111, OLANZAPINA, OLANZAPINA, OLANZAPINA, 10 MG COM REV CT BL AL/AL X 15, MD7
525074810119410, OPINOX, OPINOX, NOT FOUND, 10 MG COM REV CT BL AL/AL X 15, MD7
525074504115111, OLANZAPINA, OLANZAPINA, OLANZAPINA, 10 MG COM REV CT BL AL/AL X 30, MD7
525074811115419, OPINOX, OPINOX, NOT FOUND, 10 MG COM REV CT BL AL/AL X 30, MD7
525074505111118, OLANZAPINA, OLANZAPINA, OLANZAPINA, 10 MG COM REV CT BL AL/AL X 60 (EMB HOSP), MD7
525074812111417, OPINOX, OPINOX, NOT FOUND, 10 MG COM REV CT BL AL/AL X 60 (EMB HOSP), MD7
525074506118116, OLANZAPINA, OLANZAPINA, OLANZAPINA, 10 MG COM REV CT BL AL/AL X 7, MD7
525074807118417, OPINOX, OPINOX, NOT FOUND, 10 MG COM REV CT BL AL/AL X 7, MD7
525074501116115, OLANZAPINA, OLANZAPINA, OLANZAPINA, 2.5 MG COM REV CT BL AL/AL X 10, MD7
525074801111410, OPINOX, OPINOX, NOT FOUND, 2.5 MG COM REV CT BL AL/AL X 10, MD7
525074507114114, OLANZAPINA, OLANZAPINA, OLANZAPINA, 2.5 MG COM REV CT BL AL/AL X 15, MD7
525074802116416, OPINOX, OPINOX, NOT FOUND, 2.5 MG COM REV CT BL AL/AL X 15, MD7
525074508110112, OLANZAPINA, OLANZAPINA, OLANZAPINA, 2.5 MG COM REV CT BL AL/AL X 30, MD7
525074803112414, OPINOX, OPINOX, NOT FOUND, 2.5 MG COM REV CT BL AL/AL X 30, MD7
525074509117110, OLANZAPINA, OLANZAPINA, OLANZAPINA, 2.5 MG COM REV CT BL AL/AL X 60 (EMB HOSP), MD7
525074808114415, OPINOX, OPINOX, NOT FOUND, 2.5 MG COM REV CT BL AL/AL X 60 (EMB HOSP), MD7
525074510115118, OLANZAPINA, OLANZAPINA, OLANZAPINA, 5.0 MG COM REV CT BL AL/AL X 10, MD7
525074804119412, OPINOX, OPINOX, NOT FOUND, 5 MG COM REV CT BL AL/AL X 10, MD7
525074511111116, OLANZAPINA, OLANZAPINA, OLANZAPINA, 5.0 MG COM REV CT BL AL/AL X 15, MD7
525074805115410, OPINOX, OPINOX, NOT FOUND, 5 MG COM REV CT BL AL/AL X 15, MD7
525074512118114, OLANZAPINA, OLANZAPINA, OLANZAPINA, 5.0 MG COM REV CT BL AL/AL X 30, MD7
525074806111419, OPINOX, OPINOX, NOT FOUND, 5 MG COM REV CT BL AL/AL X 30, MD7
525009301116111, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 10 MG CAP GEL DURA LIB RETARD CT BL AL PLAS INC X 14, MD7
525009303119118, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 20 MG CAP GEL DURA LIB RETARD CT BL AL PLAS INC X 14, MD7
525009306118112, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 20 MG CAP GEL DURA LIB RETARD CT BL AL PLAS INC X 28, MD7
525009308110119, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 20 MG CAP GEL DURA LIB RETARD CT  BL AL PLAS INC X 42, MD7
525009307114110, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 20 MG CAP GEL DURA LIB RETARD CT BL AL PLAS INC X 60 (EMB FRAC) , MD7
525009304115116, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 20 MG CAP GEL DURA LIB RETARD CT  BL AL PLAS INC X 7, MD7
525009305111114, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 40 MG CAP GEL DURA LIB RETARD CT BL AL PLAS INC X 7, MD7
525014080104806, OXALATO DE ESCITALOPRAM, OXALATO ESCITALOPRAM, OXALATO ESCITALOPRAM, 10 MG COM REV CT BL AL PLAS INC X 30, MD7
525014080104906, OXALATO DE ESCITALOPRAM, OXALATO ESCITALOPRAM, OXALATO ESCITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 30, MD7
525067608113110, OXCARBAZEPINA, OXCARBAZEPINA, OXCARBAZEPINA, 300 MG COM REV CT BL AL PLAS INC X 20, MD7
525067602115111, OXCARBAZEPINA, OXCARBAZEPINA, OXCARBAZEPINA, 300 MG COM REV CT BL AL PLAS INC X 30, MD7
525067605114116, OXCARBAZEPINA, OXCARBAZEPINA, OXCARBAZEPINA, 600 MG COM REV CT BL AL PLAS INC X 20, MD7
525067606110114, OXCARBAZEPINA, OXCARBAZEPINA, OXCARBAZEPINA, 600 MG COM REV CT BL AL PLAS INC X 30, MD7
