1557300080035; TEVACARBO; TEVACARBO; NOT FOUND; 10 MG/ML SOL INJ CT FA VD AMB X 45 ML (EMB HOSP); TEV
1557300080019; TEVACARBO; TEVACARBO; NOT FOUND; 10 MG/ML SOL INJ CT FA VD AMB X 5 ML (EMB HOSP); TEV
1557300080027; TEVACARBO; TEVACARBO; NOT FOUND; 10 MG/ML SOL INJ CT FA VD AMB X 15 ML (EMB HOSP); TEV
1557300120010; TEVAIRINOT; TEVAIRINOT; NOT FOUND; 20 MG/ML SOL INJ IV CT FA VD AMB X 2 ML; TEV
1557300120029; TEVAIRINOT; TEVAIRINOT; NOT FOUND; 20 MG/ML SOL INJ IV CT FA VD AMB X 5 ML; TEV
1557300070013; TEVAETOPO; TEVAETOPO; NOT FOUND; 20 MG/ ML SOL INJ CT 10 FA VD INC X 5 ML; TEV
1557300130016; TEVAGRASTIM; TEVAGRASTIM; NOT FOUND; 300 MCG SOL INJ CT 5 SER PREENC VD INC X 0.5 ML; TEV
1557300130024; TEVAGRASTIM; TEVAGRASTIM; NOT FOUND; 300 MCG SOL INJ CT 5 SER PREENC VD INC X 0.5 ML + DISPOSITIVO DE SEGURANCA; TEV
1557300130040; TEVAGRASTIM; TEVAGRASTIM; NOT FOUND; 300 MCG SOL INJ CT 1 SER PREENC VD INC X 0.5 ML + DISPOSITIVO DE SEGURANCA 04; TEV
1557300130067; TEVAGRASTIM; TEVAGRASTIM; NOT FOUND; 300 MCG SOL INJ CT 10 SER PREENC VD INC X 0.5 ML + DISPOSITIVO DE SEGURANCA 06; TEV
1557300110023; TEVAFOLIN; TEVAFOLIN; NOT FOUND; 10 MG/ML SOL INJ CT 1 FA VD INC X 30ML  ; TEV
1557300110015; TEVAFOLIN; TEVAFOLIN; NOT FOUND; 10 MG/ML SOL INJ CT 1 FA VD INC X 5ML ; TEV
1557300110031; TEVAFOLIN; TEVAFOLIN; NOT FOUND; 10 MG/ML SOL INJ CT FA VD INC X 10ML; TEV
1557300110041; TEVAFOLIN; TEVAFOLIN; NOT FOUND; 10 MG/ML SOL INJ CT FA VD INC X 20ML; TEV
1557300110058; TEVAFOLIN; TEVAFOLIN; NOT FOUND; 10 MG/ML SOL INJ CT 1 FA VD INC X 35 ML; TEV
1557300110066; TEVAFOLIN; TEVAFOLIN; NOT FOUND; 10 MG/ML SOL INJ CT FA VD INC X 50ML; TEV
1557300100011; TEVAMESNA; TEVAMESNA; NOT FOUND; 100 MG/ML SOL INJ CT 5 AMP VD AMBAR X 4ML; TEV
1557300020016; TEVAMETHO; TEVAMETHO; NOT FOUND; 25 MG/ML SOL INJ CT FA VD INC X 2 ML; TEV
1557300020024; TEVAMETHO; TEVAMETHO; NOT FOUND; 25 MG/ML SOL INJ CT FA VD INC X 20 ML; TEV
1557300020040; TEVAMETHO; TEVAMETHO; NOT FOUND; 100 MG/ML SOL INJ CT FA VD INC X 50 ML; TEV
1557300020032; TEVAMETHO; TEVAMETHO; NOT FOUND; 100 MG/ML SOL INJ CT FA VD INC X 10 ML ; TEV
1557300050012; TEVAOXALI; TEVAOXALI; NOT FOUND; 100MG PO LIOF INJ CT FA VD INC; TEV
1557300050039; TEVAOXALI; TEVAOXALI; NOT FOUND; 5 MG/ML SOL INJ CT FA VD INC X 10 ML; TEV
1557300050047; TEVAOXALI; TEVAOXALI; NOT FOUND; 5 MG/ML SOL INJ CT FA VD INC X 20 ML; TEV
1557300050055; TEVAOXALI; TEVAOXALI; NOT FOUND; 5 MG/ML SOL INJ CT FA VD INC X 28 ML; TEV
1557300050063; TEVAOXALI; TEVAOXALI; NOT FOUND; 5 MG/ML SOL INJ CT FA VD INC X 40 ML; TEV
1557300040025; TEVAPACLI; TEVAPACLI; NOT FOUND; 6 MG/ML SOL INJ CT FA VD TRANS X 16.7 ML; TEV
1557300040017; TEVAPACLI; TEVAPACLI; NOT FOUND; 6 MG/ML SOL INJ CT FA VD TRANS X 5 ML; TEV
1557300040033; TEVAPACLI; TEVAPACLI; NOT FOUND; 6 MG/ML SOL INJ CT FA VD TRANS X 25 ML; TEV
1557300040041; TEVAPACLI; TEVAPACLI; NOT FOUND; 6 MG/ML SOL INJ CT FA VD TRANS X 50 ML; TEV
1557300270012; TACTROL; TACTROL; NOT FOUND; 100 MG PO LIOF INJ CT FA VD INC X 4 ML; TEV
1557300270020; TACTROL; TACTROL; NOT FOUND; 500 MG PO LIOF INJ CT FA VD INC X 20 ML; TEV
