537113020009904; SORISMA N; SORISMA N; NOT FOUND; 0.50 MG/ML SOL NASAL CT FR PLAS INC GOT X 30 ML ; M1L
537113020010004; SORISMA N; SORISMA N; NOT FOUND; 0.50 MG/ML SOL NASAL CX 24 FR PLAS INC GOT X 30 ML (EMB HOSP); M1L
537113020010104; SORISMA N; SORISMA N; NOT FOUND; 0.50 MG/ML SOL NASAL CX 48 FR PLAS INC GOT X 30 ML (EMB HOSP); M1L
537113020010204; SORISMA N; SORISMA N; NOT FOUND; 0.50 MG/ML SOL NASAL CX 96 FR PLAS INC GOT X 30 ML (EMB HOSP); M1L
537114080011906; SIMETICONA; SIMETICONA; SIMETICONA; 75 MG /ML EMULSAO OR CT FR PLAS OPC X 15 ML; M1L
537114080012006; SIMETICONA; SIMETICONA; SIMETICONA; 75 MG /ML EMULSAO OR CX 24 CT FR PLAS OPC X 15 ML (EMB HOSP); M1L
537114080012106; SIMETICONA; SIMETICONA; SIMETICONA; 75 MG /ML EMULSAO OR CX 48 CT FR PLAS OPC X 15 ML (EMB HOSP); M1L
537114080012206; SIMETICONA; SIMETICONA; SIMETICONA; 75 MG /ML EMULSAO OR CX 96 CT FR PLAS OPC X 15 ML (EMB HOSP); M1L
537112020008606; SULFATO DE SALBUTAMOL; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; 0.4 MG/ML XPE CT FR PET AMB X 100 ML + CP MED ; M1L
537112020008806; SULFATO DE SALBUTAMOL; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; 0.4 MG/ML XPE CX 48 FR PET AMB X 100 ML + 48 CP MED (EMB HOSP); M1L
537112020009006; SULFATO DE SALBUTAMOL; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; 0.4 MG/ML XPE CX 96 FR PET AMB X 100 ML + 96  CP MED  (EMB HOSP); M1L
537112020008706; SULFATO DE SALBUTAMOL; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; 0.4 MG/ML XPE CT FR PET AMB X 120 ML + CP MED ; M1L
537112020008906; SULFATO DE SALBUTAMOL; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; 0.4 MG/ML XPE CX 48 FR PET AMB X 120 ML + 48 CP MED (EMB HOSP); M1L
537112020009106; SULFATO DE SALBUTAMOL; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; 0.4 MG/ML XPE CX 96 FR PET AMB X 120 ML + 96 CP MED (EMB HOSP); M1L
