537114030010603; POLARAX; POLARAX; NOT FOUND; 2MG/ 5ML SOL OR CT FR PLAS AMB X 100 ML + COP; M1L
537114030010803; POLARAX; POLARAX; NOT FOUND; 2MG/ 5ML SOL OR CX 48 FR PLAS AMB X 100 ML + 48 COP (EMB HOSP); M1L
537114030010903; POLARAX; POLARAX; NOT FOUND; 2MG/ 5ML SOL OR CX 96 FR PLAS AMB X 100 ML + 96 COP (EMB HOSP); M1L
537114030010703; POLARAX; POLARAX; NOT FOUND; 2MG/ 5ML SOL OR CT FR PLAS AMB X 120 ML + COP; M1L
537114030011003; POLARAX; POLARAX; NOT FOUND; 2MG/ 5ML SOL OR CX 48 FR PLAS AMB X 120 ML + 48 COP (EMB HOSP); M1L
537114030011103; POLARAX; POLARAX; NOT FOUND; 2MG/ 5ML SOL OR CX 96 FR PLAS AMB X 120 ML + 96 COP (EMB HOSP); M1L
537100507132110; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ ML SOL OR CX 48 FR PLAS OPC GOT X 10 ML (EMB HOSP); M1L
537100510133114; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ ML SOL OR CX 96 FR PLAS OPC GOT X 10 ML (EMB HOSP); M1L
537100513132119; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ ML SOL OR CT FR PLAS OPC GOT X 10 ML; M1L
537100508139119; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ ML SOL OR CX 48 FR PLAS OPC GOT X 15 ML (EMB HOSP); M1L
537100511131115; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ ML SOL OR CX 96 FR PLAS OPC GOT X 15 ML (EMB HOSP); M1L
537100514139117; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ ML SOL OR CT FR PLAS OPC GOT X 15 ML; M1L
537100506136112; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ ML SOL OR CT FR PLAS OPC GOT X 20 ML; M1L
537100509135117; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ ML SOL OR CX 48 FR PLAS OPC GOT X 20 ML (EMB HOSP); M1L
537100512136110; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ ML SOL OR CX 96 FR PLAS OPC GOT X 20 ML (EMB HOSP); M1L
537100518118114; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM DISPLAY 25 BL AL PLAS LAR X 4; M1L
537100519114112; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM DISPLAY 25 BL AL PLAS LAR X 8; M1L
537100515119111; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS LAR X 4; M1L
537100517111116; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM DISPLAY 125 BL AL PLAS LAR X 4; M1L
537100516115118; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS LAR X 8; M1L
537100503110112; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM DISP 25 BL AL PLAS LAR X 4 (EMB MULT); M1L
537100504117110; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM DISP 25 BL AL PLAS LAR X 8 (EMB MULT); M1L
537100505113119; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM DISP 50 BL AL PLAS LAR X 4 (EMB MULT); M1L
537100501118116; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS LAR X 4; M1L
537100502114114; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS LAR X 8; M1L
