537100802118115; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT  BL AL PLAS INC X 30; M1L
537100803114113; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT  BL AL PLAS INC X 60 (EMB FRAC); M1L
537100810110111; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM DISP BL AL PLAS INC X 600 (EMB HOSP); M1L
537100804110111; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT  BL AL PLAS INC X 90 (EMB FRAC); M1L
537100805117111; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25.00 MG COM CT BL AL PLAS INC X 30; M1L
537100806113118; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25.00 MG COM CT BL AL PLAS INC X 60 (EMB FRAC); M1L
537100811117118; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25.0 MG COM DISP BL AL PLAS INC X 600 (EMB HOSP); M1L
537100801111117; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25.00 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); M1L
537100807111119; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50.00 MG COM CT BL AL PLAS INC X 30 ; M1L
537100808116114; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50.00 MG COM CT BL AL PLAS INC X 60 (EMB FRAC); M1L
537100812113116; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50.0 MG COM DISP BL AL PLAS INC X 600 (EMB HOSP); M1L
537100809112112; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50.00 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); M1L
537101301139118; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML SOL OR CT FR PLAS GOT X 20 ML; M1L
537101302135116; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG /ML SOL OR CX 48 FR PLAS GOT X 20 ML (EMB HOSP); M1L
537100405135110; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR PET AMB X 100 ML + CP MED; M1L
537100406131119; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CX 48 FR PET AMB X 100 ML + 48 CP MED (EMB HOSP); M1L
537100401131110; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR PET AMB X 120 ML + CP MED; M1L
537100402136116; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CX 48 FR PET AMB X 120 ML + 48 CP MED (EMB HOSP); M1L
537100407138117; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR PET AMB X 100 ML + CP MED; M1L
537100408134115; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 48 FR PET AMB X 100 ML + 48 CP MED (EMB HOSP); M1L
537100403132114; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR PET AMB X 120 ML + CP MED; M1L
537100404139112; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 48 FR PET AMB X 120 ML + 48 CP MED (EMB HOSP); M1L
537100101136117; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 4 MG/ML SOL OR CT FRAS PLAS OPC GOT X 10 ML ; M1L
537100102132115; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 4 MG/ML SOL OR CX 48 FRAS PLAS OPC GOT X 10 ML (EMB HOSP); M1L
537100103139113; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 4 MG/ML SOL OR CX 96 FRAS PLAS OPC GOT X 10 ML (EMB HOSP); M1L
537101501170116; CLORIDRATO DE NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.50 MG/ML SOL NASAL CT FR PLAS INC GOTEJADOR X 30 ML; M1L
537101502177114; CLORIDRATO DE NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.50 MG/ML SOL NASAL CX 24 FR PLAS INC GOTEJADOR X 30 ML (EMB HOSP); M1L
537101504171113; CLORIDRATO DE NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.50 MG/ML SOL NASAL CX 96 FR PLAS INC GOTEJADOR X 30 ML (EMB HOSP); M1L
537101503173112; CLORIDRATO DE NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.50 MG/ML SOL NASAL CX 48 FR PLAS INC GOTEJADOR X 30 ML (EMB HOSP); M1L
