511611001151111, DIAZEPAM, DIAZEPAM, DIAZEPAM, 5 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP), HPO
511611003152113, DIAZEPAM, DIAZEPAM, DIAZEPAM, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP) , HPO
511608401150110, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 25 MG/ML SOL INJ CT 100 AMP VD INC X 3 ML (EMB HOSP), HPO
511609501159118, DICLOFENACO SÓDICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 25 MG/ML SOL INJ IM CX 100 AMP VD INC X 3 ML (EMB HOSP), HPO
511609502155116, DICLOFENACO SÓDICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 25 MG/ML SOL INJ IM CT 03 AMP VD INC X 3 ML, HPO
511602302134411, DIMETICOLIN, DIMETICOLIN, NOT FOUND, 75 MG/ML EMU OR CT FR PLAS OPC GOT X 10 ML, HPO
511609101134118, DIMETICONA, DIMETICONA, DIMETICONA, 75 MG/ML EMU OR CT FR PLAS OPC GOT X 10 ML, HPO
511609102130116, DIMETICONA, DIMETICONA, DIMETICONA, 75 MG/ML EMU OR CX 200 FR PLAS OPC GOT X 10 ML (EMB HOSP), HPO
511609103137114, DIMETICONA, DIMETICONA, DIMETICONA, 75 MG/ML EMU OR CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP), HPO
511607102133119, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ ML SOL OR CT FR PLAS OPC GOT X 10 ML, HPO
511607103131111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ ML SOL OR CX 200 FR PLAS OPC GOT X 10 ML (EMB HOSP), HPO
511607104136115, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ ML SOL OR CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP), HPO
511607101153116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ ML  SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP), HPO
