511609605132119; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML XPE CX 50 FR PLAS AMB X 100 ML (EMB HOSP) ; HPO
511609606139117; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML XPE CX 50 FR VD AMB X 100 ML (EMB HOSP) ; HPO
511609601137116; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML XPE CT FR PLAS AMB X 120 ML   ; HPO
511609602133114; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML XPE CT FR VD AMB X 120 ML  ; HPO
511609603131115; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML XPE CX 50 FR VD AMB X 120 ML (EMB HOSP) ; HPO
511609604136110; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML XPE CT 50 FR PLAS AMB X 120 ML; HPO
511609902153110; MIDAZOLAM; MIDAZOLAM; MIDAZOLAM; 1 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML; HPO
511609907155111; MIDAZOLAM; MIDAZOLAM; MIDAZOLAM; 1 MG/ML SOL INJ CX 50 AMP VD INC X 5 ML (EMB HOSP); HPO
511609908151111; MIDAZOLAM; MIDAZOLAM; MIDAZOLAM; 1 MG/ML SOL INJ CX 100 AMP VD INC X 5 ML (EMB HOSP); HPO
511609904156117; MIDAZOLAM; MIDAZOLAM; MIDAZOLAM; 5 MG/ML SOL INJ CT 5 AMP VD INC X 10 ML; HPO
511609906159113; MIDAZOLAM; MIDAZOLAM; MIDAZOLAM; 5 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML (EMB HOSP); HPO
511609901157112; MIDAZOLAM; MIDAZOLAM; MIDAZOLAM; 5 MG/ML SOL INJ CX 100 AMP VD INC X 3 ML (EMB HOSP); HPO
511609903151111; MIDAZOLAM; MIDAZOLAM; MIDAZOLAM; 5 MG/ML SOL INJ CT 5 AMP VD INC X 3 ML; HPO
511609905152115; MIDAZOLAM; MIDAZOLAM; MIDAZOLAM; 5 MG/ML SOL INJ CX 50 AMP VD INC X 3 ML (EMB HOSP); HPO
