511612402166116, BACITRACINA + SULFATO DE NEOMICINA, BACITRACINA SULFATO NEOMICINA, NOT FOUND, 5 MG/G + 250 UI/G POM CT BG AL X 10 G, HPO
511612404169112, BACITRACINA + SULFATO DE NEOMICINA, BACITRACINA SULFATO NEOMICINA, NOT FOUND, 5 MG/G + 250 UI/G POM CX 100 BG AL X 10 G (EMB HOSP), HPO
511612403162114, BACITRACINA + SULFATO DE NEOMICINA, BACITRACINA SULFATO NEOMICINA, NOT FOUND, 5 MG/G + 250 UI/G POM CT BG AL X 15 G, HPO
511612405165110, BACITRACINA + SULFATO DE NEOMICINA, BACITRACINA SULFATO NEOMICINA, NOT FOUND, 5 MG/G + 250 UI/G POM CX 100 BG AL X 15 G (EMB HOSP), HPO
511612401161110, BACITRACINA + SULFATO DE NEOMICINA, BACITRACINA SULFATO NEOMICINA, NOT FOUND, 5 MG/G + 250 UI/G POM CT BG AL X 20 G, HPO
511612406161119, BACITRACINA + SULFATO DE NEOMICINA, BACITRACINA SULFATO NEOMICINA, NOT FOUND, 5 MG/G + 250 UI/G POM CX 100 BG AL X 20 G (EMB HOSP), HPO
511601101151416, BICARBON, BICARBON, NOT FOUND, 84 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML, HPO
511611201175111, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL INAL CT FR PLAS OPC GOT X 20 ML, HPO
511611202171118, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL INAL CX 200 FR PLAS OPC GOT X 20 ML (EMB HOSP), HPO
511611501136111, BROMIDRATO DE FENOTEROL, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, 5 MG/ML SOL OR CT FR PLAS OPC GOT X 20ML , HPO
511611502132118, BROMIDRATO DE FENOTEROL, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, 5 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 20ML (EMB HOSP), HPO
511608701154111, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 5 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP), HPO
511608702150111, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP), HPO
511606303135110, BUTILBROMETO DE ESCOPOLAMINA, BUTILBROMETO ESCOPOLAMINA, BUTILBROMETO ESCOPOLAMINA, 10 MG/ML CT FR PLAS OPC GOT X 20 ML, HPO
511606304131119, BUTILBROMETO DE ESCOPOLAMINA, BUTILBROMETO ESCOPOLAMINA, BUTILBROMETO ESCOPOLAMINA, 10 MG/ML CX 200 FR PLAS OPC GOT X 20 ML (EMB HOSP), HPO
511606302155118, BUTILBROMETO DE ESCOPOLAMINA, BUTILBROMETO ESCOPOLAMINA, BUTILBROMETO ESCOPOLAMINA, 20MG/ML SOL INJ CX 100 EST AMP VD AMB X 1ML (EMB HOSP), HPO
511606401153113, BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA, BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA, NOT FOUND, 4 MG/ML + 500 MG/ML SOL INJ CX 100 AMP VD AMB X 5 ML (EMB HOSP), HPO
511606402133116, BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA, BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA, NOT FOUND, 333.4 MG/ML + 6.7 MG SOL OR CT FR PLAS OPC GOT X 20 ML , HPO
511606403131117, BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA, BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA, NOT FOUND, 333.4 MG/ML + 6.7 MG SOL OR CX 200 FR PLAS OPC GOT X 20 ML (EMB HOSP), HPO
