511613080040706, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 20 MG/ML SUS OR CX 50 FR PLAS AMB X 100 ML + 50 CP MED (EMB HOSP), HPO
511613080041506, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 20 MG/ML SUS OR CT FR VD AMB X 100 ML + CP MED, HPO
511613080041606, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 20 MG/ML SUS OR CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP), HPO
511613080041706, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 20 MG/ML SUS OR CT FR PLAS AMB X 100 ML + CP MED, HPO
511611601114118, CARBONATO DE LÍTIO, CARBONATO LITIO, NOT FOUND, 300 MG COM CT BL AL/PLAS TRANS X 25, HPO
511611602110116, CARBONATO DE LÍTIO, CARBONATO LITIO, NOT FOUND, 300 MG COM CT BL AL/PLAS TRANS X 50, HPO
511611603117114, CARBONATO DE LÍTIO, CARBONATO LITIO, NOT FOUND, 300 MG COM CT BL AL/PLAS TRANS X 500 (EMB HOSP), HPO
511611604113112, CARBONATO DE LÍTIO, CARBONATO LITIO, NOT FOUND, 300 MG COM CT BL AL/PLAS TRANS X 60, HPO
511609803139411, CEFALEXOL, CEFALEXOL, NOT FOUND, 50 MG/ML CT FR VD AMB X 100 ML, HPO
511609804135411, CEFALEXOL, CEFALEXOL, NOT FOUND, 50 MG/ML CT FR VD AMB X 60 ML, HPO
511601205161418, CETOCOL, CETOCOL, NOT FOUND, 20 MG/G CR DERM CX 100 BG AL X 30 G (EMB.HOSP), HPO
511608901161111, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 20 MG/G CREM DERM CT BG AL X 30 G , HPO
511608902168111, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 20 MG/G CREM DERM CX 100 BG AL X 30 G (EMB HOSP) , HPO
511608903164118, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 20 MG/G CREM DERM CX 50 BG AL X 30 G (EMB HOSP), HPO
511601202111411, CETOCOL, CETOCOL, NOT FOUND, 200 MG COM CT BL AL PVC INC X 20, HPO
511601206115411, CETOCOL, CETOCOL, NOT FOUND, 200 MG COM CT BL AL PVC INC X 30, HPO
511601201113419, CETOCOL, CETOCOL, NOT FOUND, 200 MG COM CT BL AL PVC INC X 500 (EMB HOSP), HPO
511610303152110, CITRATO DE FENTANILA, CITRATO FENTANILA, CITRATO FENTANILA, 50 MCG/ML SOL INJ CX 50 AMP VD AMB X 10 ML (EMB HOSP), HPO
511610302156112, CITRATO DE FENTANILA, CITRATO FENTANILA, CITRATO FENTANILA, 50 MCG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP), HPO
511610301151117, CITRATO DE FENTANILA, CITRATO FENTANILA, CITRATO FENTANILA, 50 MCG/ML SOL INJ CX 25 AMP VD AMB X 5 ML (EMB HOSP), HPO
511611701135117, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 2.5 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML , HPO
511611702131115, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 2.5 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 20 ML (EMB HOSP), HPO
511601602134417, CLOFAN, CLOFAN, NOT FOUND, 60 MG / ML XPE CT 50 FR VD AMB X 100 ML, HPO
511606506133112, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3 MG/ML XPE CX 50 FR PLAS AMB X 100 ML + 50 CP MED (EMB HOSP), HPO
511606515132115, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3 MG/ML XPE CT FR PLAS AMB X 100 ML + CP MED, HPO
511606505137114, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP), HPO
511606507131113, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, HPO
511606503134118, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6 MG/ML XPE CT FR PLAS AMB X 100 ML + CP MED, HPO
511606508136119, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6 MG/ML XPE CX 50 FR PLAS AMB X 100 ML + 50 CP MED(EMB HOSP), HPO
511606502138111, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP), HPO
511606510130114, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, HPO
511606516139113, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6 MG/ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP), HPO
511606601152110, CLORIDRATO DE AMIODARONA, CLORIDRATO AMIODARONA, CLORIDRATO AMIODARONA, 50 MG/ML SOL INJ IV CX 100 EST AMP VD AMB X 3 ML (EMB HOSP), HPO
511614010041806, CLORIDRATO DE AMIODARONA, CLORIDRATO AMIODARONA, CLORIDRATO AMIODARONA, 50 MG/ML SOL INJ IV CX 100 AMP VD AMB X 3 ML (EMB HOSP), HPO
511611901150111, CLORIDRATO DE BUPIVACAÍNA + GLICOSE, CLORIDRATO BUPIVACAINA GLICOSE, NOT FOUND, 5 MG/ML + 80 MG/ML SOL INJ IV CX 50 AMP VD INC X 4 ML (EMB HOSP), HPO
511611902157118, CLORIDRATO DE BUPIVACAÍNA + GLICOSE, CLORIDRATO BUPIVACAINA GLICOSE, NOT FOUND, 5 MG/ML + 80 MG/ML SOL INJ IV CX 100 AMP VD INC X 4 ML (EMB HOSP), HPO
511608301156117, CLORIDRATO DE DOBUTAMINA, CLORIDRATO DOBUTAMINA, CLORIDRATO DOBUTAMINA, 12.5 MG/ML SOL INJ CX 10 AMP VD INC X 20 ML(EMB HOSP), HPO
511611801113115, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PLAS INC X 14, HPO
511611802111116, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PLAS INC X 28, HPO
511611803116111, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PLAS INC X 500 (EMB HOSP), HPO
511611804112111, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PLAS INC X 7, HPO
511611805119118, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PLAS INC X 70 (EMB HOSP), HPO
511606801161113, CLORIDRATO DE LIDOCAÍNA, CLORIDRATO LIDOCAINA, CLORIDRATO LIDOCAINA, 20 MG/G GEL TOP CT BG AL X 30G, HPO
511606802166119, CLORIDRATO DE LIDOCAÍNA, CLORIDRATO LIDOCAINA, CLORIDRATO LIDOCAINA, 20 MG/G GEL TOP CX 100 BG AL X 30G (EMB HOSP) , HPO
511606804150112, CLORIDRATO DE LIDOCAÍNA, CLORIDRATO LIDOCAINA, CLORIDRATO LIDOCAINA, 20 MG/G SOL INJ CX 25 FA VD INC X 20ML, HPO
511606803154114, CLORIDRATO DE LIDOCAÍNA, CLORIDRATO LIDOCAINA, CLORIDRATO LIDOCAINA, 20 MG/ML SOL INJ CX 100 AMP VD INC X 5 ML (EMB HOSP), HPO
511613002110111, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 1000 MG COM CT BL AL PLAS X 30, HPO
511613001114113, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 1000 MG COM CX BL AL PLAS X 500 (EMB HOSP), HPO
