511612001153110, FENITOÍNA SÓDICA, FENITOINA SODICA, FENITOINA SODICA, 50 MG/ML SOL INJ CT 05 AMP VD INC X 5 ML, HPO
511612002151111, FENITOÍNA SÓDICA, FENITOINA SODICA, FENITOINA SODICA, 50 MG/ML SOL INJ CX 100 AMP VD INC X 5 ML (EMB HOSP), HPO
511612003156117, FENITOÍNA SÓDICA, FENITOINA SODICA, FENITOINA SODICA, 50 MG/ML SOL INJ CX 50 AMP VD INC X 5 ML (EMB HOSP), HPO
511602806116415, FLUXOZOL, FLUXOZOL, NOT FOUND, 100 MG CAP GEL DURA CX BL AL/PLAS INC X 400 (EMB HOSP), HPO
511602802110412, FLUXOZOL, FLUXOZOL, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 1, HPO
511602801114414, FLUXOZOL, FLUXOZOL, NOT FOUND, 150 MG CAP GEL DURA CT 100 BL AL PLAS INC X 1 ( EMB HOSP), HPO
511602803151414, FLUXOZOL, FLUXOZOL, NOT FOUND, 2 MG/ML SOL INJ CX FA VD INC X 100 ML, HPO
511610101150117, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 2 MG/ML SOL INJ IV CT FA VD AMB X 100 ML , HPO
511602805111411, FLUXOZOL, FLUXOZOL, NOT FOUND, 50 MG CAP GEL DURA CX BL AL PLAS INC X 8, HPO
511600201111418, FOLINAC, FOLINAC, NOT FOUND, 15 MG COM CX BL AL PLAS INC X 10, HPO
511600202116413, FOLINAC, FOLINAC, NOT FOUND, 15 MG COM CX 10 BL AL PLAS INC X 10 (EMB. HOSP.), HPO
511600204119411, FOLINAC, FOLINAC, NOT FOUND, 15 MG COM CX 50 BL AL PLAS INC X 10 (EMB. HOSP.), HPO
511607402153115, FOSFATO DE CLINDAMICINA, FOSFATO CLINDAMICINA, FOSFATO CLINDAMICINA, 150 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML, HPO
511607403151116, FOSFATO DE CLINDAMICINA, FOSFATO CLINDAMICINA, FOSFATO CLINDAMICINA, 150 MG/ML SOL INJ CX 100 AMP VD INC X 2 ML (EMB HOSP), HPO
511607401157117, FOSFATO DE CLINDAMICINA, FOSFATO CLINDAMICINA, FOSFATO CLINDAMICINA, 150 MG/ML SOL INJ CX 100 AMP VD INC X 4 ML (EMB HOSP), HPO
511607501151110, FOSFATO DISSÓDICO DE DEXAMETASONA, FOSFATO DISSODICO DEXAMETASONA, NOT FOUND, 2 MG/ML SOL INJ CX 100 AMP VD INC X 1 ML (EMB HOSP), HPO
511612110039906, FOSFATO SÓDICO DE PREDNISOLONA, FOSFATO SODICO PREDNISOLONA, NOT FOUND, 3.0 MG/ML SOL OR CT FR PLAS AMB X 120 ML + CP MED, HPO
511612110040106, FOSFATO SÓDICO DE PREDNISOLONA, FOSFATO SODICO PREDNISOLONA, NOT FOUND, 3.0 MG/ML SOL OR CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP), HPO
511612110039806, FOSFATO SÓDICO DE PREDNISOLONA, FOSFATO SODICO PREDNISOLONA, NOT FOUND, 3.0 MG/ML SOL OR CT FR PLAS AMB X 60 ML + COP, HPO
511612110040006, FOSFATO SÓDICO DE PREDNISOLONA, FOSFATO SODICO PREDNISOLONA, NOT FOUND, 3.0 MG/ML SOL OR CX 50 FR PLAS AMB X 60 ML + 50 CP MED (EMB HOSP) , HPO
511610001131110, FUMARATO DE CETOTIFENO, FUMARATO CETOTIFENO, FUMARATO CETOTIFENO, 0.2 MG/ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED, HPO
511610002136116, FUMARATO DE CETOTIFENO, FUMARATO CETOTIFENO, FUMARATO CETOTIFENO, 0.2 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, HPO
511610003132114, FUMARATO DE CETOTIFENO, FUMARATO CETOTIFENO, FUMARATO CETOTIFENO, 0.2 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED, HPO
511610004139112, FUMARATO DE CETOTIFENO, FUMARATO CETOTIFENO, FUMARATO CETOTIFENO, 0.2 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, HPO
511609201155117, FUROSEMIDA, FUROSEMIDA, FUROSEMIDA, 10MG/ ML SOL INJ CX 100 AMP VD AMB X 2ML (EMB HOSP) , HPO
511609202119114, FUROSEMIDA, FUROSEMIDA, FUROSEMIDA, 40 MG COM CT BL AL PLAS AMB X 20 , HPO
511609203115112, FUROSEMIDA, FUROSEMIDA, FUROSEMIDA, 40 MG COM CX BL AL PLAS AMB X 500 (EMB HOSP), HPO
511607301152415, FENELOM, FENELOM, NOT FOUND, 1 MG/ML CT SOL INJ 50 AMP VD INC X 5 ML , HPO
511607302159413, FENELOM, FENELOM, NOT FOUND, 5 MG/ML CT SOL INJ 5 AMP VD INC X 10 ML , HPO
511607303155411, FENELOM, FENELOM, NOT FOUND, 5 MG/ML CT SOL INJ 50 AMP VD INC X 3 ML , HPO
511607304151411, FENELOM, FENELOM, NOT FOUND, 5 MG/ML CT SOL INJ 5 AMP VD INC X 3 ML , HPO
511605901136414, FERSIL, FERSIL, NOT FOUND, 125 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 30 ML (EMB HOSP), HPO
