511607705131118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT 01 FR PLAS OPC GOT X 15 ML, HPO
511607701134112, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT 200 FR PLAS OPC GOT X 15 ML (EMB HOSP), HPO
511607702114115, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM BL AL PLAS AMB X 500 (EMB HOSP), HPO
511607703110113, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM BL AL PLAS AMB X 200 (EMB HOSP), HPO
511607704117111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM BL AL PLAS AMB X 500 (EMB HOSP), HPO
511607801155413, PARINEX, PARINEX, NOT FOUND, 5000 UI/0.25 ML SOL INJ CT 25 AMP VD INC X 0.25 ML, HPO
511607803158411, PARINEX, PARINEX, NOT FOUND, 5000 UI/0.25 ML SOL INJ CT 50 AMP VD INC X 0.25 ML, HPO
511607802151411, PARINEX, PARINEX, NOT FOUND, 5000 UI/ML SOL INJ CT 25 FA VD INC X 5 ML, HPO
511607804154418, PARINEX, PARINEX, NOT FOUND, 5000 UI/ML SOL INJ CT 50 FA VD INC X 5 ML, HPO
511601801137416, PLEXAN, PLEXAN, NOT FOUND, GOTAS CX200 FR 20ML, HPO
511607705131118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT 01 FR PLAS OPC GOT X 15 ML, HPO
511607701134112, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT 200 FR PLAS OPC GOT X 15 ML (EMB HOSP), HPO
511607702114115, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM BL AL PLAS AMB X 500 (EMB HOSP), HPO
511607703110113, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM BL AL PLAS AMB X 200 (EMB HOSP), HPO
511607704117111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM BL AL PLAS AMB X 500 (EMB HOSP), HPO
511607801155413, PARINEX, PARINEX, NOT FOUND, 5000 UI/0.25 ML SOL INJ CT 25 AMP VD INC X 0.25 ML, HPO
511607803158411, PARINEX, PARINEX, NOT FOUND, 5000 UI/0.25 ML SOL INJ CT 50 AMP VD INC X 0.25 ML, HPO
511607802151411, PARINEX, PARINEX, NOT FOUND, 5000 UI/ML SOL INJ CT 25 FA VD INC X 5 ML, HPO
511607804154418, PARINEX, PARINEX, NOT FOUND, 5000 UI/ML SOL INJ CT 50 FA VD INC X 5 ML, HPO
511607705131118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT 01 FR PLAS OPC GOT X 15 ML, HPO
511607701134112, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT 200 FR PLAS OPC GOT X 15 ML (EMB HOSP), HPO
511607702114115, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM BL AL PLAS AMB X 500 (EMB HOSP), HPO
511607703110113, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM BL AL PLAS AMB X 200 (EMB HOSP), HPO
511607704117111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM BL AL PLAS AMB X 500 (EMB HOSP), HPO
511607801155413, PARINEX, PARINEX, NOT FOUND, 5000 UI/0.25 ML SOL INJ CT 25 AMP VD INC X 0.25 ML, HPO
511607803158411, PARINEX, PARINEX, NOT FOUND, 5000 UI/0.25 ML SOL INJ CT 50 AMP VD INC X 0.25 ML, HPO
511607802151411, PARINEX, PARINEX, NOT FOUND, 5000 UI/ML SOL INJ CT 25 FA VD INC X 5 ML, HPO
511607804154418, PARINEX, PARINEX, NOT FOUND, 5000 UI/ML SOL INJ CT 50 FA VD INC X 5 ML, HPO
511607705131118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT 01 FR PLAS OPC GOT X 15 ML, HPO
511607701134112, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT 200 FR PLAS OPC GOT X 15 ML (EMB HOSP), HPO
511607702114115, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM BL AL PLAS AMB X 500 (EMB HOSP), HPO
511607703110113, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM BL AL PLAS AMB X 200 (EMB HOSP), HPO
511607704117111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM BL AL PLAS AMB X 500 (EMB HOSP), HPO
511607801155413, PARINEX, PARINEX, NOT FOUND, 5000 UI/0.25 ML SOL INJ CT 25 AMP VD INC X 0.25 ML, HPO
511607803158411, PARINEX, PARINEX, NOT FOUND, 5000 UI/0.25 ML SOL INJ CT 50 AMP VD INC X 0.25 ML, HPO
511607802151411, PARINEX, PARINEX, NOT FOUND, 5000 UI/ML SOL INJ CT 25 FA VD INC X 5 ML, HPO
511607804154418, PARINEX, PARINEX, NOT FOUND, 5000 UI/ML SOL INJ CT 50 FA VD INC X 5 ML, HPO
511607705131118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT 01 FR PLAS OPC GOT X 15 ML, HPO
511607701134112, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT 200 FR PLAS OPC GOT X 15 ML (EMB HOSP), HPO
511607702114115, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM BL AL PLAS AMB X 500 (EMB HOSP), HPO
511607703110113, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM BL AL PLAS AMB X 200 (EMB HOSP), HPO
511607704117111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM BL AL PLAS AMB X 500 (EMB HOSP), HPO
511607801155413, PARINEX, PARINEX, NOT FOUND, 5000 UI/0.25 ML SOL INJ CT 25 AMP VD INC X 0.25 ML, HPO
511607803158411, PARINEX, PARINEX, NOT FOUND, 5000 UI/0.25 ML SOL INJ CT 50 AMP VD INC X 0.25 ML, HPO
511607802151411, PARINEX, PARINEX, NOT FOUND, 5000 UI/ML SOL INJ CT 25 FA VD INC X 5 ML, HPO
511607804154418, PARINEX, PARINEX, NOT FOUND, 5000 UI/ML SOL INJ CT 50 FA VD INC X 5 ML, HPO
511607705131118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT 01 FR PLAS OPC GOT X 15 ML, HPO
511607701134112, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT 200 FR PLAS OPC GOT X 15 ML (EMB HOSP), HPO
511607702114115, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM BL AL PLAS AMB X 500 (EMB HOSP), HPO
511607703110113, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM BL AL PLAS AMB X 200 (EMB HOSP), HPO
511607704117111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM BL AL PLAS AMB X 500 (EMB HOSP), HPO
511607801155413, PARINEX, PARINEX, NOT FOUND, 5000 UI/0.25 ML SOL INJ CT 25 AMP VD INC X 0.25 ML, HPO
511607803158411, PARINEX, PARINEX, NOT FOUND, 5000 UI/0.25 ML SOL INJ CT 50 AMP VD INC X 0.25 ML, HPO
511607802151411, PARINEX, PARINEX, NOT FOUND, 5000 UI/ML SOL INJ CT 25 FA VD INC X 5 ML, HPO
511607804154418, PARINEX, PARINEX, NOT FOUND, 5000 UI/ML SOL INJ CT 50 FA VD INC X 5 ML, HPO
511607705131118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT 01 FR PLAS OPC GOT X 15 ML, HPO
511607701134112, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT 200 FR PLAS OPC GOT X 15 ML (EMB HOSP), HPO
511607702114115, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM BL AL PLAS AMB X 500 (EMB HOSP), HPO
511607703110113, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM BL AL PLAS AMB X 200 (EMB HOSP), HPO
511607704117111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM BL AL PLAS AMB X 500 (EMB HOSP), HPO
511607801155413, PARINEX, PARINEX, NOT FOUND, 5000 UI/0.25 ML SOL INJ CT 25 AMP VD INC X 0.25 ML, HPO
511607803158411, PARINEX, PARINEX, NOT FOUND, 5000 UI/0.25 ML SOL INJ CT 50 AMP VD INC X 0.25 ML, HPO
511607802151411, PARINEX, PARINEX, NOT FOUND, 5000 UI/ML SOL INJ CT 25 FA VD INC X 5 ML, HPO
511607804154418, PARINEX, PARINEX, NOT FOUND, 5000 UI/ML SOL INJ CT 50 FA VD INC X 5 ML, HPO
511607705131118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT 01 FR PLAS OPC GOT X 15 ML, HPO
511607701134112, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT 200 FR PLAS OPC GOT X 15 ML (EMB HOSP), HPO
511607702114115, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM BL AL PLAS AMB X 500 (EMB HOSP), HPO
511607703110113, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM BL AL PLAS AMB X 200 (EMB HOSP), HPO
511607704117111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM BL AL PLAS AMB X 500 (EMB HOSP), HPO
511607801155413, PARINEX, PARINEX, NOT FOUND, 5000 UI/0.25 ML SOL INJ CT 25 AMP VD INC X 0.25 ML, HPO
511607803158411, PARINEX, PARINEX, NOT FOUND, 5000 UI/0.25 ML SOL INJ CT 50 AMP VD INC X 0.25 ML, HPO
511607802151411, PARINEX, PARINEX, NOT FOUND, 5000 UI/ML SOL INJ CT 25 FA VD INC X 5 ML, HPO
511607804154418, PARINEX, PARINEX, NOT FOUND, 5000 UI/ML SOL INJ CT 50 FA VD INC X 5 ML, HPO
