58272, LABIRIN , LABIRIN, NOT FOUND, CPR 16 MG x 30, APS
72626, LABIRIN , LABIRIN, NOT FOUND, CPR 16 MG x 60, APS
63834, LABIRIN , LABIRIN, NOT FOUND, CPR 24 MG x 20, APS
68461, LABIRIN , LABIRIN, NOT FOUND, CPR 24 MG x 30, APS
72627, LABIRIN , LABIRIN, NOT FOUND, CPR 24 MG x 60, APS
58271, LABIRIN , LABIRIN, NOT FOUND, CPR 8 MG x 30, APS
72625, LABIRIN , LABIRIN, NOT FOUND, CPR 8 MG x 60, APS
113351, LACTOSIL , LACTOSIL, NOT FOUND, SAC 10000FCC 2 G x 30, APS
113347, LACTOSIL , LACTOSIL, NOT FOUND, SAC 4.000FCC 2 G x 30, APS
59846, LEVOXIN , LEVOXIN, NOT FOUND, CPR REVEST 250 MG x 3, APS
59847, LEVOXIN , LEVOXIN, NOT FOUND, CPR REVEST 250 MG x 7, APS
62434, LEVOXIN , LEVOXIN, NOT FOUND, CPR REVEST 500 MG x 10, APS
68462, LEVOXIN , LEVOXIN, NOT FOUND, CPR REVEST 500 MG x 14, APS
62433, LEVOXIN , LEVOXIN, NOT FOUND, CPR REVEST 500 MG x 3, APS
59848, LEVOXIN , LEVOXIN, NOT FOUND, CPR REVEST 500 MG x 7, APS
53756, LIDOSPRAY , LIDOSPRAY, NOT FOUND, SPRAY 10 % 50 ML x 1, APS
51955, LITOCIT , LITOCIT, NOT FOUND, CPR 1080 MG x 60, APS
51954, LITOCIT , LITOCIT, NOT FOUND, CPR 540 MG x 60, APS
67296, LONIUM , LONIUM, NOT FOUND, CPR REVEST 40 MG x 10, APS
67297, LONIUM , LONIUM, NOT FOUND, CPR REVEST 40 MG x 30, APS
72122, LONIUM , LONIUM, NOT FOUND, CPR REVEST 40 MG x 60, APS
