103875; DESOL ; DESOL; NOT FOUND; GOTAS 10 ML x 1; APS
103878; DESOL ; DESOL; NOT FOUND; GOTAS 20 ML x 1; APS
53471; DESTILBENOL ; DESTILBENOL; NOT FOUND; CPR REVEST 1 MG x 50; APS
113355; DIGELIV ; DIGELIV; NOT FOUND; SAC 400FCC 2 G x 30; APS
60990; DISERIM ; DISERIM; NOT FOUND; CPR REVEST x 10; APS
58714; DISERIM ; DISERIM; NOT FOUND; CPR REVEST x 20; APS
135984; DOBEVEN ; DOBEVEN; NOT FOUND; CAPS 500 MG x 30; APS
137029; DOBEVEN ; DOBEVEN; NOT FOUND; CAPS 500 MG x 5; APS
64728; DONAREN ; DONAREN; NOT FOUND; CPR REVEST 100 MG x 20; APS
75475; DONAREN ; DONAREN; NOT FOUND; CPR REVEST 100 MG x 30; APS
52740; DONAREN ; DONAREN; NOT FOUND; CPR REVEST 50 MG x 60; APS
75680; DONAREN RETARD ; DONAREN RETARD; NOT FOUND; CPR RETARD 150 MG x 20; APS
