518505002161418, BENSTATIN, BENSTATIN, NOT FOUND, 50 MG/G POM DERM CT BG AL X 30 G, KIN
518505001165411, BENSTATIN, BENSTATIN, NOT FOUND, 50 MG/G POM DERM CT BG AL X 45 G, KIN
518505201164417, BETAMETAGEN N, BETAMETAGEN N, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT 01 BG AL X 10 G, KIN
518505203167413, BETAMETAGEN N, BETAMETAGEN N, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT 01 BG AL X 15 G , KIN
518505204163411, BETAMETAGEN N, BETAMETAGEN N, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT 01 BG AL X 30 G, KIN
518505205161412, BETAMETAGEN N, BETAMETAGEN N, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G POM DERM CT 01 BG AL X 10 G, KIN
518505202160415, BETAMETAGEN N, BETAMETAGEN N, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G POM DERM CT 01 BG AL X 15 G, KIN
518505206166418, BETAMETAGEN N, BETAMETAGEN N, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G POM DERM CT 01 BG AL X 30 G, KIN
518505002161418, BENSTATIN, BENSTATIN, NOT FOUND, 50 MG/G POM DERM CT BG AL X 30 G, KIN
518505001165411, BENSTATIN, BENSTATIN, NOT FOUND, 50 MG/G POM DERM CT BG AL X 45 G, KIN
518505201164417, BETAMETAGEN N, BETAMETAGEN N, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT 01 BG AL X 10 G, KIN
518505203167413, BETAMETAGEN N, BETAMETAGEN N, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT 01 BG AL X 15 G , KIN
518505204163411, BETAMETAGEN N, BETAMETAGEN N, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT 01 BG AL X 30 G, KIN
518505205161412, BETAMETAGEN N, BETAMETAGEN N, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G POM DERM CT 01 BG AL X 10 G, KIN
518505202160415, BETAMETAGEN N, BETAMETAGEN N, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G POM DERM CT 01 BG AL X 15 G, KIN
518505206166418, BETAMETAGEN N, BETAMETAGEN N, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G POM DERM CT 01 BG AL X 30 G, KIN
518505002161418, BENSTATIN, BENSTATIN, NOT FOUND, 50 MG/G POM DERM CT BG AL X 30 G, KIN
518505001165411, BENSTATIN, BENSTATIN, NOT FOUND, 50 MG/G POM DERM CT BG AL X 45 G, KIN
518505201164417, BETAMETAGEN N, BETAMETAGEN N, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT 01 BG AL X 10 G, KIN
518505203167413, BETAMETAGEN N, BETAMETAGEN N, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT 01 BG AL X 15 G , KIN
518505204163411, BETAMETAGEN N, BETAMETAGEN N, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT 01 BG AL X 30 G, KIN
518505205161412, BETAMETAGEN N, BETAMETAGEN N, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G POM DERM CT 01 BG AL X 10 G, KIN
