528504609132410; PRATICILIN; PRATICILIN; NOT FOUND; 250 MG/5ML PO SUS OR CX 50 FR PLAS AMB X 150 ML (EMB HOSP); PZ8
528504611137416; PRATICILIN; PRATICILIN; NOT FOUND; 250 MG/5ML PO SUS OR CT FR PLAS AMB X 150 ML; PZ8
528504603134411; PRATICILIN; PRATICILIN; NOT FOUND; 250 MG/5 ML PO SUS OR CX 50 FR VD AMB X 60 ML (EMB HOSP); PZ8
528504608136412; PRATICILIN; PRATICILIN; NOT FOUND; 250 MG/5ML PO SUS OR CX 50 FR PLAS AMB X 60 ML  (EMB HOSP); PZ8
528504610130418; PRATICILIN; PRATICILIN; NOT FOUND; 250 MG/5ML PO SUS OR CT FR PLAS AMB X 60 ML; PZ8
528504612117419; PRATICILIN; PRATICILIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12; PZ8
528504613113417; PRATICILIN; PRATICILIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 24; PZ8
528504614111418; PRATICILIN; PRATICILIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
528504511116417; POLIBIOTIC; POLIBIOTIC; NOT FOUND; 250 MG COM REV CT BL AL PVC LEITOSO X 20 ; PZ8
528504512112415; POLIBIOTIC; POLIBIOTIC; NOT FOUND; 250 MG COM REV CT BL AL PVC LEITOSO X 300 (EMB HOSP); PZ8
528504513119413; POLIBIOTIC; POLIBIOTIC; NOT FOUND; 250 MG COM REV CT BL AL PVC LEITOSO X 500 (EMB HOSP); PZ8
528504507135410; POLIBIOTIC; POLIBIOTIC; NOT FOUND; 40 MG/ML SUS OR CX 50 FR PLAS OPC X 100 ML (EMB. HOSP.); PZ8
528504509138417; POLIBIOTIC; POLIBIOTIC; NOT FOUND; 40 MG/ML SUS OR CX 50 FR VD AMB X 100 ML (EMB. HOSP.)  ; PZ8
528504508131419; POLIBIOTIC; POLIBIOTIC; NOT FOUND; 40 MG/ML SUS OR CX 50 FR PLAS OPC X 80 ML (EMB. HOSP.)  ; PZ8
528527101178411; PRATISORIN-H; PRATISORIN H; NOT FOUND; 30 MG/ML SOL NAS CT FR PET AMB SPR X 60 ML ; PZ8
528527102174411; PRATISORIN-H; PRATISORIN H; NOT FOUND; 30 MG/ML SOL NAS CX 50 FR PET AMB SPR X 60 ML; PZ8
528527601170411; PRATSORIN; PRATSORIN; NOT FOUND; 9 MG/ML SOL NAS CT FR PLAS OPC CGT X 30 ML; PZ8
528527602177418; PRATSORIN; PRATSORIN; NOT FOUND; 9 MG/ML SOL NAS CT FR PET AMB CGT X 30 ML; PZ8
528527603173416; PRATSORIN; PRATSORIN; NOT FOUND; 9 MG/ML SOL NAS CT FR PLAS OPC NEB X 30 ML; PZ8
528527605176412; PRATSORIN; PRATSORIN; NOT FOUND; 9 MG/ML SOL NAS CX 100 FR PET AMB CGT X 30 ML; PZ8
528527606172410; PRATSORIN; PRATSORIN; NOT FOUND; 9 MG/ML SOL NAS CX 100  FR PLAS OPC NEB X 30 ML; PZ8
528527604171417; PRATSORIN; PRATSORIN; NOT FOUND; 9 MG/ML SOL NAS CT FR PLAS OPC NEB X 45 ML; PZ8
528527607179419; PRATSORIN; PRATSORIN; NOT FOUND; 9 MG/ML SOL NAS CX 100 FR PLAS OPC NEB X 45 ML; PZ8
528526203163415; PRATIGLÓS; PRATIGLOS; NOT FOUND; 5.000 UI/G + 900 UI/G + 150 MG/G  POM DERM CT BG AL X 135 G; PZ8
528526201160419; PRATIGLÓS; PRATIGLOS; NOT FOUND; 5000 UI/G + 900 UI/G + 150 MG/G POM DERM CX 50 BG AL X 45 G ; PZ8
528526202167417; PRATIGLÓS; PRATIGLOS; NOT FOUND; 5000 UI/G + 900 UI/G + 150 MG/G POM DERM CT BG AL X 45 G; PZ8
528526204161416; PRATIGLÓS; PRATIGLOS; NOT FOUND; 5.000 UI/G + 900 UI/G + 150 MG/G POM DERM CT BG AL X 90 G; PZ8
528527001165415; PRATIGEL; PRATIGEL; NOT FOUND; 0.0444 ML/G + 0.0444 G/G + 0.0200 G/G + 0.2222 ML/G POM DERM CT BG AL X 20; PZ8
528524904164411; PRATIDERM; PRATIDERM; NOT FOUND; 100.000UI/G + 200MG/G POM DERM CT BG AL X 100G; PZ8
528524901165417; PRATIDERM; PRATIDERM; NOT FOUND; 100.000UI/G + 200MG/G POM DERM CT BG AL X 60G ; PZ8
528524903168413; PRATIDERM; PRATIDERM; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CX 50 BG AL X 60 G; PZ8
528514070126203; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 20 MG CAP DURA MICROG CT  BL AL PLAS TRANS X 60; PZ8
528514070126303; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 20 MG CAP DURA MICROG CT  BL AL PLAS TRANS X 90; PZ8
528524303111410; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 10 MG CAP GEL DURA MICROG CT FR PLAS OPC X 14; PZ8
528524304116416; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 10 MG CAP GEL DURA MICROG CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
528524312119410; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 20 MG CAP GEL DURA MICROG CT FR PLAS OPC X 14; PZ8
