528513100124003; IONCLOR; IONCLOR; NOT FOUND; 60 MG/ML SOL OR CX 50 FR PLAS OPC X 100 ML + 50 CP MED; PZ8
528513080123703; IONCLOR; IONCLOR; NOT FOUND; 60 MG/ML SOL OR CX 50 FR PLAS OPC X 150 ML + 50 CP MED; PZ8
528512080121506; IBUPROFENO; IBUPROFENO; IBUPROFENO; 200 MG COM REV CT BL AL PLAS TRANS X 160 (EMB FRAC); PZ8
528529506116116; IBUPROFENO; IBUPROFENO; IBUPROFENO; 200 MG COM REV CT BL AL PLAS INC X 20; PZ8
528512080121606; IBUPROFENO; IBUPROFENO; IBUPROFENO; 200 MG COM REV CT BL AL PLAS TRANS X 200 (EMB FRAC); PZ8
528512080121706; IBUPROFENO; IBUPROFENO; IBUPROFENO; 200 MG COM REV CT BL AL PLAS TRANS X 280 (EMB FRAC); PZ8
528512080121806; IBUPROFENO; IBUPROFENO; IBUPROFENO; 200 MG COM REV CT BL AL PLAS TRANS X 320 (EMB FRAC); PZ8
528529507112114; IBUPROFENO; IBUPROFENO; IBUPROFENO; 200 MG COM REV CT BL AL PLAS INC X 400 (EMB MULTI); PZ8
528529504131118; IBUPROFENO; IBUPROFENO; IBUPROFENO; 50 MG/ML SUS OR CX 200 FR PLAS OPC GOT X 30 ML (EMB HOSP); PZ8
528529505136113; IBUPROFENO; IBUPROFENO; IBUPROFENO; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML ; PZ8
528529502110113; IBUPROFENO; IBUPROFENO; IBUPROFENO; 600 MG COM REV CT BL AL PLAS INC X 20; PZ8
528529501114115; IBUPROFENO; IBUPROFENO; IBUPROFENO; 600 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP); PZ8
528529508119112; IBUPROFENO; IBUPROFENO; IBUPROFENO; 600 MG COM REV CT BL AL PLAS TRANS X 280 (EMB FRAC); PZ8
528529503117111; IBUPROFENO; IBUPROFENO; IBUPROFENO; 600 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP); PZ8
528530603111119; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 10; PZ8
528530604118117; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP); PZ8
528530605114115; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 15; PZ8
528530606110113; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 150 (EMB HOSP); PZ8
528530607117111; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 160 (EMB HOSP); PZ8
528530601119112; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 4 ; PZ8
528530608113111; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 40 (EMB HOSP); PZ8
528530609111110; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 400 (EMB HOSP); PZ8
528530602115110; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
528530610118115; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS TRANS X 80 (EMB FRAC); PZ8
