521905602115419, PERICARD PLUS, PERICARD PLUS, NOT FOUND, 4MG + 1.25 MG COM CT BL AL PLAS INC X 10 (EMB FRAC), GMK
521905603111417, PERICARD PLUS, PERICARD PLUS, NOT FOUND, 4MG + 1.25 MG COM CT BL AL PLAS INC X 14 (EMB FRAC), GMK
521905604118415, PERICARD PLUS, PERICARD PLUS, NOT FOUND, 4MG + 1.25 MG COM CT BL AL PLAS INC X 30 (EMB FRAC), GMK
521905601119410, PERICARD PLUS, PERICARD PLUS, NOT FOUND, 4MG + 1.25 MG COM CT BL AL PLAS INC X 60 (EMB FRAC), GMK
521903603157119, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD AMB X 16.7 ML, GMK
521903604153117, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD AMB X 25 ML, GMK
521903601154112, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD AMB X 5 ML, GMK
521903602150110, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD AMB X 50 ML, GMK
521912070018104, PEMEGLENN, PEMEGLENN, NOT FOUND, 100 MG PO LIOF INJ IV CT 01 FA VD INC X 15 ML , GMK
521912070018306, PEMETREXEDE, PEMETREXEDE, PEMETREXEDE, 100 MG PO LIOF INJ IV CT 1 FA VD INC X 15 ML , GMK
521912070018204, PEMEGLENN, PEMEGLENN, NOT FOUND, 500 MG PO LIOF INJ IV CT 01 FA VD INC X 30 ML , GMK
521912070018406, PEMETREXEDE, PEMETREXEDE, PEMETREXEDE, 500 MG PO LIOF INJ IV CT 1 FA VD INC X 30 ML , GMK
521905301115411, PERICARD, PERICARD, NOT FOUND, 4 MG COM CT STR AL/AL X 10, GMK
521905302111418, PERICARD, PERICARD, NOT FOUND, 4 MG COM CT STR AL/AL X 14, GMK
521905303118416, PERICARD, PERICARD, NOT FOUND, 4 MG COM CT STR AL/AL X 60, GMK
521905102112410, POSPRAND, POSPRAND, NOT FOUND, 0.5 MG COM CT BL AL AL X 20  , GMK
521905103119419, POSPRAND, POSPRAND, NOT FOUND, 0.5 MG COM CT BL AL AL X 30, GMK
521905104115417, POSPRAND, POSPRAND, NOT FOUND, 0.5 MG COM CT BL AL AL X 60, GMK
521905112118411, POSPRAND, POSPRAND, NOT FOUND, 0.5 MG COM CT BL AL AL X 90, GMK
521905105111415, POSPRAND, POSPRAND, NOT FOUND, 1 MG COM CT BL AL AL X 20, GMK
521905106118413, POSPRAND, POSPRAND, NOT FOUND, 1 MG COM CT BL AL AL X 30, GMK
521905107114411, POSPRAND, POSPRAND, NOT FOUND, 1 MG COM CT BL AL AL X 60, GMK
521905108110411, POSPRAND, POSPRAND, NOT FOUND, 1 MG COM CT BL AL AL X 90  , GMK
521905109117418, POSPRAND, POSPRAND, NOT FOUND, 2.0MG COM CT BL AL AL X 20, GMK
521905110115415, POSPRAND, POSPRAND, NOT FOUND, 2.0 MG COM CT BL AL AL X 30, GMK
521905111111413, POSPRAND, POSPRAND, NOT FOUND, 2.0 MG COM CT BL AL AL X 60, GMK
521905101116412, POSPRAND, POSPRAND, NOT FOUND, 2.0 MG COM CT BL AL AL X 90, GMK
