521902603161411, DERMOTIL, DERMOTIL, NOT FOUND, 1.0 MG/G CREM DERM CT BG AL X 10 G, GMK
521902604168418, DERMOTIL, DERMOTIL, NOT FOUND, 1.0 MG/G CREM DERM CT BG AL X 20 G, GMK
521904101155118, DOCETAXEL, DOCETAXEL, DOCETAXEL, 20 MG SOL INJ IV CT FA VD AMB X 0.5 ML + DIL AMP INC X 1.5 ML, GMK
521904102151116, DOCETAXEL, DOCETAXEL, DOCETAXEL, 80 MG SOL INJ IV CT FA VD AMB X 2.0 ML + DIL AMP INC X 6.0 ML, GMK
521902603161411, DERMOTIL, DERMOTIL, NOT FOUND, 1.0 MG/G CREM DERM CT BG AL X 10 G, GMK
521902604168418, DERMOTIL, DERMOTIL, NOT FOUND, 1.0 MG/G CREM DERM CT BG AL X 20 G, GMK
521904101155118, DOCETAXEL, DOCETAXEL, DOCETAXEL, 20 MG SOL INJ IV CT FA VD AMB X 0.5 ML + DIL AMP INC X 1.5 ML, GMK
521904102151116, DOCETAXEL, DOCETAXEL, DOCETAXEL, 80 MG SOL INJ IV CT FA VD AMB X 2.0 ML + DIL AMP INC X 6.0 ML, GMK
521902603161411, DERMOTIL, DERMOTIL, NOT FOUND, 1.0 MG/G CREM DERM CT BG AL X 10 G, GMK
521902604168418, DERMOTIL, DERMOTIL, NOT FOUND, 1.0 MG/G CREM DERM CT BG AL X 20 G, GMK
521904101155118, DOCETAXEL, DOCETAXEL, DOCETAXEL, 20 MG SOL INJ IV CT FA VD AMB X 0.5 ML + DIL AMP INC X 1.5 ML, GMK
521904102151116, DOCETAXEL, DOCETAXEL, DOCETAXEL, 80 MG SOL INJ IV CT FA VD AMB X 2.0 ML + DIL AMP INC X 6.0 ML, GMK
521902603161411, DERMOTIL, DERMOTIL, NOT FOUND, 1.0 MG/G CREM DERM CT BG AL X 10 G, GMK
521902604168418, DERMOTIL, DERMOTIL, NOT FOUND, 1.0 MG/G CREM DERM CT BG AL X 20 G, GMK
521904101155118, DOCETAXEL, DOCETAXEL, DOCETAXEL, 20 MG SOL INJ IV CT FA VD AMB X 0.5 ML + DIL AMP INC X 1.5 ML, GMK
