521901301137429, FLUICIS, FLUICIS, NOT FOUND, 100MG PO 16 SACHES EFERV, GMK
521901302133427, FLUICIS, FLUICIS, NOT FOUND, 200MG PO 16 SACHES EFERV, GMK
521901303131428, FLUICIS, FLUICIS, NOT FOUND, 600MG PO 16 SACHES EFERV, GMK
521902701171411, FLUTICAN, FLUTICAN, NOT FOUND, 50 MCG/DOSE SUS NAS CT FR PLAS OPC X 10 ML, GMK
521901301137429, FLUICIS, FLUICIS, NOT FOUND, 100MG PO 16 SACHES EFERV, GMK
521901302133427, FLUICIS, FLUICIS, NOT FOUND, 200MG PO 16 SACHES EFERV, GMK
521901303131428, FLUICIS, FLUICIS, NOT FOUND, 600MG PO 16 SACHES EFERV, GMK
521902701171411, FLUTICAN, FLUTICAN, NOT FOUND, 50 MCG/DOSE SUS NAS CT FR PLAS OPC X 10 ML, GMK
521901301137429, FLUICIS, FLUICIS, NOT FOUND, 100MG PO 16 SACHES EFERV, GMK
521901302133427, FLUICIS, FLUICIS, NOT FOUND, 200MG PO 16 SACHES EFERV, GMK
521901303131428, FLUICIS, FLUICIS, NOT FOUND, 600MG PO 16 SACHES EFERV, GMK
521902701171411, FLUTICAN, FLUTICAN, NOT FOUND, 50 MCG/DOSE SUS NAS CT FR PLAS OPC X 10 ML, GMK
521901301137429, FLUICIS, FLUICIS, NOT FOUND, 100MG PO 16 SACHES EFERV, GMK
521901302133427, FLUICIS, FLUICIS, NOT FOUND, 200MG PO 16 SACHES EFERV, GMK
521901303131428, FLUICIS, FLUICIS, NOT FOUND, 600MG PO 16 SACHES EFERV, GMK
521902701171411, FLUTICAN, FLUTICAN, NOT FOUND, 50 MCG/DOSE SUS NAS CT FR PLAS OPC X 10 ML, GMK
521901301137429, FLUICIS, FLUICIS, NOT FOUND, 100MG PO 16 SACHES EFERV, GMK
521901302133427, FLUICIS, FLUICIS, NOT FOUND, 200MG PO 16 SACHES EFERV, GMK
521901303131428, FLUICIS, FLUICIS, NOT FOUND, 600MG PO 16 SACHES EFERV, GMK
521902701171411, FLUTICAN, FLUTICAN, NOT FOUND, 50 MCG/DOSE SUS NAS CT FR PLAS OPC X 10 ML, GMK
521901301137429, FLUICIS, FLUICIS, NOT FOUND, 100MG PO 16 SACHES EFERV, GMK
521901302133427, FLUICIS, FLUICIS, NOT FOUND, 200MG PO 16 SACHES EFERV, GMK
521901303131428, FLUICIS, FLUICIS, NOT FOUND, 600MG PO 16 SACHES EFERV, GMK
521902701171411, FLUTICAN, FLUTICAN, NOT FOUND, 50 MCG/DOSE SUS NAS CT FR PLAS OPC X 10 ML, GMK
521901301137429, FLUICIS, FLUICIS, NOT FOUND, 100MG PO 16 SACHES EFERV, GMK
521901302133427, FLUICIS, FLUICIS, NOT FOUND, 200MG PO 16 SACHES EFERV, GMK
521901303131428, FLUICIS, FLUICIS, NOT FOUND, 600MG PO 16 SACHES EFERV, GMK
521902701171411, FLUTICAN, FLUTICAN, NOT FOUND, 50 MCG/DOSE SUS NAS CT FR PLAS OPC X 10 ML, GMK
521901301137429, FLUICIS, FLUICIS, NOT FOUND, 100MG PO 16 SACHES EFERV, GMK
521901302133427, FLUICIS, FLUICIS, NOT FOUND, 200MG PO 16 SACHES EFERV, GMK
521901303131428, FLUICIS, FLUICIS, NOT FOUND, 600MG PO 16 SACHES EFERV, GMK
521902701171411, FLUTICAN, FLUTICAN, NOT FOUND, 50 MCG/DOSE SUS NAS CT FR PLAS OPC X 10 ML, GMK
521901301137429, FLUICIS, FLUICIS, NOT FOUND, 100MG PO 16 SACHES EFERV, GMK
521901302133427, FLUICIS, FLUICIS, NOT FOUND, 200MG PO 16 SACHES EFERV, GMK
521901303131428, FLUICIS, FLUICIS, NOT FOUND, 600MG PO 16 SACHES EFERV, GMK
521902701171411, FLUTICAN, FLUTICAN, NOT FOUND, 50 MCG/DOSE SUS NAS CT FR PLAS OPC X 10 ML, GMK
521901303131428, FLUICIS, FLUICIS, NOT FOUND, 120 MG/G GRAN EFEV CT 16 ENV AL X 5 G, GMK
521901301137429, FLUICIS, FLUICIS, NOT FOUND, 20 MG/G GRAN EFEV CT 16 ENV AL X 5 G, GMK
521901302133427, FLUICIS, FLUICIS, NOT FOUND, 40 MG/G GRAN EFEV CT 16 ENV AL X 5 G, GMK
521902701171411, FLUTICAN, FLUTICAN, NOT FOUND, 50 MCG/DOSE SUS NAS CT FR PLAS OPC X 10 ML, GMK
521901303131428, FLUICIS, FLUICIS, NOT FOUND, 120 MG/G GRAN EFEV CT 16 ENV AL X 5 G, GMK
521901301137429, FLUICIS, FLUICIS, NOT FOUND, 20 MG/G GRAN EFEV CT 16 ENV AL X 5 G, GMK
521901302133427, FLUICIS, FLUICIS, NOT FOUND, 40 MG/G GRAN EFEV CT 16 ENV AL X 5 G, GMK
521902701171411, FLUTICAN, FLUTICAN, NOT FOUND, 50 MCG/DOSE SUS NAS CT FR PLAS OPC X 10 ML, GMK
