58910, BACINEO , BACINEO, NOT FOUND, POM. 15 G x 1, LR3
55591, BACTERINIL , BACTERINIL, NOT FOUND, PO P/SUSP 250 MG 150 ML x 1 (/5ML), LR3
49532, BELUP , BELUP, NOT FOUND, DRAG x 20, LR3
49533, BELUP , BELUP, NOT FOUND, LIQD 100 ML x 1, LR3
69514, BEQUIDEX , BEQUIDEX, NOT FOUND, XAR. AD 8 MG 120 ML x 1 (/5ML), LR3
69515, BEQUIDEX , BEQUIDEX, NOT FOUND, XAR. PED. 4 MG 120 ML x 1 (/5ML), LR3
33434, BETALIVER , BETALIVER, NOT FOUND, FLACONETES 10 ML x 12, LR3
47174, BETALIVER , BETALIVER, NOT FOUND, FLACONETES 10 ML x 50, LR3
69876, BLUMEL GUACO , BLUMEL GUACO, NOT FOUND, XAR. 120 ML x 1, LR3
75117, BLUMEL HEDERA , BLUMEL HEDERA, NOT FOUND, XAR. 15 MG 100 ML x 1 (/ML), LR3
53612, BLUMEN , BLUMEN, NOT FOUND, CREME 30 G x 1, LR3
63584, BLUMEN , BLUMEN, NOT FOUND, POM. 45 G x 1, LR3
