67092, ACEROGRIP C , ACEROGRIP C, NOT FOUND, CPR EFER 1 G x 10, LR3
28968, ALCAFELOL , ALCAFELOL, NOT FOUND, LIQD 150 ML x 1, LR3
33964, ALCAFLOR , ALCAFLOR, NOT FOUND, DRAG x 100, LR3
71538, ALCAFLOR UNO , ALCAFLOR UNO, NOT FOUND, CPR 200 MG x 120, LR3
69511, AMBROFLUX , AMBROFLUX, NOT FOUND, XAR. AD 30 MG 120 ML x 1 (/5ML), LR3
69512, AMBROFLUX , AMBROFLUX, NOT FOUND, XAR. PED. 15 MG 120 ML x 1 (/5ML), LR3
59142, AMOXIBEL , AMOXIBEL, NOT FOUND, CAPS 500 MG x 21, LR3
59145, AMOXIBEL , AMOXIBEL, NOT FOUND, PO P/SUSP 500 MG 150 ML x 1 (/5ML), LR3
60013, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21, LR3
69900, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, PO P/SUSP 250 MG 150 ML x 1 (/5ML), LR3
53597, APETIBE , APETIBE, NOT FOUND, SUSP 240 ML x 1, LR3
63853, AZITROSOL , AZITROSOL, NOT FOUND, PO P/SUSP 600 MG 15 ML x 1, LR3
