507736301118411, C CALCIO, C CALCIO, NOT FOUND, 10 COMP EFERV, E3S
507734101138410, CALCINOL COMPLEXO, CALCINOL COMPLEXO, NOT FOUND, SUSP 240 ML, E3S
507732304171416, CANDERM, CANDERM, NOT FOUND, 100MG/G GEL VAG BISN C/ 50G + APLIC, E3S
507732302111416, CANDERM, CANDERM, NOT FOUND, 250MG 2 BLT C/ 10 COMP, E3S
507732303116411, CANDERM, CANDERM, NOT FOUND, 400MG 2 BLT C/ 10 COMP, E3S
507730311111117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PLAS INC X 30, E3S
507730308110113, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PLAS INC X 90 (EMB FRAC), E3S
507730307114115, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PLAS INC X 60 (EMB HOSP), E3S
507730309117111, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PLAS INC X 90 (EMB FRAC), E3S
507730302112114, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25MG 2 BL X 15 COMP, E3S
507730306118117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PLAS INC X 60 (EMB HOSP), E3S
507730310115119, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PLAS INC X 90 (EMB FRAC), E3S
507730305111119, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50MG 2 BL X 15 COMP, E3S
507703804110110, CAPTOPRIL + HIDROCLOROTIAZIDA, CAPTOPRIL HIDROCLOROTIAZIDA, NOT FOUND, 50 MG + 25 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507703803114112, CAPTOPRIL + HIDROCLOROTIAZIDA, CAPTOPRIL HIDROCLOROTIAZIDA, NOT FOUND, 50/25MG 1BL X 15 COMP, E3S
507703801111116, CAPTOPRIL + HIDROCLOROTIAZIDA, CAPTOPRIL HIDROCLOROTIAZIDA, NOT FOUND, 50/25MG 2BL X 15 COMP, E3S
507703901116411, CAPYLA-HAIR, CAPYLA HAIR, NOT FOUND, 1MG 2 BL X 15 COMP, E3S
507704001119110, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, (C1) 200MG 2 BL X 10COMP, E3S
507704003111117, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, (C1) 400MG 2 BL X 10COMP, E3S
507704004215420, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 120 MG COM REV CT BL AL PLAS INC X 30, E3S
507704103132116, CARBOCISTEINA, CARBOCISTEINA, CARBOCISTEINA, 50MG/ML SOL ORAL FR C/ 20ML, E3S
507704201118411, CEDROXIL, CEDROXIL, NOT FOUND, 500MG 1 BL X 8 CAPS, E3S
507704302135115, CEFACLOR, CEFACLOR, CEFACLOR, 250MG/5ML SUSP ORAL FR 80ML, E3S
507704303131113, CEFACLOR, CEFACLOR, CEFACLOR, 375MG/5ML SUSP ORAL FR 80ML, E3S
507704305118114, CEFACLOR, CEFACLOR, CEFACLOR, 500 MG CAP GEL DURA CT BL AL PLAS INC X 30 (EMB FRAC), E3S
507704304111116, CEFACLOR, CEFACLOR, CEFACLOR, 500MG 1 BL X 10 CAPS, E3S
507704401117115, CEFADROXIL, CEFADROXIL, NOT FOUND, 500MG 1 BL X 8 CAPS, E3S
507704402131111, CEFADROXIL, CEFADROXIL, NOT FOUND, SUSP 250MG/5ML FR C/ 100ML, E3S
507704403136117, CEFADROXIL, CEFADROXIL, NOT FOUND, SUSP 500MG/5ML 100ML, E3S
507733901114119, CEFADROXILA, CEFADROXILA, CEFADROXILA, 500 MG X 60 CAPS (EMB FRAC), E3S
507704501111410, CEFAGRAN, CEFAGRAN, NOT FOUND, 500MG 1 BL X 8 COMP, E3S
507704503130412, CEFAGRAN, CEFAGRAN, NOT FOUND, SUSP 250MG FR PO 100ML, E3S
507704604115117, CEFALEXINA, CEFALEXINA, CEFALEXINA, 1 G COM REV CT BL AL PLAS INC X 8 , E3S
507704605111115, CEFALEXINA, CEFALEXINA, CEFALEXINA, 1G X 45 COMP REV (EMB FRAC), E3S
507704601116112, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500MG 1 BL X 10 COMP, E3S
507704602112110, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500MG BL X 8 COMP, E3S
507704606118113, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500MG X 60 COMP REV (EMB FRAC), E3S
507704603135114, CEFALEXINA, CEFALEXINA, CEFALEXINA, SUSP 250MG FR 100ML, E3S
507704902159414, CEFATRIL, CEFATRIL, NOT FOUND, INJ C/ 50 FR/A+DIL10ML, E3S
507705101151413, CEFTRIAX, CEFTRIAX, NOT FOUND, IM 1G C/ 1 X 3.5ML, E3S
507705102156419, CEFTRIAX, CEFTRIAX, NOT FOUND, IM 250MG C/ 1 2ML, E3S
507705103152417, CEFTRIAX, CEFTRIAX, NOT FOUND, IM 500MG C/ 1 2ML, E3S
507705201154112, CEFTRIAXONA SOD, CEFTRIAXONA SOD, CEFTRIAXONA SODICA, 1G IM C/ 1 FR/DIL INJ, E3S
507705203157119, CEFTRIAXONA SOD, CEFTRIAXONA SOD, CEFTRIAXONA SODICA, 500MG IM C/ 1 FR/DIL INJ, E3S
507705301116417, CELERG, CELERG, NOT FOUND, 0.25 MG + 2 MG 2 BL X 10 COMP, E3S
507705302139410, CELERG, CELERG, NOT FOUND, XAROPE 120ML 0.25MG+2MG/5ML, E3S
507705401137416, CELERGIN, CELERGIN, NOT FOUND, 0.25 MG + 2 MG / 5 ML XPE 120ML, E3S
507705402117419, CELERGIN, CELERGIN, NOT FOUND, 0.25 MG + 2 MG COMP 2 BL X 10 COMP-E, E3S
507705501166418, CELOCORT, CELOCORT, NOT FOUND, CREME BISN C/ 30 G, E3S
507705601111410, CENEVIT, CENEVIT, NOT FOUND, 1G COMP EFERV C/ 10, E3S
507705602116416, CENEVIT, CENEVIT, NOT FOUND, 2G COMP EFERV C/ 10, E3S
507705701165113, CETOC.+BETAM.+SULF. NEO., CETOC BETAM SULF NEO, NOT FOUND, CREME 20 + 0.5 + 2.5 MG/G BISN, E3S
507705702161111, CETOC.+BETAM.+SULF. NEO., CETOC BETAM SULF NEO, NOT FOUND, POMADA 20 + 0.5 + 2.5 MG/G, E3S
507705801161111, CETOC.+DIPROP. BETA., CETOC DIPROP BETA, NOT FOUND, CREME BISN 30G, E3S
507705802166115, CETOC.+DIPROP. BETA., CETOC DIPROP BETA, NOT FOUND, POMADA BISN 30G, E3S
507705905119111, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200 MG COM CT BL AL PLAS BCO LEIT X 60 (EMB FRAC), E3S
507705901113117, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200MG 1 BL X 10 COMP, E3S
507705902111118, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200MG 3 BL X 10 COMP, E3S
507705903167117, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, CREME BISN C/ 30G, E3S
507705904171118, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, SHAMPOO FR C/ 100ML, E3S
