507732601117114, IBUPROFENO, IBUPROFENO, IBUPROFENO, 200 MG COM REV CT BL AL PLAS LEIT X 20, E3S
507732602113112, IBUPROFENO, IBUPROFENO, IBUPROFENO, 300 MG COM REV CT BL AL PLAS OPC X 20, E3S
507732603136116, IBUPROFENO, IBUPROFENO, IBUPROFENO, 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML, E3S
507715701117418, INFLALID, INFLALID, NOT FOUND, 1 BL X 12 COMP, E3S
507715702131414, INFLALID, INFLALID, NOT FOUND, GOTAS FR C/15ML, E3S
507715801111411, INFRALAX, INFRALAX, NOT FOUND, 2 BL X 15 COMP, E3S
507715803114418, INFRALAX, INFRALAX, NOT FOUND, 300 MG + 30 MG + 125 MG + 50 MG COM CT BL AL PLAS INC X 15, E3S
507715901159416, INSUCARD, INSUCARD, NOT FOUND, INJ 250MG 50AMP 20ML, E3S
507716002115414, ITRACONOL, ITRACONOL, NOT FOUND, 100MG 1 BL X 4 CAPS, E3S
507732601117114, IBUPROFENO, IBUPROFENO, IBUPROFENO, 200 MG COM REV CT BL AL PLAS LEIT X 20, E3S
507732602113112, IBUPROFENO, IBUPROFENO, IBUPROFENO, 300 MG COM REV CT BL AL PLAS OPC X 20, E3S
507732603136116, IBUPROFENO, IBUPROFENO, IBUPROFENO, 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML, E3S
507715701117418, INFLALID, INFLALID, NOT FOUND, 1 BL X 12 COMP, E3S
507715702131414, INFLALID, INFLALID, NOT FOUND, GOTAS FR C/15ML, E3S
507715801111411, INFRALAX, INFRALAX, NOT FOUND, 2 BL X 15 COMP, E3S
507715803114418, INFRALAX, INFRALAX, NOT FOUND, 300 MG + 30 MG + 125 MG + 50 MG COM CT BL AL PLAS INC X 15, E3S
507715901159416, INSUCARD, INSUCARD, NOT FOUND, INJ 250MG 50AMP 20ML, E3S
507716002115414, ITRACONOL, ITRACONOL, NOT FOUND, 100MG 1 BL X 4 CAPS, E3S
507732601117114, IBUPROFENO, IBUPROFENO, IBUPROFENO, 200 MG COM REV CT BL AL PLAS LEIT X 20, E3S
507732602113112, IBUPROFENO, IBUPROFENO, IBUPROFENO, 300 MG COM REV CT BL AL PLAS OPC X 20, E3S
507732603136116, IBUPROFENO, IBUPROFENO, IBUPROFENO, 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML, E3S
507715701117418, INFLALID, INFLALID, NOT FOUND, 1 BL X 12 COMP, E3S
507715702131414, INFLALID, INFLALID, NOT FOUND, GOTAS FR C/15ML, E3S
507715801111411, INFRALAX, INFRALAX, NOT FOUND, 2 BL X 15 COMP, E3S
507715803114418, INFRALAX, INFRALAX, NOT FOUND, 300 MG + 30 MG + 125 MG + 50 MG COM CT BL AL PLAS INC X 15, E3S
507715901159416, INSUCARD, INSUCARD, NOT FOUND, INJ 250MG 50AMP 20ML, E3S
507716002115414, ITRACONOL, ITRACONOL, NOT FOUND, 100MG 1 BL X 4 CAPS, E3S
507732601117114, IBUPROFENO, IBUPROFENO, IBUPROFENO, 200 MG COM REV CT BL AL PLAS LEIT X 20, E3S
507732602113112, IBUPROFENO, IBUPROFENO, IBUPROFENO, 300 MG COM REV CT BL AL PLAS OPC X 20, E3S
507732603136116, IBUPROFENO, IBUPROFENO, IBUPROFENO, 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML, E3S
507715701117418, INFLALID, INFLALID, NOT FOUND, 1 BL X 12 COMP, E3S
507715702131414, INFLALID, INFLALID, NOT FOUND, GOTAS FR C/15ML, E3S
507715801111411, INFRALAX, INFRALAX, NOT FOUND, 2 BL X 15 COMP, E3S
507715803114418, INFRALAX, INFRALAX, NOT FOUND, 300 MG + 30 MG + 125 MG + 50 MG COM CT BL AL PLAS INC X 15, E3S
507715901159416, INSUCARD, INSUCARD, NOT FOUND, INJ 250MG 50AMP 20ML, E3S
507716002115414, ITRACONOL, ITRACONOL, NOT FOUND, 100MG 1 BL X 4 CAPS, E3S
507732601117114, IBUPROFENO, IBUPROFENO, IBUPROFENO, 200 MG COM REV CT BL AL PLAS LEIT X 20, E3S
507732602113112, IBUPROFENO, IBUPROFENO, IBUPROFENO, 300 MG COM REV CT BL AL PLAS OPC X 20, E3S
507732603136116, IBUPROFENO, IBUPROFENO, IBUPROFENO, 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML, E3S
507715701117418, INFLALID, INFLALID, NOT FOUND, 1 BL X 12 COMP, E3S
507715702131414, INFLALID, INFLALID, NOT FOUND, GOTAS FR C/15ML, E3S
507715801111411, INFRALAX, INFRALAX, NOT FOUND, 2 BL X 15 COMP, E3S
507715803114418, INFRALAX, INFRALAX, NOT FOUND, 300 MG + 30 MG + 125 MG + 50 MG COM CT BL AL PLAS INC X 15, E3S
507715901159416, INSUCARD, INSUCARD, NOT FOUND, INJ 250MG 50AMP 20ML, E3S
507716002115414, ITRACONOL, ITRACONOL, NOT FOUND, 100MG 1 BL X 4 CAPS, E3S
507732601117114, IBUPROFENO, IBUPROFENO, IBUPROFENO, 200 MG COM REV CT BL AL PLAS LEIT X 20, E3S
507732602113112, IBUPROFENO, IBUPROFENO, IBUPROFENO, 300 MG COM REV CT BL AL PLAS OPC X 20, E3S
507732603136116, IBUPROFENO, IBUPROFENO, IBUPROFENO, 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML, E3S
