507709001176417, DAKGRAN, DAKGRAN, NOT FOUND, LOCAO 30ML, E3S
507709101111414, DASC, DASC, NOT FOUND, FR C/20 DRG, E3S
507728304111113, DEFLAZACORTE, DEFLAZACORTE, DEFLAZACORTE, 30 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507728301112119, DEFLAZACORTE, DEFLAZACORTE, DEFLAZACORTE, 30MG C/10 COMP, E3S
507728303115115, DEFLAZACORTE, DEFLAZACORTE, DEFLAZACORTE, 6 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507728302119117, DEFLAZACORTE, DEFLAZACORTE, DEFLAZACORTE, 6MG C/20 COMP, E3S
507731001167414, DERMOCORTE, DERMOCORTE, NOT FOUND, (20 + 0.644) MG/G CREM DERM CT BG AL X 30 G, E3S
507731002163412, DERMOCORTE, DERMOCORTE, NOT FOUND, (20 + 0.644) MG/G POM DERM CT BG AL X 30 G, E3S
507734501160413, DERMOSTATIN, DERMOSTATIN, NOT FOUND, 100.000 UI / G + 200 MG / G POM DERM CT BG AL X 60 G, E3S
507740103139117, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5MG/ML XPE CT FR VD AMB X 100 ML + SER DOSAD , E3S
507740102132119, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD , E3S
507740101111118, DESLORATADINA, DESLORATADINA, DESLORATADINA, 5 MG COM REV CT BL AL PLAS OPC X 10, E3S
507726703167116, DESONIDA, DESONIDA, DESONIDA, 0.5 MG LOC CREM CT FR PLAS OPC X 60 G, E3S
507726701164111, DESONIDA, DESONIDA, DESONIDA, 0.5MG/G CREM CT BG AL X 30G, E3S
507726702160118, DESONIDA, DESONIDA, DESONIDA, 0.5MG/G POM BISN C/ 30G, E3S
507726704163114, DESONIDA, DESONIDA, DESONIDA, 1 MG/G LOC CAPIL CT FR PLAS TRANS GOT X 30 G, E3S
507741203137416, DESTADIN, DESTADIN, NOT FOUND, 0.5 MG/ML XPE CT FR VD AMB X 100 ML + SER DOSAD, E3S
507741202130418, DESTADIN, DESTADIN, NOT FOUND, 0.5 MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD, E3S
507741201118414, DESTADIN, DESTADIN, NOT FOUND, 5 MG COM REV CT BL AL PLAS OPC X 10, E3S
507709401166419, DEXADERMIL, DEXADERMIL, NOT FOUND, CREME BISN C/10 G, E3S
507709502116115, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.50 MG COM CT BL AL PLAS BCO LEIT X 20, E3S
507709503112113, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.75 MG COM CT BL AL PLAS BCO LEIT X 20, E3S
507709504119111, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 4 MG COM CT BL AL PLAS BCO LEIT X 10, E3S
507709501136112, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, ELIXIR FR C/120ML, E3S
507709701119114, DIAZEPAM, DIAZEPAM, DIAZEPAM, (B1) 10MG 2 BL X 10 COMP, E3S
507709702115112, DIAZEPAM, DIAZEPAM, DIAZEPAM, (B1) 5MG 2 BL X 10 COMP, E3S
507709703111110, DIAZEPAM, DIAZEPAM, DIAZEPAM, 10 MG COM CT BL AL PLAS INC X 3, E3S
507709705114117, DIAZEPAM, DIAZEPAM, DIAZEPAM, 10MG X 30 COMP, E3S
507709704118119, DIAZEPAM, DIAZEPAM, DIAZEPAM, 5 MG COM CT BL AL PLAS INC X 30, E3S
507709706110115, DIAZEPAM, DIAZEPAM, DIAZEPAM, 5MG X 30 COMP, E3S
507709801113411, DIAZOL, DIAZOL, NOT FOUND, 3 STP X 4 COMP, E3S
507709802136413, DIAZOL, DIAZOL, NOT FOUND, SUSP FR C/60ML, E3S
507709902114411, DIBENDRIL, DIBENDRIL, NOT FOUND, PAST STP MENTA 3 X 4, E3S
507709901118413, DIBENDRIL, DIBENDRIL, NOT FOUND, PAST STPFRAMBOESA 3 X 4, E3S
507709903137415, DIBENDRIL, DIBENDRIL, NOT FOUND, XPE 120ML, E3S
507727203117118, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 10, E3S
507727201114111, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 14 (EQ. 70 MG DICLOFENACO), E3S
507727202110111, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 20 (EQ. 70 MG DICLOFENACO), E3S
507727204113116, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 66 (EMB FRAC), E3S
507710001168116, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, GEL BISN 60G, E3S
507710102118114, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG COM REV CT BL AL PLAS INC X 10, E3S
507710103114112, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC), E3S
507710101111116, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50MG 2 X 10 COMP REV, E3S
507729201138114, DICLOFENACO RESINATO, DICLOFENACO RESINATO, NOT FOUND, 15MG/ML SUS OR GOTAS FR COM 20ML, E3S
507710204166118, DICLOFENACO SODICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 10 MG/G GEL CT BG AL X 60 G, E3S
507710206118110, DICLOFENACO SODICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 100MG COM REV DESINT LENTA CT BL AL PLAS INC X 10, E3S
507710205111112, DICLOFENACO SODICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 100MG COM REV DESINT LENTA CT BL AL PLAS INC X 20, E3S
507710502116119, DIMETICONA, DIMETICONA, DIMETICONA, 125MG CAP GEL MOLE CT BL AL PLAS INC X 10, E3S
507710501111113, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 20, E3S
507710503139112, DIMETICONA, DIMETICONA, DIMETICONA, 75 MG/ML MEU OR CT FR PLAST OPC GOT X 15 ML, E3S
507729301132118, DIMETICONA + METILBROMETO DE HOMATROPINA, DIMETICONA METILBROMETO HOMATROPINA, NOT FOUND, 80 MG/ML + 2.5 MG/ML SOL ORAL GT FR X 20 ML, E3S
507710603117412, DIMETILIV, DIMETILIV, NOT FOUND, 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10, E3S
507710602137411, DIMETILIV, DIMETILIV, NOT FOUND, 250 MG/ML EMU. OR CT FR PLAS OPC GOT X 15 ML, E3S
507710601114416, DIMETILIV, DIMETILIV, NOT FOUND, 40 MG COM CT 2 BL AL PLAS INC X 10, E3S
507710705130116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 50MG/ML SOL ORAL 100ML, E3S
507739201130110, DIPIRONA SÓDICA + CLORIDRATO DE ISOMETEPTENO + CAFEÍNA, DIPIRONA SODICA CLORIDRATO ISOMETEPTENO CAFEINA, NOT FOUND, 300 MG/ML + 50 MG/ML + 30 MG/ML SOL OR CT FR PLAS OPC X 15 ML + CGT, E3S
507728401176119, DIPROP. BETAMETASONA + SULF. GENTAMICINA, DIPROP BETAMETASONA SULF GENTAMICINA, NOT FOUND, CREM BISN C/ 30G, E3S
507728402164114, DIPROP. BETAMETASONA + SULF. GENTAMICINA, DIPROP BETAMETASONA SULF GENTAMICINA, NOT FOUND, POM BISN C/ 30G, E3S
507725901062118, DIPROP.BETA+AC.SALIC., DIPROP BETA AC SALIC, NOT FOUND, POM 30 G, E3S
507727301161111, DIPROPIONATO DE BETAMETASONA, DIPROPIONATO BETAMETASONA, DIPROPIONATO BETAMETASONA, 0.5 MG/G CREME DERM CT BG AL X 30 G, E3S
507727302166117, DIPROPIONATO DE BETAMETASONA, DIPROPIONATO BETAMETASONA, DIPROPIONATO BETAMETASONA, 0.5 MG/G POM DERM CT BG AL X 30 G, E3S
507710804139413, DORICIN, DORICIN, NOT FOUND, (35 + 300 + 50) MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, E3S
507710802111414, DORICIN, DORICIN, NOT FOUND, 30 STP C/4 COMP, E3S
507710803132415, DORICIN, DORICIN, NOT FOUND, GOTAS FR C/10ML, E3S
507711001110418, DORSEDIN, DORSEDIN, NOT FOUND, 2 BL X 10 COMP, E3S
507711101115411, DORSPAN, DORSPAN, NOT FOUND, 2 BL X 10 DRG, E3S
507711102138415, DORSPAN, DORSPAN, NOT FOUND, COMPOSTO GOTAS FR C/20ML, E3S
507711201111418, DOXILEGRAND, DOXILEGRAND, NOT FOUND, 1 BL X 15 COMP REV, E3S
507735501113413, DRYLTAC, DRYLTAC, NOT FOUND, 140 MG CAP GEL DURA CT BL AL PLAS BRANCO LEITOSO X 10, E3S
507735502111414, DRYLTAC, DRYLTAC, NOT FOUND, 140 MG CAP GEL DURA CT BL AL PLAS BRANCO LEITOSO X 14, E3S
507735503116411, DRYLTAC, DRYLTAC, NOT FOUND, 140 MG CAP GEL DURA CT BL AL PLAS BRANCO LEITOSO X 20, E3S
507709001176417, DAKGRAN, DAKGRAN, NOT FOUND, LOCAO 30ML, E3S
507709101111414, DASC, DASC, NOT FOUND, FR C/20 DRG, E3S
507728304111113, DEFLAZACORTE, DEFLAZACORTE, DEFLAZACORTE, 30 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507728301112119, DEFLAZACORTE, DEFLAZACORTE, DEFLAZACORTE, 30MG C/10 COMP, E3S
