507735902118114, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 30, E3S
507735901111116, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 90 (EMB FRAC), E3S
507721901114417, RANITIL, RANITIL, NOT FOUND, 150MG 5STP C/4 COMP, E3S
507722002113416, REPOFLOR, REPOFLOR, NOT FOUND, 100 MG CAP GEL DURA CT FR PLAS OPC X 12, E3S
507722003111417, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG CAP GEL DURA CT FR PLAS OPC X 6, E3S
507722001133413, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG PO OR CT 4 ENV KRAFT POLIET X 1 G , E3S
507722101111411, REPOPIL, REPOPIL, NOT FOUND, 1 BL X 21 DRG, E3S
507729901131112, RIFAMICINA, RIFAMICINA, RIFAMICINA, 10 MG/ML SOL TOP SPRAY CT FR VD AMB X 20 ML, E3S
507732701170416, RIFASAN, RIFASAN, NOT FOUND, 10 MG / ML SOL TOP CT FR VD AMB SPRAY X 20 ML, E3S
507722202139419, RINIGRAN, RINIGRAN, NOT FOUND, 10ML 0.05% GOTAS, E3S
507722201132410, RINIGRAN, RINIGRAN, NOT FOUND, 10ML 0.10% GOTAS, E3S
507740302115110, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507740301119112, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507741602112417, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507741601116419, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507737201133113, RISPERIDONA, RISPERIDONA, RISPERIDONA, 1 MG / ML SOL OR CT FR VD AMB X 30 ML + SER PLAS DOSAD, E3S
507735902118114, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 30, E3S
507735901111116, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 90 (EMB FRAC), E3S
507721901114417, RANITIL, RANITIL, NOT FOUND, 150MG 5STP C/4 COMP, E3S
507722002113416, REPOFLOR, REPOFLOR, NOT FOUND, 100 MG CAP GEL DURA CT FR PLAS OPC X 12, E3S
507722003111417, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG CAP GEL DURA CT FR PLAS OPC X 6, E3S
507722001133413, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG PO OR CT 4 ENV KRAFT POLIET X 1 G , E3S
507722101111411, REPOPIL, REPOPIL, NOT FOUND, 1 BL X 21 DRG, E3S
507729901131112, RIFAMICINA, RIFAMICINA, RIFAMICINA, 10 MG/ML SOL TOP SPRAY CT FR VD AMB X 20 ML, E3S
507732701170416, RIFASAN, RIFASAN, NOT FOUND, 10 MG / ML SOL TOP CT FR VD AMB SPRAY X 20 ML, E3S
507722202139419, RINIGRAN, RINIGRAN, NOT FOUND, 10ML 0.05% GOTAS, E3S
507722201132410, RINIGRAN, RINIGRAN, NOT FOUND, 10ML 0.10% GOTAS, E3S
507740302115110, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507740301119112, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507741602112417, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507741601116419, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507737201133113, RISPERIDONA, RISPERIDONA, RISPERIDONA, 1 MG / ML SOL OR CT FR VD AMB X 30 ML + SER PLAS DOSAD, E3S
507735902118114, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 30, E3S
507735901111116, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 90 (EMB FRAC), E3S
507721901114417, RANITIL, RANITIL, NOT FOUND, 150MG 5STP C/4 COMP, E3S
507722002113416, REPOFLOR, REPOFLOR, NOT FOUND, 100 MG CAP GEL DURA CT FR PLAS OPC X 12, E3S
507722003111417, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG CAP GEL DURA CT FR PLAS OPC X 6, E3S
507722001133413, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG PO OR CT 4 ENV KRAFT POLIET X 1 G , E3S
507722101111411, REPOPIL, REPOPIL, NOT FOUND, 1 BL X 21 DRG, E3S
507729901131112, RIFAMICINA, RIFAMICINA, RIFAMICINA, 10 MG/ML SOL TOP SPRAY CT FR VD AMB X 20 ML, E3S
507732701170416, RIFASAN, RIFASAN, NOT FOUND, 10 MG / ML SOL TOP CT FR VD AMB SPRAY X 20 ML, E3S
507722202139419, RINIGRAN, RINIGRAN, NOT FOUND, 10ML 0.05% GOTAS, E3S
507722201132410, RINIGRAN, RINIGRAN, NOT FOUND, 10ML 0.10% GOTAS, E3S
507740302115110, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507740301119112, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507741602112417, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507741601116419, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507737201133113, RISPERIDONA, RISPERIDONA, RISPERIDONA, 1 MG / ML SOL OR CT FR VD AMB X 30 ML + SER PLAS DOSAD, E3S
507735902118114, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 30, E3S
507735901111116, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 90 (EMB FRAC), E3S
507721901114417, RANITIL, RANITIL, NOT FOUND, 150MG 5STP C/4 COMP, E3S
507722002113416, REPOFLOR, REPOFLOR, NOT FOUND, 100 MG CAP GEL DURA CT FR PLAS OPC X 12, E3S
507722003111417, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG CAP GEL DURA CT FR PLAS OPC X 6, E3S
507722001133413, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG PO OR CT 4 ENV KRAFT POLIET X 1 G , E3S
507722101111411, REPOPIL, REPOPIL, NOT FOUND, 2 MG + 0.035 MG COM REV CT BL AL PLAS INC X 21 , E3S
507722102118411, REPOPIL, REPOPIL, NOT FOUND, 2 MG + 0.035 MG DRG CT BL AL PLAS INC X 63, E3S
507729901131112, RIFAMICINA, RIFAMICINA, RIFAMICINA, 10 MG/ML SOL TOP SPRAY CT FR VD AMB X 20 ML, E3S
507732701170416, RIFASAN, RIFASAN, NOT FOUND, 10 MG / ML SOL TOP CT FR VD AMB SPRAY X 20 ML, E3S
507722202139419, RINIGRAN, RINIGRAN, NOT FOUND, 10ML 0.05% GOTAS, E3S
507722201132410, RINIGRAN, RINIGRAN, NOT FOUND, 10ML 0.10% GOTAS, E3S
507740302115110, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507740301119112, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507741602112417, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507741601116419, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507737201133113, RISPERIDONA, RISPERIDONA, RISPERIDONA, 1 MG / ML SOL OR CT FR VD AMB X 30 ML + SER PLAS DOSAD, E3S
507735902118114, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 30, E3S
507735901111116, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 90 (EMB FRAC), E3S
507721901114417, RANITIL, RANITIL, NOT FOUND, 150MG 5STP C/4 COMP, E3S
507722002113416, REPOFLOR, REPOFLOR, NOT FOUND, 100 MG CAP GEL DURA CT FR PLAS OPC X 12, E3S
507722003111417, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG CAP GEL DURA CT FR PLAS OPC X 6, E3S
507722001133413, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG PO OR CT 4 ENV KRAFT POLIET X 1 G , E3S
507722101111411, REPOPIL, REPOPIL, NOT FOUND, 2 MG + 0.035 MG COM REV CT BL AL PLAS INC X 21 , E3S
507722102118411, REPOPIL, REPOPIL, NOT FOUND, 2 MG + 0.035 MG DRG CT BL AL PLAS INC X 63, E3S
507729901131112, RIFAMICINA, RIFAMICINA, RIFAMICINA, 10 MG/ML SOL TOP SPRAY CT FR VD AMB X 20 ML, E3S
507732701170416, RIFASAN, RIFASAN, NOT FOUND, 10 MG / ML SOL TOP CT FR VD AMB SPRAY X 20 ML, E3S
507722202139419, RINIGRAN, RINIGRAN, NOT FOUND, 10ML 0.05% GOTAS, E3S
507722201132410, RINIGRAN, RINIGRAN, NOT FOUND, 10ML 0.10% GOTAS, E3S
507740302115110, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507740301119112, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507741602112417, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507741601116419, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507737201133113, RISPERIDONA, RISPERIDONA, RISPERIDONA, 1 MG / ML SOL OR CT FR VD AMB X 30 ML + SER PLAS DOSAD, E3S
507735902118114, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 30, E3S
