1201900270035; CALAPHYL; CALAPHYL; NOT FOUND; 8% LOCAO FR X 120ML; GP8
1201900270043; CALAPHYL; CALAPHYL; NOT FOUND; 8% CREME BISN X 28G; GP8
1201901030054; CARBOTOSS; CARBOTOSS; NOT FOUND; 50 MG/ML XPE CT FR VD AMB X 100 ML; GP8
1201901030021; CARBOTOSS; CARBOTOSS; NOT FOUND; 250MG/5ML XPE FR X 100ML; GP8
1201900120022; CEFEXINA; CEFEXINA; NOT FOUND; 250MG/5ML SUS FR X 60ML; GP8
1201900120033; CEFEXINA; CEFEXINA; NOT FOUND; 50 MG/ML PO SUS OR CX 50 FR VD AMB X 60 ML (EMB HOSP); GP8
1201900530045; CETOMIZOL; CETOMIZOL; NOT FOUND; 20 MG/G CREM CT BG X 30 G; GP8
1201900530053; CETOMIZOL; CETOMIZOL; NOT FOUND; 20 MG/G CREM CT50 BG X 30 G; GP8
1201900530029; CETOMIZOL; CETOMIZOL; NOT FOUND; 200 MG CX C/ 10 CPR; GP8
1201900530071; CETOMIZOL; CETOMIZOL; NOT FOUND; 200 MG COM CT 20 BL AL PLAS INC X 10 (EMB HOSP); GP8
1201900530061; CETOMIZOL; CETOMIZOL; NOT FOUND; 200 MG COM CT 3 BL AL PLAS X 10; GP8
1201900450099; CINTIDINA; CINTIDINA; NOT FOUND; 300MG SOL INJ CX 50 AMP VD INC X 2ML (EMB HOSP); GP8
1201900450106; CINTIDINA; CINTIDINA; NOT FOUND; 300MG SOL INJ CX 100 AMP VD INC X 2ML (EMB HOSP); GP8
1201900450017; CINTIDINA; CINTIDINA; NOT FOUND; 200 MG CX C/ 20 CPR; GP8
1201900450076; CINTIDINA; CINTIDINA; NOT FOUND; 200 MG CX C/ 200 CPR; GP8
1201900450033; CINTIDINA; CINTIDINA; NOT FOUND; 400 MG COM CX ENV KRAFT X 20; GP8
1201900540032; CIPROFLOXIL; CIPROFLOXIL; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 14; GP8
1201900540040; CIPROFLOXIL; CIPROFLOXIL; NOT FOUND; 250MG CX C/ 6 CPR; GP8
1201900540016; CIPROFLOXIL; CIPROFLOXIL; NOT FOUND; 500MG CX C 6 CPR; GP8
1201900540024; CIPROFLOXIL; CIPROFLOXIL; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; GP8
1201900590013; CORIZIN; CORIZIN; NOT FOUND; 400 MG + 4 MG + 4 MG CAP GEL DURA CT BL AL PLAS INC X 20; GP8
1201900630015; CLOTRIDERM; CLOTRIDERM; NOT FOUND; 10MG/G CREM DERM CT BG AL X 50 G; GP8
1201900630023; CLOTRIDERM; CLOTRIDERM; NOT FOUND; 10MG/G CR. CX C/ 50 BISN X 50G; GP8
1201901260033; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CT BG AL X 50 G; GP8
1201900750010; COLCHIN; COLCHIN; NOT FOUND; 0.5 MG COM CT 2 ENV KRAFT X 10; GP8
1201901040017; CALVIN; CALVIN; NOT FOUND; 1 MG CX C/ 30 CPR REVEST; GP8
1201901180072; CANDIFEN; CANDIFEN; NOT FOUND; 200MG/5ML SUS CX C/ 1FR X 100ML; GP8
1201901180080; CANDIFEN; CANDIFEN; NOT FOUND; 40 MG/ML SUS OR CX 50 FR VD AMB X 100 ML; GP8
1201901180099; CANDIFEN; CANDIFEN; NOT FOUND; 100MG/G CR 50G; GP8
1201901180013; CANDIFEN; CANDIFEN; NOT FOUND; 250 MG COM CT 2 BL AL PLAS INC X 10; GP8
1201901180021; CANDIFEN; CANDIFEN; NOT FOUND; 250 MG COM CT 20 BL AL PLAS INC X 10; GP8
1201901180048; CANDIFEN; CANDIFEN; NOT FOUND; 400 MG COM CT 2 BL AL PLAS INC X 10; GP8
1201901180056; CANDIFEN; CANDIFEN; NOT FOUND; 400 MG COM CT 20 BL AL PLAS INC X 10; GP8
1201901160012; CENTROVIT; CENTROVIT; NOT FOUND; FRASCO OPACO C/ 60 COMPRIMIDOS REVESTIDOS; GP8
