1201900790012; PUMODILAT; PUMODILAT; NOT FOUND; 100MG C/ 20 CPR; GP8
1201900520066; PHARMOX; PHARMOX; NOT FOUND; 250MG/5ML CX C/ 50 FR X 60ML; GP8
1201900520058; PHARMOX; PHARMOX; NOT FOUND; 250MG/5ML SUS FR X 60ML; GP8
SI/NC; PHARMOX; PHARMOX; NOT FOUND; 250MG/5ML SUSP C/1 FR X 150ML; GP8
1201900520031; PHARMOX; PHARMOX; NOT FOUND; 500 MG CX C/ 12 CAPS; GP8
1201900130047; PRAMIL; PRAMIL; NOT FOUND; 5 MG/ML SOL INJ CX 5 AMP VD AMB X 2 ML; GP8
1201900130039; PRAMIL; PRAMIL; NOT FOUND; 5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML; GP8
1201900130063; PRAMIL; PRAMIL; NOT FOUND; 0.4% SOL OR CT 200 FR PLAS OPC GOT X 10 ML; GP8
1201900130029; PRAMIL; PRAMIL; NOT FOUND; 0.4% SOL OR CX  FR PLAS OPC GOT X 10 ML; GP8
SI/NC; PRAMIL; PRAMIL; NOT FOUND; 10MG CX C/20 COMP; GP8
1201900130055; PRAMIL; PRAMIL; NOT FOUND; 10 MG CX C/ 500 COMP; GP8
1201900970010; PREVINERA; PREVINERA; NOT FOUND; (0.075+0.03) MG COM CX C/ 21; GP8
1201900580018; PRAZOLEX; PRAZOLEX; NOT FOUND; 10MG CX C 1 FR X 14 CAPS; GP8
1201900580034; PRAZOLEX; PRAZOLEX; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 14; GP8
1201900580026; PRAZOLEX; PRAZOLEX; NOT FOUND; 20MG CX C1 FR X 7 CAPS; GP8
1201900580050; PRAZOLEX; PRAZOLEX; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 28; GP8
1201900580069; PRAZOLEX; PRAZOLEX; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 56; GP8
1201900620036; PARACEN; PARACEN; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; GP8
1201901060026; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200MG/ML CX C/ 1 FR X 15ML; GP8
1201900620011; PARACEN; PARACEN; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 200; GP8
1201900620028; PARACEN; PARACEN; NOT FOUND; 750 MG COM CT BL AL PLAS INC X 200; GP8
1201901170018; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500MG CX C 200 CPR; GP8
1201901170034; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750MG CX C/ 200 CPR; GP8
1201900210013; PIROGREEN; PIROGREEN; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 10; GP8
1201900210021; PIROGREEN; PIROGREEN; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 10; GP8
