1201900900026; NAUSEDRINATO; NAUSEDRINATO; NOT FOUND; 100 MG COM CX C/ 500; GP8
1201900150013; NOVAGREEN; NOVAGREEN; NOT FOUND; 500MG/ML SOL OR CX FR PLAS OPC GOT X 10ML; GP8
1201900150032; NOVAGREEN; NOVAGREEN; NOT FOUND; 500MG C/ 100 CPR; GP8
1201900480021; NICOSTAT; NICOSTAT; NOT FOUND; 100.000 UI/ML SUS OR CT FR VD AMB X 50 ML + CGT; GP8
1201900480056; NICOSTAT; NICOSTAT; NOT FOUND; SUS CX C/ 50 FR X 50ML; GP8
1201900480031; NICOSTAT; NICOSTAT; NOT FOUND; 25.000 UI/G CREM VAG CT BG AL X 60 G + APLIC; GP8
1201900480048; NICOSTAT; NICOSTAT; NOT FOUND; 25.000 UI/G CREM VAG CT 50 BG AL X 60 G + APLIC (EMB. HOSP.); GP8
1201901220015; NISTATINA; NISTATINA; NISTATINA; 25.000 U.I./G CR VAG CT BG AL X 60 G + APLIC; GP8
1201900940014; NORTERON; NORTERON; NOT FOUND; 0.35 MG COM CX C/ 35; GP8
1201900610014; NORFLOXIL; NORFLOXIL; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 14; GP8
SI/NC; NORFLOXIL; NORFLOXIL; NOT FOUND; 400MG CX C/06 COMP; GP8
