1201900220011; DEXAGREEN; DEXAGREEN; NOT FOUND; 1 MG/G CREM DERM CT BG AL X 10 G ; GP8
1201901300108; DORALGEX; DORALGEX; NOT FOUND; GTS CX C 1 FR X 15ML; GP8
1201901300027; DORALGEX; DORALGEX; NOT FOUND; 35MG+300MG+50MG COM CT 2 BL AL PLAS AMB X 10; GP8
1201901300078; DORALGEX; DORALGEX; NOT FOUND; 35MG+300MG+50MG COM CT 24 BL AL PLAS AMB X 10; GP8
1201901150017; DENASON; DENASON; NOT FOUND; 0.5 MG + 3.5 MG + 5.0 MG /ML SOL NAS CT FR PLAS GOT  X 20 ML; GP8
1201900690018; DEPOFLOX; DEPOFLOX; NOT FOUND; 20 MG CAP GEL DURA CT 4 BL AL PLAS INC X 7; GP8
1201900770011; DORGEX; DORGEX; NOT FOUND; 0.0444 ML/G + 0.0444G/G + 0.020 G/G POM DERM CT BG AL X 20 G ; GP8
1201900760024; DECORFEN; DECORFEN; NOT FOUND; 75 MG SOL INJ CX X 50 AMP VD INC X 3 ML; GP8
1201900760032; DECORFEN; DECORFEN; NOT FOUND; 75 MG/3ML SOL INJ CT  X 3 AMP VD INC X 3 ML; GP8
1201900760016; DECORFEN; DECORFEN; NOT FOUND; 50 MG DRG CT ENV AL POLIET X 20; GP8
1201900890017; DIGITAX; DIGITAX; NOT FOUND; 0.25MG C/ 20 CPR; GP8
1201901070021; DIPIRONA; DIPIRONA; DIPIRONA; 500MG/ML 12FR 10 ML; GP8
1201901070013; DIPIRONA; DIPIRONA; DIPIRONA; SODICA - 500MG/ML CX C/ 1 FR X 10ML; GP8
1201901250011; DIPIRONA; DIPIRONA; DIPIRONA; SODICA - 500MG CX C/ 100 CPR; GP8
