1201901390026; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 40 MG/ML SUS OR CT FR VD AMB X 10 ML; GP8
1201901390018; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 40 MG/ML SUS OR CX 200 FR VD AMB X 10 ML (EMB HOSP); GP8
1201900800034; AMPICILIL; AMPICILIL; NOT FOUND; 250 MG/ 5ML PO PREP EXTEMP CT FR VD AMB X 60 ML; GP8
1201900800042; AMPICILIL; AMPICILIL; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10; GP8
1201900570020; ATENUOL; ATENUOL; NOT FOUND; 100 MG CX C/ 28 CPR; GP8
1201900570012; ATENUOL; ATENUOL; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 28; GP8
1201900820019; ATENUOL CRT; ATENUOL CRT; NOT FOUND; 100 + 25 MG COM CT BL AL PLAS X 28; GP8
1201900820027; ATENUOL CRT; ATENUOL CRT; NOT FOUND; 50 + 12.5 MG COM CT BL AL PLAS X 28; GP8
1201900830030; AZITROMICIL; AZITROMICIL; NOT FOUND; 200MG/ 5ML PO SUS EXT CT FR PLAS OPC X 15 ML+FLAC DIL+SER DOS; GP8
1201900830049; AZITROMICIL; AZITROMICIL; NOT FOUND; 200MG/ 5ML PO SUS EXT CT FR PLAS OPC X 22.5 ML+FLAC DIL+SER DOS; GP8
1201900830073; AZITROMICIL; AZITROMICIL; NOT FOUND; 250 MG CAP GEL DURA CT BL AL PLAS INC X 4; GP8
1201900830091; AZITROMICIL; AZITROMICIL; NOT FOUND; 1.000 MG COM REV CT 01 BL AL PLAS INC X 01 ; GP8
1201900830022; AZITROMICIL; AZITROMICIL; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 3; GP8
