504614120027103, TORSILAX, TORSILAX, NOT FOUND, 125MG + 50MG + 300MG +30MG COM CT BL AL PLAS INC X 100 (EMB FRAC), BF8
504614120027203, TORSILAX, TORSILAX, NOT FOUND, 125MG + 50MG + 300MG +30MG COM CT BL AL PLAS INC X 200 (EMB FRAC) , BF8
504615010027817, TORSILAX, TORSILAX, NOT FOUND, 125 MG + 50 MG + 300 MG + 30 MG COM CT BL AL PLAS INC X 12, BF8
504615010027917, TORSILAX, TORSILAX, NOT FOUND, 125MG + 50MG + 300MG +30MG COM CT BL AL PLAS INC X 30, BF8
504615010028017, TORSILAX, TORSILAX, NOT FOUND, 125 MG + 50 MG + 300 MG + 30 MG COM DISP BL AL PLAS INC X 100 (EMB HOSP), BF8
504611502172316, TEFIN, TEFIN, NOT FOUND, 10 MG/G CREM DERM CT BG AL X 20 G, BF8
504612080013804, TIMOSOPT, TIMOSOPT, NOT FOUND, 20MG/ML + 5MG/ML SOL OFT CT FR PLAS OPC X 5 ML , BF8
504612040012814, TERMOPIRONA, TERMOPIRONA, NOT FOUND, 1G COM CT BL AL PLAS TRANS X 10, BF8
504612040012914, TERMOPIRONA, TERMOPIRONA, NOT FOUND, 1G COM DISP BL AL PLAS TRANS  X 100, BF8
504612040013014, TERMOPIRONA, TERMOPIRONA, NOT FOUND, 50 MG/ML SOL OR CT FR PLAS AMB X 100 ML + CP MED , BF8
504612040013314, TERMOPIRONA, TERMOPIRONA, NOT FOUND, 500 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML, BF8
504612040013214, TERMOPIRONA, TERMOPIRONA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, BF8
504614010018818, TILUGEN, TILUGEN, NOT FOUND, 2MG/ML XPE CT FR VD AMB X 120ML + CP MED, BF8
504612301111415, TERMIX, TERMIX, NOT FOUND, 400 MG COM REV CT BL AL PLAS INC X 10, BF8
504612302118413, TERMIX, TERMIX, NOT FOUND, 600 MG COM REV CT BL AL PLAS INC X 10, BF8
504612303114411, TERMIX, TERMIX, NOT FOUND, 600 MG COM REV CT BL AL PLAS INC X 4, BF8
504613050016613, TYNEO, TYNEO, NOT FOUND, 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, BF8
504613050016713, TYNEO, TYNEO, NOT FOUND, 750 MG COM DISPLAY BL AL PLAS AMB X 100, BF8
504612110014614, TIBIAL, TIBIAL, NOT FOUND, 2.5 MG COM CT BL AL PLAS INC X 28, BF8
504613010015306, TIBOLONA, TIBOLONA, TIBOLONA, 2.5 MG COM CT BL AL PLAS TRANS X 28 , BF8
504612070013506, TOBRAMICINA, TOBRAMICINA, TOBRAMICINA, 3 MG/ML SOL OFT CT FR PLAS OPC X 5 ML , BF8
