504601001111112, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COM REV CT BL AL PLAS INC X 7, BF8
504601002118110, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 7, BF8
504601101116116, LORATADINA, LORATADINA, LORATADINA, 10MG COM CT BL AL PLAS INC X 12, BF8
504601102139111, LORATADINA, LORATADINA, LORATADINA, 1MG/ML XPE CT FR VD AMB X 100ML, BF8
504601201137115, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML, BF8
504601202117118, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 5MG + 120MG DRG CT BL AL PLAS INC X 12, BF8
504601301115113, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 1 BL AL PLAS OPC X 14, BF8
504601302111111, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 2 BL AL PLAS OPC X 14, BF8
504601001111112, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COM REV CT BL AL PLAS INC X 7, BF8
504601002118110, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 7, BF8
504601101116116, LORATADINA, LORATADINA, LORATADINA, 10MG COM CT BL AL PLAS INC X 12, BF8
504601102139111, LORATADINA, LORATADINA, LORATADINA, 1MG/ML XPE CT FR VD AMB X 100ML, BF8
504601201137115, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML, BF8
504601202117118, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 5MG + 120MG DRG CT BL AL PLAS INC X 12, BF8
504601301115113, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 1 BL AL PLAS OPC X 14, BF8
504601302111111, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 2 BL AL PLAS OPC X 14, BF8
504601001111112, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COM REV CT BL AL PLAS INC X 7, BF8
504601002118110, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 7, BF8
504601101116116, LORATADINA, LORATADINA, LORATADINA, 10MG COM CT BL AL PLAS INC X 12, BF8
504601102139111, LORATADINA, LORATADINA, LORATADINA, 1MG/ML XPE CT FR VD AMB X 100ML, BF8
504601201137115, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML, BF8
504601202117118, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 5MG + 120MG DRG CT BL AL PLAS INC X 12, BF8
504601301115113, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 1 BL AL PLAS OPC X 14, BF8
504601302111111, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 2 BL AL PLAS OPC X 14, BF8
504601001111112, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COM REV CT BL AL PLAS INC X 7, BF8
504601002118110, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 7, BF8
504601101116116, LORATADINA, LORATADINA, LORATADINA, 10MG COM CT BL AL PLAS INC X 12, BF8
504601102139111, LORATADINA, LORATADINA, LORATADINA, 1MG/ML XPE CT FR VD AMB X 100ML, BF8
504601201137115, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML, BF8
504601202117118, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 5MG + 120MG DRG CT BL AL PLAS INC X 12, BF8
504601301115113, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 1 BL AL PLAS OPC X 14, BF8
504601302111111, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 2 BL AL PLAS OPC X 14, BF8
504601001111112, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COM REV CT BL AL PLAS INC X 7, BF8
504601002118110, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 7, BF8
504601101116116, LORATADINA, LORATADINA, LORATADINA, 10MG COM CT BL AL PLAS INC X 12, BF8
504601102139111, LORATADINA, LORATADINA, LORATADINA, 1MG/ML XPE CT FR VD AMB X 100ML, BF8
504601201137115, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML, BF8
504601202117118, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 5MG + 120MG DRG CT BL AL PLAS INC X 12, BF8
504601301115113, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 1 BL AL PLAS OPC X 14, BF8
504601302111111, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 2 BL AL PLAS OPC X 14, BF8
504601001111112, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COM REV CT BL AL PLAS INC X 7, BF8
504601002118110, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 7, BF8
504601101116116, LORATADINA, LORATADINA, LORATADINA, 10MG COM CT BL AL PLAS INC X 12, BF8
504601102139111, LORATADINA, LORATADINA, LORATADINA, 1MG/ML XPE CT FR VD AMB X 100ML, BF8
504601201137115, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML, BF8
504601202117118, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 5MG + 120MG DRG CT BL AL PLAS INC X 12, BF8
504601301115113, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 1 BL AL PLAS OPC X 14, BF8
504601302111111, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 2 BL AL PLAS OPC X 14, BF8
504601001111112, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COM REV CT BL AL PLAS INC X 7, BF8
504601002118110, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 7, BF8
504601101116116, LORATADINA, LORATADINA, LORATADINA, 10MG COM CT BL AL PLAS INC X 12, BF8
504601102139111, LORATADINA, LORATADINA, LORATADINA, 1MG/ML XPE CT FR VD AMB X 100ML, BF8
504601201137115, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML, BF8
504601202117118, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 5MG + 120MG DRG CT BL AL PLAS INC X 12, BF8
504601301115113, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 1 BL AL PLAS OPC X 14, BF8
504601302111111, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 2 BL AL PLAS OPC X 14, BF8
504601001111112, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COM REV CT BL AL PLAS INC X 7, BF8
504601002118110, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 7, BF8
504601101116116, LORATADINA, LORATADINA, LORATADINA, 10MG COM CT BL AL PLAS INC X 12, BF8
504601102139111, LORATADINA, LORATADINA, LORATADINA, 1MG/ML XPE CT FR VD AMB X 100ML, BF8
504601201137115, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML, BF8
504601202117118, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 5MG + 120MG DRG CT BL AL PLAS INC X 12, BF8
504601301115113, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 1 BL AL PLAS OPC X 14, BF8
504601302111111, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 2 BL AL PLAS OPC X 14, BF8
504601001111112, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COM REV CT BL AL PLAS INC X 7, BF8
504601002118110, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 7, BF8
504601101116116, LORATADINA, LORATADINA, LORATADINA, 10MG COM CT BL AL PLAS INC X 12, BF8
504601102139111, LORATADINA, LORATADINA, LORATADINA, 1MG/ML XPE CT FR VD AMB X 100ML, BF8
504601201137115, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML, BF8
504601202117118, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 5MG + 120MG DRG CT BL AL PLAS INC X 12, BF8
504601301115113, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 1 BL AL PLAS OPC X 14, BF8
504601302111111, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 2 BL AL PLAS OPC X 14, BF8
504601002118110, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 7, BF8
504601101116116, LORATADINA, LORATADINA, LORATADINA, 10 MG COM CT BL AL PLAS INC X 12, BF8
504601102139111, LORATADINA, LORATADINA, LORATADINA, 1MG/ML XPE CT FR VD AMB X 100ML, BF8
504601301115113, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COM REV CT 1 BL AL PLAS OPC X 14, BF8
504601302111111, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COM REV CT 2 BL AL PLAS OPC X 14, BF8
504601002118110, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 7, BF8
504601101116116, LORATADINA, LORATADINA, LORATADINA, 10 MG COM CT BL AL PLAS INC X 12, BF8
504601102139111, LORATADINA, LORATADINA, LORATADINA, 1MG/ML XPE CT FR VD AMB X 100ML, BF8
504601301115113, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COM REV CT 1 BL AL PLAS OPC X 14, BF8
504601302111111, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COM REV CT 2 BL AL PLAS OPC X 14, BF8
