504614070022403; DIPROTERON; DIPROTERON; NOT FOUND; 2.0MG + 0.035MG COM REV CT BL AL PLAS INC X 21 ; BF8
504614110026217; DORALGINA; DORALGINA; NOT FOUND; 50 MG/ML + 300 MG/ML + 30 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML ; BF8
504614110026017; DORALGINA; DORALGINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG CT BL AL PLAS INC X 20 ; BF8
504614110026117; DORALGINA; DORALGINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG DISP BL AL PLAS INC X 100 (EMB MULT); BF8
504613090017916; DIPIRONA SÓDICA+ CAFEÍNA; DIPIRONA SODICA CAFEINA; NOT FOUND; 500 MG + 65MG COM DISP BL AL PLAS AMB X 100; BF8
504613090017816; DIPIRONA SÓDICA+ CAFEÍNA; DIPIRONA SODICA CAFEINA; NOT FOUND; 500 MG + 65MG COM CT BL AL PLAS AMB X 16 ; BF8
504612501161114; DICLOFENACO DIETILAMÔNIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 11.6 MG/G GEL CT BG AL X 60 G; BF8
504600601115110; DICLOFENACO POTÁSSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG DRG CT STR AL/AL X 10 ; BF8
504600602111119; DICLOFENACO POTÁSSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG DRG CT  STR AL/AL X 20; BF8
504614110026717; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 25 MG/ML SOL INJ CT 5 AMP VD INC X 3 ML; BF8
504614110026617; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 1 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; BF8
504614110025017; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT BL AL PLAS INC X 20; BF8
504600702116112; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT BL AL PLAS INC X 10 ; BF8
504600701111117; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT  BL AL PLAS INC X 20 ; BF8
504612120014816; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 1G COM CT BL AL PLAS INC X 10 ; BF8
504612120014916; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 1G COM DISP BL AL PLAS INC X 100; BF8
504612120015016; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 100; BF8
504611902111128; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM BL AL PLAS INC X 4; BF8
504612120014716; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; BF8
504612110014516; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML; BF8
504611901131117; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; BF8
504612120015116; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; BF8
504600802153117; DIPROPIONATO DE BETAMETASONA + FOSFATO DISSÓDICO DE BETAMETASONA; DIPROPIONATO BETAMETASONA FOSFATO DISSODICO BETAMETASONA; NOT FOUND; 5MG/ML+ 2MG/ML SUSP INJ CT 1 AMP VD INC X 1 ML; BF8
