504614110023817, VIRINEO, VIRINEO, NOT FOUND, 50MG COM REV CT BL AL PLAS TRANS X 4, BF8
504614110023917, VIRINEO, VIRINEO, NOT FOUND, 50MG COM REV CT BL AL PLAS TRANS X 8, BF8
504614110024617, VIRINEO, VIRINEO, NOT FOUND, 25MG COM REV CT BL AL PLAS TRANS X 2, BF8
504614110024717, VIRINEO, VIRINEO, NOT FOUND, 25MG COM REV CT BL AL PLAS TRANS X 4, BF8
504614110024817, VIRINEO, VIRINEO, NOT FOUND, 50MG COM REV CT BL AL PLAS TRANS X 1, BF8
504614110024917, VIRINEO, VIRINEO, NOT FOUND, 50MG COM REV CT BL AL PLAS TRANS X 2, BF8
504602101160113, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G +10 MG/G CREM DERM CT BG AL X 20 G, BF8
504602102167111, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G, BF8
504614100023304, VERTIGIUM, VERTIGIUM, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 200 (EMB FRAC) , BF8
504614120027517, VERTIGIUM, VERTIGIUM, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 50, BF8
504614100023404, VASODIPINA, VASODIPINA, NOT FOUND, 30 MG COM REV CT BL AL PLAS AMB X 200 (EMB FRAC), BF8
504615010027717, VASODIPINA, VASODIPINA, NOT FOUND, 30 MG COM REV CT BL AL PLAS AMB X 30, BF8
504614020019106, VALSARTANA, VALSARTANA, VALSARTANA, 160 MG COM REV CT BL AL PLAS TRANS X 30, BF8
504614020019206, VALSARTANA, VALSARTANA, VALSARTANA, 320 MG COM REV CT BL AL PLAS TRANS X 30, BF8
504614020019006, VALSARTANA, VALSARTANA, VALSARTANA, 80 MG COM REV CT BL AL PLAS TRANS X 30, BF8
