504614110024217; CAPOTRINEO; CAPOTRINEO; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 16; BF8
504614110024317; CAPOTRINEO; CAPOTRINEO; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; BF8
504614110024417; CAPOTRINEO; CAPOTRINEO; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; BF8
504600403119111; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10; BF8
504600401116113; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL  AL  PLAS INC  X   08; BF8
504612070013406; CEFALEXINA; CEFALEXINA; CEFALEXINA; 50 MG/ML PO SUS OR CT FR VD AMB X 100 ML + CP MED; BF8
504612801114111; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 10; BF8
504612101163111; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G; BF8
504612201168113; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.64 MG/G + 2.5 MG /G CREM DERM CT BG AL X 30 G; BF8
504611601111110; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM CT BL AL PLAS INC X 30; BF8
504611604110115; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5 MG COM CT BL AL PLAS INC X 30; BF8
504612702116116; CIPROFIBRATO; CIPROFIBRATO; CIPROFIBRATO; 100 MG COM CT BL AL PLAS INC X 10 ; BF8
504612701111110; CIPROFIBRATO; CIPROFIBRATO; CIPROFIBRATO; 100 MG COM CT BL AL PLAS INC X 30; BF8
504610702119119; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 14 ; BF8
504610701112110; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 28; BF8
504614090022606; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8MG/ML XPE CT FR PLAS AMB X 120ML + CP MED; BF8
504614090022706; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6MG/ML XPE CT FR PLAS AMB X 120ML + CP MED; BF8
504614020019316; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8MG/ML XPE CT FR PLAS AMB X 120ML   ; BF8
504614020019416; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6MG/ML XPE CT FR PLAS AMB X 120ML  ; BF8
504600501110117; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 120 MG COM REV CT 1 BL AL PLAS OPC X 10 ; BF8
504600502117115; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 180 MG COM REV CT 1 BL AL PLAS OPC X 10 ; BF8
504612070013706; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP DURA CT BL AL PLAS INC X 30; BF8
504611001114119; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 30; BF8
504611002110117; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 30; BF8
504614030020006; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM CT BL AL PLAS TRANS X 30; BF8
504614030020106; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM CT BL AL PLAS TRANS X 60; BF8
504612100014004; COLÍRIO NEO BRASIL; COLIRIO NEO BRASIL; NOT FOUND; 0.15MG/ML + 0.30MG/ML SOL OFT CT FR PLAS X 20ML; BF8
504613050017506; CLORIDRATO DE OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; 0.5 MG/ML SOL NAS CT FR PLAS OPC X 30 ML; BF8
504610602114115; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 20; BF8
504610601118117; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; BF8
504610403111116; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 10; BF8
504610402115118; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 20; BF8
504610404118114; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 30; BF8
504613090018006; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS TRANS X 30; BF8
504612901135110; CLORIDRATO DE HIDROXIZINA; CLORIDRATO HIDROXIZINA; NOT FOUND; 2 MG/ML SOL OR CT FR PLAS AMB X 100 ML + SER DOSAD; BF8
