48529, BAYCUTEN-N , BAYCUTEN N, NOT FOUND, CREME 40 G x 1, BCN
58112, BENEROC , BENEROC, NOT FOUND, COMPLEX DRAG x 30, BCN
2750, BENEROC , BENEROC, NOT FOUND, DRAG x 100, BCN
29268, BENEROC , BENEROC, NOT FOUND, JUNIOR GOTAS 20 ML x 1, BCN
1330, BENERVA , BENERVA, NOT FOUND, CPR 300 MG x 30, BCN
1407, BEPANTOL , BEPANTOL, NOT FOUND, POM. 50 MG 30 G x 1 (/G), BCN
1410, BEPANTOL , BEPANTOL, NOT FOUND, SOLN 50 MG 50 ML x 1 (/ML), BCN
161607, BEPANTOL BABY , BEPANTOL BABY, NOT FOUND, CREME 100 G x 1, BCN
78830, BEPANTOL BABY , BEPANTOL BABY, NOT FOUND, CREME 30 G x 1, BCN
105443, BEPANTOL BABY , BEPANTOL BABY, NOT FOUND, CREME 60 G x 1, BCN
85768, BEPANTOL BABY , BEPANTOL BABY, NOT FOUND, K 3X2 CREME 90 G x 1, BCN
90993, BEPANTOL BABY , BEPANTOL BABY, NOT FOUND, K 4X3 CREME 120 G x 1, BCN
105444, BEPANTOL BABY , BEPANTOL BABY, NOT FOUND, K4CR30G+MOR 120 G x 1, BCN
148470, BEPANTOL DERMA , BEPANTOL DERMA, NOT FOUND, CREME LABIAL 7.50 ML x 1, BCN
84951, BEPANTOL DERMA , BEPANTOL DERMA, NOT FOUND, CREME. 20 G x 1, BCN
84952, BEPANTOL DERMA , BEPANTOL DERMA, NOT FOUND, SOL TOP. 50 ML x 1, BCN
134302, BEPANTOL MAMY , BEPANTOL MAMY, NOT FOUND, CREME GESTAN 150 ML x 1, BCN
62372, BEROCCAL ZINCO , BEROCCAL ZINCO, NOT FOUND, CPR EFER x 10, BCN
62373, BEROCCAL ZINCO , BEROCCAL ZINCO, NOT FOUND, CPR LAQ ENT. x 30, BCN
