49935, ALKA SELTZER NF , ALKA SELTZER NF, NOT FOUND, CPR EFER x 100, BCN
49934, ALKA SELTZER NF , ALKA SELTZER NF, NOT FOUND, CPR EFER x 50, BCN
59435, ALKA SELTZER NF , ALKA SELTZER NF, NOT FOUND, CPR ENV 5X2 x 10, BCN
931, AROVIT , AROVIT, NOT FOUND, AMP. 300 K 1 ML x 25, BCN
933, AROVIT , AROVIT, NOT FOUND, DRAG 50 K x 30, BCN
45405, AROVIT , AROVIT, NOT FOUND, GOTAS 150 K 20 ML x 1 (/ML), BCN
55509, ASPIRINA , ASPIRINA, NOT FOUND, BUFFERED CPR 500 MG x 100, BCN
51154, ASPIRINA , ASPIRINA, NOT FOUND, CPR EFER 500 MG x 100, BCN
48018, ASPIRINA , ASPIRINA, NOT FOUND, CPR 100 MG x 100 (INF), BCN
32315, ASPIRINA , ASPIRINA, NOT FOUND, CPR 100 MG x 20 (INF), BCN
48017, ASPIRINA , ASPIRINA, NOT FOUND, CPR 24X10 500 MG x 240, BCN
73494, ASPIRINA , ASPIRINA, NOT FOUND, CPR 500 MG x 100, BCN
61870, ASPIRINA , ASPIRINA, NOT FOUND, CPR 500 MG x 12 (ADLT) X8, BCN
1014, ASPIRINA , ASPIRINA, NOT FOUND, CPR 500 MG x 20, BCN
47759, ASPIRINA , ASPIRINA, NOT FOUND, CPR 500 MG x 500, BCN
77364, ASPIRINA , ASPIRINA, NOT FOUND, CPR 60X4 500 MG x 240, BCN
84775, ASPIRINA C , ASPIRINA C, NOT FOUND, CPR EFE MOR 400 MG x 100, BCN
50022, ASPIRINA C , ASPIRINA C, NOT FOUND, CPR EFER 400 MG x 100, BCN
48019, ASPIRINA C , ASPIRINA C, NOT FOUND, CPR EFER 400 MG x 20, BCN
48091, ASPIRINA C , ASPIRINA C, NOT FOUND, CPR EFE LIMA 400 MG x 50, BCN
159916, ASPIRINA C , ASPIRINA C, NOT FOUND, CPR EFER 400 MG x 10, BCN
33809, ASPISPORT , ASPISPORT, NOT FOUND, GEL. 5 % 30 G x 1, BCN
56356, AUTAN , AUTAN, NOT FOUND, LIQ AFT.BITE 8 ML x 1, BCN
