1058301570016; MONOZOL; MONOZOL; NOT FOUND; 80 MG/ML SUS OR CT FR VD AMB X 15 ML; GM2
1058301570032; MONOZOL; MONOZOL; NOT FOUND; 400 MG 1STP X 1 COMP; GM2
1058304730014; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; GM2
1058305070030; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; GM2
1058303770098; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 2 MG + 0.25 MG COM CT BL AL PLAS LEIT  X 20; GM2
1058302230014; MIGRALIV; MIGRALIV; NOT FOUND; 1.0 MG + 350.0 MG + 100.0 MG COM CT BL AL PLAS INC X 12 ; GM2
1058302640034; MIGRANETTE; MIGRANETTE; NOT FOUND; 300 MG/ML + 50 MG/ML + 30 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; GM2
1058302640026; MIGRANETTE; MIGRANETTE; NOT FOUND; 300 MG + 30 MG + 30 MG DRG CT BL AL PLAS INC X 20; GM2
1058302250041; MIGRANE; MIGRANE; NOT FOUND;  5 STP X 4 COMP; GM2
1058301630027; MUCOTOSS; MUCOTOSS; NOT FOUND; XPE ADU FR X 100 ML; GM2
1058301630019; MUCOTOSS; MUCOTOSS; NOT FOUND; XPE INF FR X 100 ML; GM2
1058301850035; MINICORON; MINICORON; NOT FOUND; 100MG 3 BL X 10 COMP; GM2
1058301850027; MINICORON; MINICORON; NOT FOUND; 200MG 3 BL X 10 COMP; GM2
1058306520130; MUSCUSAN; MUSCUSAN; NOT FOUND; 5MG COM REV CT BL AL PLAS OPC X 10; GM2
1058306520173; MUSCUSAN; MUSCUSAN; NOT FOUND; 5MG COM REV CT BL AL PLAS OPC X 30; GM2
1058306520033; MUSCUSAN; MUSCUSAN; NOT FOUND; 10MG COM REV CT BL AL PLAS OPC X 10; GM2
1058306520076; MUSCUSAN; MUSCUSAN; NOT FOUND; 10MG COM REV CT BL AL PLAS OPC X 30; GM2
1058302410012; MALU; MALU; NOT FOUND; 0.150 MG + 0.020 MG  COM CT EST CALEND X 21; GM2
1058307300010; MUSCUFENACO; MUSCUFENACO; NOT FOUND; 11.6 MG/G SOL AER DERM FILME PLAS CIL AL X 85 ML; GM2
1058306870034; MOTIRIDONA; MOTIRIDONA; NOT FOUND; 10 MG COM CT BL AL PLAS OPC X 30; GM2
1058306870050; MOTIRIDONA; MOTIRIDONA; NOT FOUND; 10 MG COM CT BL AL PLAS OPC X 60; GM2
1058307590035; MEZOLIUM; MEZOLIUM; NOT FOUND; 20 MG COM REV CT BL AL AL X 28; GM2
1058307590078; MEZOLIUM; MEZOLIUM; NOT FOUND; 40 MG COM REV CT BL AL AL X 28; GM2
1058301480041; MICROPIL; MICROPIL; NOT FOUND; 0.075 MG + 0.020 MG COM REV CT BL AL PLAS INC CALEND X 21; GM2
1058301480051; MICROPIL; MICROPIL; NOT FOUND; R 1 BL X 28 COMP; GM2
1058301480017; MICROPIL; MICROPIL; NOT FOUND; 0.075 MG + 0.030 MG DRG CT EST CALEND X 21 + PORTA EST; GM2
1058302610054; MAG-TAB; MAG TAB; NOT FOUND; 130MG 1 BL X 15 COMP; GM2
1058302610062; MAG-TAB; MAG TAB; NOT FOUND; 130 MG COM REV CT BL PVDC LEIT X 30; GM2
