1058300030026; IMUSSUPREX; IMUSSUPREX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 50; GM2
1058300030050; IMUSSUPREX; IMUSSUPREX; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 50; GM2
1058301600012; INDUX; INDUX; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 10; GM2
1058307350018; INIP; INIP; NOT FOUND; 150 MG COM REV LIB PROL CT BL AL AL  X 10; GM2
1058307350042; INIP; INIP; NOT FOUND; 150 MG COM REV LIB PROL CT BL AL AL X 30; GM2
1058306560019; IBUPROFENO; IBUPROFENO; IBUPROFENO; 100 MG/ML SUS OR CT FR PLAS OPC X 20 ML + CGT; GM2
1058306200020; IBUPROFENO; IBUPROFENO; IBUPROFENO; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML ; GM2
1058306270029; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20MG/ML SUS OR CT FR VD AMB X 100ML + SER DOSAD; GM2
1058304400022; IBUPROFENO; IBUPROFENO; IBUPROFENO; 200 MG COM REV CT BL AL PLAS OPC X 20; GM2
1058306320018; IBUPROFENO; IBUPROFENO; IBUPROFENO; 400 MG COM REV CT BL AL PLAS OPC X 10 ; GM2
1058307400041; INDAPAMIDA; INDAPAMIDA; INDAPAMIDA; 1.5 MG COM REV CT BL AL AL X 30; GM2
1058307550033; ISOTRETINOÍNA; ISOTRETINOINA; ISOTRETINOINA; 10 MG CAP GEL MOLE CT BL AL/AL X 30; GM2
1058307550092; ISOTRETINOÍNA; ISOTRETINOINA; ISOTRETINOINA; 20 MG CAP GEL MOLE CT BL AL/AL X 30; GM2
1058301750030; ITRASPOR; ITRASPOR; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 15; GM2
1058301750014; ITRASPOR; ITRASPOR; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 4; GM2
1058301750049; ITRASPOR; ITRASPOR; NOT FOUND; 100MG 2 BL X 14 CAPS; GM2
