1058306760034; GLAMIGAN; GLAMIGAN; NOT FOUND; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML ; GM2
1058306760026; GLAMIGAN; GLAMIGAN; NOT FOUND; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML ; GM2
1058305370021; GRIPEN F; GRIPEN F; NOT FOUND; 400 MG + 4 MG + 4 MG CAP GEL DURA CT FR PLAS OPC X 20 ; GM2
1058302670014; GLOSSALIV; GLOSSALIV; NOT FOUND; 5000 UI + 900 UI +150 MG POM DERM CT BG AL X 45 G ; GM2
1058307110033; GLYFLUCAN; GLYFLUCAN; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS LEIT X 2; GM2
1058307110041; GLYFLUCAN; GLYFLUCAN; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS LEIT X 1; GM2
1058304320037; GABAPENTINA; GABAPENTINA; GABAPENTINA; 300 MG CAP GEL DURA CT BL AL PLAS LEIT X 30; GM2
1058304320185; GABAPENTINA; GABAPENTINA; GABAPENTINA; 400 MG CAP GEL DURA CT BL AL PLAS LEIT X 30; GM2
1058306610040; GABAPENTINA; GABAPENTINA; GABAPENTINA; 600 MG COM REV CT BL AL PLAS OPC X 27; GM2
1058303340018; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS INC X 24  ; GM2
1058303340026; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT BL AL PLAS INC X 12; GM2
1058303450018; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 30 ; GM2
1058306650034; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL PLAS OPC X 30; GM2
1058306650042; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL PLAS OPC X 60; GM2
1058306650123; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 1 MG COM CT BL AL PLAS OPC X 30; GM2
1058306650204; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS OPC X 30; GM2
1058306650212; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS OPC X 60; GM2
1058303710087; GUAIFENESINA; GUAIFENESINA; GUAIFENESINA; 13.33 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED     ; GM2
1058303710117; GUAIFENESINA; GUAIFENESINA; GUAIFENESINA; 16 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED  ; GM2
