1058300850010; NATUS; NATUS; NOT FOUND; 3 BL X10 CAPS; GM2
1058300850022; NATUS; NATUS; NOT FOUND; 5 BL X10 CAPS; GM2
1058302060011; NOVAZEPAM; NOVAZEPAM; NOT FOUND; 3MG 2BL X 10 COMP (B1); GM2
1058302060021; NOVAZEPAM; NOVAZEPAM; NOT FOUND; 6MG 2BL X 10 COMP (B1); GM2
1019101410031; NATIVIT; NATIVIT; NOT FOUND; FR X 30 COMP FLUOR; GM2
1019101410023; NATIVIT; NATIVIT; NOT FOUND; FR X 30 COMP MIN; GM2
1058306060040; NEUTROCAL D; NEUTROCAL D; NOT FOUND; 500 MG + 200 UI COM REV CT FR PLAS OPC X 75; GM2
1058306060032; NEUTROCAL D; NEUTROCAL D; NOT FOUND; 500 MG + 200 UI COM REV CT FR PLAS OPC X 60; GM2
1058300790017; NARISORO; NARISORO; NOT FOUND; SOL GTS FR X 30ML; GM2
1058300790017; NARISORO; NARISORO; NOT FOUND; SOL GTS FR X 30ML (HOSP); GM2
1058306040015; NARIDRIN H; NARIDRIN H; NOT FOUND; 30MG/ML SOL NAS CT FR PLAS AMB SPR X 60 ML; GM2
1058300700018; NEOCORTIN; NEOCORTIN; NOT FOUND; 1.0 MG+5.0 MG/ML SOL OFR CT FR PLAS OPC GOT X 5 ML; GM2
1058301910054; NEUTROFER; NEUTROFER; NOT FOUND; INJ IV 100MG 5 AMP X 8ML; GM2
1058301910038; NEUTROFER; NEUTROFER; NOT FOUND; 20 FLAC X 5ML; GM2
1058301910151; NEUTROFER; NEUTROFER; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML   ; GM2
1058302240036; NEUTROFER; NEUTROFER; NOT FOUND; 15 MG/ML + 0.5 MG/ML SUS OR CT 20 FLAC X 5 ML; GM2
1058302240052; NEUTROFER; NEUTROFER; NOT FOUND; 250 MG/ML +0.2 MG/ML CT SUS OR CT FR PLAS OPC GOT X 30; GM2
1058301910143; NEUTROFER; NEUTROFER; NOT FOUND; 250MG GTS 15ML (NEONATAL); GM2
1058301910070; NEUTROFER; NEUTROFER; NOT FOUND; 30 MG COM CT FR PLAS OPC X 30; GM2
1058301910097; NEUTROFER; NEUTROFER; NOT FOUND; 60 MG COM CT FR PLAS OPC X 30; GM2
1058301910021; NEUTROFER; NEUTROFER; NOT FOUND; 500MG FR X 15 COMP; GM2
1058301910011; NEUTROFER; NEUTROFER; NOT FOUND; 100 MG COM MAST CT BL AL PLAS INC X 30; GM2
1058302240011; NEUTROFER; NEUTROFER; NOT FOUND; 150 MG + 5 MG COM REV CT FR PLAS OPC X 30; GM2
1058305420027; NIMESULIDA; NIMESULIDA; NIMESULIDA; 20 MG/G GEL DERM CT BG AL X 30 G; GM2
1058304990113; NIMODIPINO; NIMODIPINO; NIMODIPINO; 30 MG COM REV CT BL AL PLAS LEIT X 30; GM2
1058304680025; NISTATINA; NISTATINA; NISTATINA; 100 000UI/ML SUS OR CT FR VD AMB X 50ML + CGT  ; GM2
1058304520028; NISTATINA; NISTATINA; NISTATINA; 25.000 UI/G CREM VAG CT BG AL X 60 G + 14 APLIC; GM2
1058303580043; NISTATINA + ÓXIDO DE ZINCO; NISTATINA OXIDO ZINCO; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 60 G ; GM2
1058306960033; NITRATO DE FENTICONAZOL; NITRATO FENTICONAZOL; NITRATO FENTICONAZOL; 0.02 G/G CREM VAG CT BG AL X 40 G + 7 APL; GM2
1058304160013; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM VAG CT BG AL X 40 G + 7 APLIC; GM2
1058305080021; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM DERM CT BG AL X 20 G; GM2
1058303470019; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20MG/G PO TOP CT FR PLAS OPC X 30G; GM2
1058303180010; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G LOC CREM CT FR PLAS OPC X 30 G; GM2
1058303850016; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM VAG CT BG X 80 G + 14 APLIC; GM2
1058305360032; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM DERM CT BG AL X 28 G ; GM2
1058303620088; NITRAZEPAM; NITRAZEPAM; NITRAZEPAM; 5 MG COM CT BL AL PLAS BCO LEIT X 20; GM2
1058303090054; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REVES CT FR PLAS OPC X 14; GM2
