1058300200066; DORILEN; DORILEN; NOT FOUND; INJ 50 AMP X 2ML; GM2
1058300200066; DORILEN; DORILEN; NOT FOUND; INJ C/50 AMP X 2ML HOSP; GM2
1058300200023; DORILEN; DORILEN; NOT FOUND; GTS FR X 15ML; GM2
1058300200058; DORILEN; DORILEN; NOT FOUND; 1 BL X 12 COMP; GM2
1058301780010; DIGECAP ZIM; DIGECAP ZIM; NOT FOUND; 5STP X 4 CAPS; GM2
1058300180014; DOBIRON; DOBIRON; NOT FOUND; FR C/30 DRG; GM2
1058302040010; DOZENEURIN; DOZENEURIN; NOT FOUND; 5000 3 AMP X 1ML; GM2
1058301800054; DAFORIN; DAFORIN; NOT FOUND; 20 MG/ML SOL OR CT FR VD CGT X 20 ML ; GM2
1058301800097; DAFORIN; DAFORIN; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PVC INC X 20; GM2
1058301800070; DAFORIN; DAFORIN; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PVC INC X 30; GM2
1058301800038; DAFORIN; DAFORIN; NOT FOUND; 20 MG COM REV CT BL AL PVC INC X 20; GM2
1058301800062; DAFORIN; DAFORIN; NOT FOUND; 20MG 1 BL X10 CAPS (C1); GM2
1058301800011; DAFORIN; DAFORIN; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PVC INC X 20; GM2
1058301800089; DAFORIN; DAFORIN; NOT FOUND; 20MG FR X 20 COMP (C1); GM2
1058301800046; DAFORIN; DAFORIN; NOT FOUND; 20 MG COM REV CT BL AL PVC INC X 30; GM2
1058307040035; DROXY; DROXY; NOT FOUND; 25 MG COM CT FR PLAS OPC X 30; GM2
1058306550080; DEEPLIN; DEEPLIN; NOT FOUND; 20 MG COM REV CT BL AL PLAS OPC X 30 ; GM2
1058301040025; DERMOBENE; DERMOBENE; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML; GM2
1058301040017; DERMOBENE; DERMOBENE; NOT FOUND; CREME BISN X 20 G; GM2
1058302680141; DEFLAIMMUN; DEFLAIMMUN; NOT FOUND; 22.75MG/ML SUS OR CT FR VD AMB GOT X 13ML; GM2
1058302680028; DEFLAIMMUN; DEFLAIMMUN; NOT FOUND; 6MG COM CT  BL AL PLAS INC X 20; GM2
1058302680109; DEFLAIMMUN; DEFLAIMMUN; NOT FOUND; 30MG COM CT BL AL PLAS INC X 10; GM2
1058302680060; DEFLAIMMUN; DEFLAIMMUN; NOT FOUND; 7.5MG COM CT  BL AL PLAS INC X 20; GM2
1058303810170; DEFLAZACORTE; DEFLAZACORTE; DEFLAZACORTE; 30 MG COM CT BL AL PLAS LEIT X 10 ; GM2
1058303810065; DEFLAZACORTE; DEFLAZACORTE; DEFLAZACORTE; 6 MG COM CT BL AL PLAS LEIT X 20; GM2
1058306670035; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5MG/ML XPE CT FR VD AMB X 100 ML + SER DOSAD; GM2
1058306670027; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD; GM2
