1058304810042; CLOTRIMAZOL + ACETATO DE DEXAMETASONA; CLOTRIMAZOL ACETATO DEXAMETASONA; NOT FOUND; 10MG/G + 0.4MG/G CREM DERM CT BG AL X 40G; GM2
1058302200018; CONTRACEP; CONTRACEP; NOT FOUND; 150 MG/ML SUSP INJ CT FA VD INC X 1 ML; GM2
1058302200034; CONTRACEP; CONTRACEP; NOT FOUND; 150 MG/ML SUS INJ CT AMP VD INC X 1 ML; GM2
1058304720019; CLORIDRATO DE TETRACICLINA + ANFOTERICINA B; CLORIDRATO TETRACICLINA ANFOTERICINA B; NOT FOUND; 25 MG/G + 12.5 MG/G CREM VAG CT BG AL X 45 G + 10 APLIC; GM2
1058307710022; COSARTAN ALP; COSARTAN ALP; NOT FOUND; 80 MG + 5 MG COM REV CT BL AL AL X 30; GM2
1058307710065; COSARTAN ALP; COSARTAN ALP; NOT FOUND; 160 MG + 5 MG COM REV CT BL AL AL X 10; GM2
1058307710073; COSARTAN ALP; COSARTAN ALP; NOT FOUND; 160 MG + 5 MG COM REV CT BL AL AL X 30; GM2
1058307710081; COSARTAN ALP; COSARTAN ALP; NOT FOUND; 160 MG + 5 MG COM REV CT BL AL AL X 60; GM2
1058307710121; COSARTAN ALP; COSARTAN ALP; NOT FOUND; 160 MG + 10 MG COM REV CT BL AL AL X 30; GM2
1058307710162; COSARTAN ALP; COSARTAN ALP; NOT FOUND; 320 MG + 5 MG COM REV CT BL AL AL X 10; GM2
1058307710170; COSARTAN ALP; COSARTAN ALP; NOT FOUND; 320 MG + 5 MG COM REV CT BL AL AL X 30; GM2
1058307710189; COSARTAN ALP; COSARTAN ALP; NOT FOUND; 320 MG + 5 MG COM REV CT BL AL AL X 60; GM2
1058307710227; COSARTAN ALP; COSARTAN ALP; NOT FOUND; 320 MG + 10 MG COM REV CT BL AL AL X 30; GM2
1058307180015; CLOPIPLAX; CLOPIPLAX; NOT FOUND; 75 MG COM REV CT BL AL AL X 14 ; GM2
1058307180023; CLOPIPLAX; CLOPIPLAX; NOT FOUND; 75 MG COM REV CT BL AL AL X 28; GM2
1058306770013; CITAGRAN; CITAGRAN; NOT FOUND; 20 MG COM REV CT BL AL PLAS OPC X 30; GM2
1058303890034; CITRATO DE ORFENADRINA + DIPIRONA SÓDICA + CAFEÍNA ANIDRA; CITRATO ORFENADRINA DIPIRONA SODICA CAFEINA ANIDRA; NOT FOUND; 35 MG/ML + 300 MG/ML + 50 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; GM2
1058307670020; CANDEMED; CANDEMED; NOT FOUND; 8 MG COM CT BL AL PLAS OPC X 30; GM2
1058307670071; CANDEMED; CANDEMED; NOT FOUND; 16 MG COM CT BL AL PLAS OPC X 30; GM2
1058307660025; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; 8 MG COM CT BL AL PLAS OPC X 30; GM2
1058307660076; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; 16 MG COM CT BL AL PLAS OPC X 30; GM2
1058307740029; CANDEMED HCT; CANDEMED HCT; NOT FOUND; 8 MG + 12.5 MG CT BL AL PLAS OPC X 30; GM2
1058307740071; CANDEMED HCT; CANDEMED HCT; NOT FOUND; 16 MG + 12.5 MG CT BL AL PLAS OPC X 30; GM2
1058307730023; CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 8 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; GM2
1058307730074; CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 16 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; GM2
1058302650021; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 30 ; GM2
1058302650080; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 30 ; GM2
1058302650145; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 30 ; GM2
1058302800023; CAPTOPRIL + HIDROCLOROTIAZIDA; CAPTOPRIL HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 25 MG COM CT 2 BL AL PLAS LEIT X 15; GM2
1058302830070; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 20; GM2
1058302830127; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 60; GM2
1058302830011; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 400 MG COM CT BL AL PLAS INC X 20; GM2
1058302830046; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 400MG 3 BL X 10 COMP (C1); GM2
1058306790014; CARBAMAZEPINA  (PORT 344/98 LISTA C1); CARBAMAZEPINA PORT 344 98 LISTA C1; NOT FOUND; 400 MG COM REV DESINT LENTA CT BL AL PLAS OPC X 20 ; GM2
1058306790049; CARBAMAZEPINA  (PORT 344/98 LISTA C1); CARBAMAZEPINA PORT 344 98 LISTA C1; NOT FOUND; 400 MG COM REV DESINT LENTA CT BL AL PLAS OPC X 60 (EMB HOSP); GM2
1058304000024; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML SOL OR CT FR VD AMB X 20 ML; GM2
1058301630019; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; 20MG/ML XPE INF 100 ML; GM2
1058301630027; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; 50MG/ML XPE AD 100 ML; GM2
1058304920018; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; GM2
1058304920042; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; GM2
1058307510041; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL AL X 30; GM2
1058307510058; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL AL X 60; GM2
1058307510112; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL AL X 30; GM2
1058307510120; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL AL X 60; GM2
1058307510181; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL AL X 30; GM2
1058307510198; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL AL X 60; GM2
1058307510252; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL AL X 30; GM2
1058307510260; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL AL X 60; GM2
1058303860054; CEFACLOR; CEFACLOR; CEFACLOR; 250MG CAP GEL DURA   CT BL AL PLAS LEIT X 10; GM2
1058303860186; CEFACLOR; CEFACLOR; CEFACLOR; 500MG CAP GEL DURA   CT BL AL PLAS LEIT X 10  ; GM2
1058305040021; CEFACLOR; CEFACLOR; CEFACLOR; 50 MG/ML SUS OR CT FR VD AMB X 100 ML + SER PLAS DOSAD; GM2
1058305040046; CEFACLOR; CEFACLOR; CEFACLOR; 75 MG/ML SUS OR CT FR VD AMB X 100 ML + SER PLAS DOSAD; GM2
1058300590064; CELOCORTIN; CELOCORTIN; NOT FOUND; SUSP 250MG/5ML FR X100ML; GM2
1058300590072; CELOCORTIN; CELOCORTIN; NOT FOUND; SUSP 500MG/5ML FR X100ML; GM2
1058300590048; CELOCORTIN; CELOCORTIN; NOT FOUND; 500MG 1 BL X 8 CAPS; GM2
1058304170061; CEFALEXINA MONOIDRATADA; CEFALEXINA MONOIDRATADA; CEFALEXINA MONOIDRATADA; 1G COM REV CT BL AL PLAS LEIT X 8; GM2
1058304170213; CEFALEXINA MONOIDRATADA; CEFALEXINA MONOIDRATADA; CEFALEXINA MONOIDRATADA; 500 MG COM REV CT BL AL PLAS LEIT X 8; GM2
1058304700034; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CT BG AL X 30 G; GM2
1058303200054; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS OPC X 10; GM2
1058304600031; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30G ; GM2
1058304650045; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30G; GM2
1058305910024; CANDIGRAN; CANDIGRAN; NOT FOUND; 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G; GM2
1058305910040; CANDIGRAN; CANDIGRAN; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G ; GM2
1058302920010; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G; GM2
1058302930016; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G; GM2
1023507240027; CETOPROFENO; CETOPROFENO; CETOPROFENO; 50 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML (EMB HOSP); GM2
1058303910027; CETOPROFENO; CETOPROFENO; CETOPROFENO; 50 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML (EMB HOSP); GM2
1058302940011; CETOPROFENO; CETOPROFENO; CETOPROFENO; 25 MG/G GEL CT BG AL X 30 G; GM2
1058306430026; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; 10 MG/ML SOL TOP CT FR GOT PLAS TRANS X 15 ML; GM2
1058302620017; CICLOSPORINA; CICLOSPORINA; CICLOSPORINA; 100 MG/ML SOL OR C/ MCEMU CT FR VD AMB X 50 ML + 2 SER DOSAD; GM2
1058302340030; CICLOSPORINA; CICLOSPORINA; CICLOSPORINA; 100 MG CAP GEL MOLE C/ MCEMU CT BL AL/AL X 50; GM2
