1058306030011; BENZOILMETRONIDAZOL + NISTATINA + CLORETO DE BENZALCONIO; BENZOILMETRONIDAZOL NISTATINA CLORETO BENZALCONIO; NOT FOUND; 62.5MG/G + 25.000 UI/G + 1.25MG/G CREM VAG CT BG AL X 40G + 10 APLIC; GM2
1058303110012; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.5 MG/ML SOL OR CT FR VD AMB X 15 ML ; GM2
1058305800032; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML +CP MED ; GM2
1058303390066; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.5 MG COM CT BL AL PLAS OPC X 20; GM2
1058303390171; BETAMETASONA; BETAMETASONA; BETAMETASONA; 2.0 MG COM CT BL AL PLAS BCO LEIT X 10  ; GM2
1058303240021; BEZAFIBRATO; BEZAFIBRATO; BEZAFIBRATO; 200 MG COM REV CT BL AL PLAS BCO X 20; GM2
1058306460022; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X  3 ML; GM2
1058306460030; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; GM2
1058307190010; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL AL X 14; GM2
1058307190029; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL AL X 28; GM2
1058305240029; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 2.5 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; GM2
1058303410016; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3.0 MG COM CT BL AL PLAS INC X 20 ; GM2
1058303410032; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6.0 MG COM CT BL AL PLAS INC X 20; GM2
1058303410024; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3.0 MG COM CT BL AL PLAS INC X 30  ; GM2
1058303410040; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6.0 MG COM CT BL AL PLAS INC X 30; GM2
1058306130014; BRONCOVENT; BRONCOVENT; NOT FOUND; 0.25 MG/ML SOL INAL CT FR VD AMB CGT X 20 ML ; GM2
1058306190017; BROMETO DE IPRATRÓPIO; BROMETO IPRATROPIO; BROMETO IPRATROPIO; 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML; GM2
1058307560039; BROMETO DE PINAVÉRIO; BROMETO PINAVERIO; BROMETO PINAVERIO; 100 MG COM REV CT BL AL PLAS OPC X 30; GM2
1058307560055; BROMETO DE PINAVÉRIO; BROMETO PINAVERIO; BROMETO PINAVERIO; 100 MG COM REV CT BL AL PLAS OPC X 60; GM2
1058307570034; BROMEPINA; BROMEPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 30; GM2
1058307570050; BROMEPINA; BROMEPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 60; GM2
1058305630021; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PLAS OPC X 30; GM2
1058304260026; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 0.25 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; GM2
