1058301500050; VELAMOX; VELAMOX; NOT FOUND; SOL 1G SOL INJ 1 FR/AMP+DIL; GM2
1058301500018; VELAMOX; VELAMOX; NOT FOUND; SUSP 250MG/5ML FR X 150ML HOSP; GM2
1058301500166; VELAMOX; VELAMOX; NOT FOUND; 500 MG/ 5 ML SUS OR CT FR VD AMB X 150 ML; GM2
1058301500018; VELAMOX; VELAMOX; NOT FOUND; 250 MG/5 ML PO SUS OR CT FR VD AMB X 150 ML ; GM2
1058301500409; VELAMOX; VELAMOX; NOT FOUND; SUSP 400MG FR X 100ML (BD); GM2
1058301500115; VELAMOX; VELAMOX; NOT FOUND; 1G 1 BL X 12 COMP; GM2
1058301500093; VELAMOX; VELAMOX; NOT FOUND; 500 MG COM CT BL AL PVDC BCO LEIT X 18; GM2
1058301500344; VELAMOX; VELAMOX; NOT FOUND; 1 G COM REV CT BL AL PLAS OPC X 12; GM2
1058301500204; VELAMOX; VELAMOX; NOT FOUND; 875 MG COM REV CT BL AL/AL  X 14; GM2
1058301500034; VELAMOX; VELAMOX; NOT FOUND; 1G 2BL X 7 COMP PYLORI; GM2
1058300890028; VITONICO; VITONICO; NOT FOUND; SOL FR X 500ML; GM2
1058301920017; VIDYN; VIDYN; NOT FOUND; FR X 30 DRG; GM2
1058301920025; VIDYN; VIDYN; NOT FOUND; EFERV TB X10 COMP; GM2
1058306850122; VASIFIL; VASIFIL; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 4; GM2
1058306850114; VASIFIL; VASIFIL; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 2; GM2
1058306850025; VASIFIL; VASIFIL; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 2; GM2
1058306850033; VASIFIL; VASIFIL; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 4; GM2
1058306850051; VASIFIL; VASIFIL; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 1; GM2
1058306850068; VASIFIL; VASIFIL; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 2; GM2
1058306850084; VASIFIL; VASIFIL; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 8; GM2
1058306850076; VASIFIL; VASIFIL; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 4; GM2
1058304610035; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G; GM2
1058304630036; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G; GM2
1058302760021; VAZY; VAZY; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS AMB X 30; GM2
1058302760056; VAZY; VAZY; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS AMB X 30 ; GM2
1058302760137; VAZY; VAZY; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS LEIT X 60; GM2
1058302760171; VAZY; VAZY; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS LEIT X 60; GM2
1058307430021; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 80 MG + 12.5 MG COM REV CT BL AL/AL X 30; GM2
1058307430062; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL/AL X 30; GM2
1058307430100; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 + 25 MG COM REV CT BL AL/AL X 30; GM2
1058307430143; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 320 + 25 MG COM REV CT BL AL/AL X 30; GM2
1058307430186; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 320 MG + 12.5 MG COM REV CT BL AL AL X 30; GM2
1058301380020; VYTINAL; VYTINAL; NOT FOUND; FR X 60 COMP REV; GM2
