1058300740094; TRISCON; TRISCON; NOT FOUND; EXPEC FR X 120ML; GM2
1058300740041; TRISCON; TRISCON; NOT FOUND; GTS FR X15ML; GM2
1058300740081; TRISCON; TRISCON; NOT FOUND; GTS FR X 20ML; GM2
1058300740031; TRISCON; TRISCON; NOT FOUND; SOL ORAL FR X 60 ML; GM2
1058300740074; TRISCON; TRISCON; NOT FOUND; 3BL X 4 COMP; GM2
1058300740058; TRISCON; TRISCON; NOT FOUND; 50BL X 4 COMP; GM2
1058301620021; TROPINAL; TROPINAL; NOT FOUND; 300 MG + 1 MG + 0.0065 MG + 0.104 MG SOL OR CT FR VD AMB CGT X 15 ML; GM2
1058301620013; TROPINAL; TROPINAL; NOT FOUND; 300 MG + 1 MG + 0.0065 MG + 0.104 MG COM CT STR X 20; GM2
1058302010022; TALUDON; TALUDON; NOT FOUND; 100MG 2BL X 10 DRG; GM2
1058307390291; TIGMA; TIGMA; NOT FOUND; 6.0 MG CAP GEL DURA CT BL AL PLAS OPC X 30; GM2
1058307390052; TIGMA; TIGMA; NOT FOUND; 1.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30; GM2
1058307390133; TIGMA; TIGMA; NOT FOUND; 3.0 MG CAP GEL DURA CT BL AL PLAS OPC X 30; GM2
1058307390214; TIGMA; TIGMA; NOT FOUND; 4.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30; GM2
1058306070151; TAVAGRAN; TAVAGRAN; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 10 ; GM2
1058306070127; TAVAGRAN; TAVAGRAN; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 3; GM2
1058306070143; TAVAGRAN; TAVAGRAN; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 7; GM2
1058303840029; TINIDAZOL + NITRATO DE MICONAZOL; TINIDAZOL NITRATO MICONAZOL; NOT FOUND; 30 MG/G + 20 MG/G CREM VAG CT BG AL X 45G + 7 APLIC ; GM2
