1058302380040; HELICOPAC; HELICOPAC; NOT FOUND; 7 CARTELAS X 6 COMP; GM2
1058302380105; HELICOPAC; HELICOPAC; NOT FOUND; 7 CARTELAS+1 BL X 14; GM2
1058302590010; HIPOFAGIN; HIPOFAGIN; NOT FOUND; S 25MG 5 STP X 4 COMP (B2); GM2
1058302590029; HIPOFAGIN; HIPOFAGIN; NOT FOUND; S 75 MG 5 STP X 4 COMP (B2); GM2
1058301250031; HIDRABENE; HIDRABENE; NOT FOUND; 27.9 G X 4 SACHET PO; GM2
1058301610115; HELICOCID; HELICOCID; NOT FOUND; 500MG 2 BLX 7 COMP; GM2
1058300680017; HIDROCORTE; HIDROCORTE; NOT FOUND; CREME BISN X 20 G; GM2
1058306300033; HORMOSKIN; HORMOSKIN; NOT FOUND; 40 MG/G + 0.5 MG/G + 0.1 MG/G CREM DERM CT BG AL X 15 G; GM2
1058306300051; HORMOSKIN; HORMOSKIN; NOT FOUND; 40 MG/G + 0.5 MG/G + 0.1 MG/G CREM DERM CT BG AL X 30 G ; GM2
1058306290038; HIDROQUINONA + TRETINOINA + FLUOCINOLONA ACETONIDA; HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA; NOT FOUND; 40 MG/G + 0.5 MG/G + 0.1 MG/G CREM DERM CT BG AL X 15 G ; GM2
1058304380031; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML ; GM2
1058307450055; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 1.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30; GM2
1058307450136; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 3 MG CAP GEL DURA CT BL AL PLAS OPC X 30; GM2
1058307450217; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 4.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30; GM2
1058307450292; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 6 MG CAP GEL DURA CT BL AL PLAS OPC X 30; GM2
1058307500036; HEMITARTARATO DE ZOLPIDEM; HEMITARTARATO ZOLPIDEM; HEMITARTARATO ZOLPIDEM; 10 MG COM REV CT BL AL PLAS OPC X 20; GM2
1058304910136; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL AL PLAS LEIT X 30; GM2
1058304910276; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 50 MG COM CT BL AL PLAS LEIT X 20; GM2
1058305010031; HIDROCORTISONA; HIDROCORTISONA; HIDROCORTISONA; 10 MG/ML SOL CAPIL CT FR PLAS OPC GOT X 60 ML ; GM2
1058305030032; HIDROCORTISONA; HIDROCORTISONA; HIDROCORTISONA; 10 MG/G POM DERM CT BG AL X 30 G ; GM2
1058306100034; HIDROQUINONA; HIDROQUINONA; HIDROQUINONA; 40 MG/G GEL CT BG AL X 30 G; GM2
1058306490045; HIDROQUINONA; HIDROQUINONA; HIDROQUINONA; 40 MG/G CREM CT BG AL X 30G; GM2
1058302730351; HIPNAZOLAM (B1); HIPNAZOLAM B1; NOT FOUND; 1 MG/ML SOL INJ CT 5 AMP VD AMB X 5 ML ; GM2
1058302730378; HIPNAZOLAM (B1); HIPNAZOLAM B1; NOT FOUND; 5 MG/ML SOL INJ CT 5 AMP VD AMB X 3 ML ; GM2
1058302730122; HIPNAZOLAM (B1); HIPNAZOLAM B1; NOT FOUND; 7.5 MG COM REV CT 2 BL AL PVDC LEIT X 15; GM2
1058302730238; HIPNAZOLAM (B1); HIPNAZOLAM B1; NOT FOUND; 15 MG COM REV CT 2 BL AL PVDC LEIT X 15; GM2
1058302730157; HIPNAZOLAM (B1); HIPNAZOLAM B1; NOT FOUND; 15 MG COM REV CT FR VD AMB X 10; GM2
