1058305690016; PARACETAMOL + CAFEÍNA; PARACETAMOL CAFEINA; NOT FOUND; 500 MG + 65 MG COM REV CT BL AL PLAS LEIT X 20; GM2
1058307170028; PIOTAZ; PIOTAZ; NOT FOUND; 15 MG COM CT FR PLAS OPC X 15; GM2
1058307170044; PIOTAZ; PIOTAZ; NOT FOUND; 15 MG COM CT FR PLAS OPC X 30; GM2
1058307170095; PIOTAZ; PIOTAZ; NOT FOUND; 30 MG COM CT FR PLAS OPC X 15; GM2
1058307170117; PIOTAZ; PIOTAZ; NOT FOUND; 30 MG COM CT FR PLAS OPC X 30; GM2
1058307170168; PIOTAZ; PIOTAZ; NOT FOUND; 45 MG COM CT FR PLAS OPC X 15; GM2
1058302600016; PRE-MENS; PRE MENS; NOT FOUND; 2BL X 10 COMP REV; GM2
1058305860061; PARACETAMOL + CLORIDRATO DE PSEUDOEFEDRINA; PARACETAMOL CLORIDRATO PSEUDOEFEDRINA; NOT FOUND; 500 MG + 30 MG COM REV CT BL AL PLAS OPC X 24; GM2
1058300720019; PEPSOGEL; PEPSOGEL; NOT FOUND; 40 MG + 30 MG + 5 MG SUS OR CT FR VD INC X 240 ML; GM2
1058300720027; PEPSOGEL; PEPSOGEL; NOT FOUND; 2 BL X 10 COMP; GM2
1058302220019; PENVIR; PENVIR; NOT FOUND; BISN X 2G LABIA; GM2
1058302220027; PENVIR; PENVIR; NOT FOUND; BINS X 5G LABIA; GM2
1058302140031; PENVIR; PENVIR; NOT FOUND; 125 MG COM REV CT BL AL PLAS OPC X 10; GM2
1058302140041; PENVIR; PENVIR; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 14; GM2
1058301370022; PENICIGRAN; PENICIGRAN; NOT FOUND; V1200000UI 2 STP X 6 COMP; GM2
1058301370014; PENICIGRAN; PENICIGRAN; NOT FOUND; V500000UI 3 STP X 4 COMP; GM2
1058306880021; PRENISOL; PRENISOL; NOT FOUND; 3 MG/ML SOL OR CT FR PLAS AMB X 60 ML + SER DOSAD ; GM2
1058306880013; PRENISOL; PRENISOL; NOT FOUND; 3 MG/ML SOL OR CT FR PLAS AMB X 120 ML + SER DOSAD ; GM2
1058302270016; PROCEPT; PROCEPT; NOT FOUND; INJ 50MG/ML C/1 AMP; GM2
1058302210031; PREMPRO; PREMPRO; NOT FOUND; 5 MG 1BL X 28 COMP REV BIF; GM2
1058302210013; PREMPRO; PREMPRO; NOT FOUND; 2.5 MG 1BL X 28 COMP REV MONOF.; GM2
1058302210021; PREMPRO; PREMPRO; NOT FOUND; 5 MG 1BL X 28 COMP REV MONOF.; GM2
1058303130064; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT  BL AL PLAS OPC X 28; GM2
1058303130031; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT  BL AL PLAS OPC  X 14; GM2
1058303130021; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL PLAS OPC  X 28; GM2
1058303130072; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT  BL AL PLAS OPC  X 14  ; GM2
1058303130196; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT  BL AL AL X 42; GM2
1058303130171; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL AL X 42; GM2
1058304450070; PARACETAMOL; PARACETAMOL; PARACETAMOL; 100 MG/G PO PREP EXT CT 50 SACH AL POLIET X 5 G; GM2
1058304450119; PARACETAMOL; PARACETAMOL; PARACETAMOL; 100 MG/G PO P/ PREP EXT CT 25 SACH AL PE X 5 G (EMB FRAC); GM2
1058304860066; PARACETAMOL; PARACETAMOL; PARACETAMOL; 100 MG/ML SUS OR CT FR PLAS TRANS X 15 ML + SER DOSAD ; GM2
1058304870061; PARACETAMOL; PARACETAMOL; PARACETAMOL; 32 MG/ML SUS OR CT FR PLAS TRANS X 60 ML + CP MED ; GM2
1058304550024; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML ; GM2
1058305000291; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM REV CT BL AL PLAS LEIT X 100 (EMB HOSP); GM2
